STATE,COUNTY,STATION_ID,DIR,URB_RURAL,F_SYSTEM,ROUTE_SIGN,ROUTE_NUMBER,LAT,LONG,STATE_NAME,COUNTY_NAME,REPCTY
1.0,59.0,000001,1.0,R,5.0,4.0,247.0,34.530684,-88.009641,AL,Franklin County,97
1.0,59.0,000001,5.0,R,5.0,4.0,247.0,34.530684,-88.009641,AL,Franklin County,97
1.0,115.0,000004,3.0,U,1.0,2.0,20.0,33.606772,-86.265757,AL,St. Clair County,97
1.0,115.0,000004,7.0,U,1.0,2.0,20.0,33.606772,-86.265757,AL,St. Clair County,97
1.0,31.0,000008,3.0,R,3.0,4.0,84.0,31.404319,-86.039568,AL,Coffee County,89
1.0,31.0,000008,7.0,R,3.0,4.0,84.0,31.404319,-86.039568,AL,Coffee County,89
1.0,99.0,000009,1.0,R,4.0,4.0,21.0,31.276281,-87.502172,AL,Monroe County,97
1.0,99.0,000009,5.0,R,4.0,4.0,21.0,31.276281,-87.502172,AL,Monroe County,97
1.0,97.0,000010,1.0,R,3.0,4.0,13.0,31.077766,-88.022592,AL,Mobile County,97
1.0,97.0,000010,5.0,R,3.0,4.0,13.0,31.077766,-88.022592,AL,Mobile County,97
1.0,97.0,000065,3.0,R,1.0,2.0,10.0,30.475395,-88.397584,AL,Mobile County,97
1.0,97.0,000065,7.0,R,1.0,2.0,10.0,30.475395,-88.397584,AL,Mobile County,97
1.0,97.0,000240,1.0,U,1.0,2.0,65.0,30.684887,-88.126921,AL,Mobile County,97
1.0,97.0,000240,5.0,U,1.0,2.0,65.0,30.684887,-88.126921,AL,Mobile County,97
1.0,97.0,000351,3.0,U,3.0,6.0,56.0,30.676372,-88.09821,AL,Mobile County,97
1.0,97.0,000351,7.0,U,3.0,6.0,56.0,30.676372,-88.09821,AL,Mobile County,97
1.0,97.0,000352,1.0,U,4.0,4.0,213.0,30.769273,-88.12345,AL,Mobile County,97
1.0,97.0,000352,5.0,U,4.0,4.0,213.0,30.769273,-88.12345,AL,Mobile County,97
1.0,97.0,000718,3.0,U,1.0,2.0,10.0,30.643176,-88.083328,AL,Mobile County,97
1.0,97.0,000718,7.0,U,1.0,2.0,10.0,30.643176,-88.083328,AL,Mobile County,97
1.0,97.0,000720,0.0,U,1.0,2.0,65.0,30.665186,-88.126916,AL,Mobile County,97
1.0,97.0,000720,1.0,U,1.0,2.0,65.0,30.665641,-88.126965,AL,Mobile County,97
1.0,97.0,000720,5.0,U,1.0,2.0,65.0,30.665641,-88.126965,AL,Mobile County,97
1.0,97.0,000722,1.0,U,1.0,2.0,65.0,30.63323,-88.118152,AL,Mobile County,97
1.0,97.0,000722,5.0,U,1.0,2.0,65.0,30.63323,-88.118152,AL,Mobile County,97
1.0,97.0,000729,1.0,U,1.0,2.0,65.0,30.907004,-87.985432,AL,Mobile County,97
1.0,97.0,000729,5.0,U,1.0,2.0,65.0,30.907004,-87.985432,AL,Mobile County,97
1.0,97.0,000732,0.0,U,1.0,2.0,10.0,30.556946,-88.205874,AL,Mobile County,97
1.0,97.0,000732,3.0,U,1.0,2.0,10.0,30.556946,-88.205874,AL,Mobile County,97
1.0,97.0,000732,7.0,U,1.0,2.0,10.0,30.556946,-88.205874,AL,Mobile County,97
1.0,97.0,000735,3.0,U,1.0,2.0,10.0,30.622415,-88.129843,AL,Mobile County,97
1.0,97.0,000735,7.0,U,1.0,2.0,10.0,30.622415,-88.129843,AL,Mobile County,97
