tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114N05262,US-26,EASTBOUND,SE MCLOUGHLIN BLVD/SE GRAND AVE,OR,MULTNOMAH,97202,45.50147,-122.662,45.50158,-122.65953,0.120071,56.0,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,1,4,26,3,1,26,52315,1789,694,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,26158,895,347
114+05943,OR-99E,NORTHBOUND,NE BROADWAY ST,OR,MULTNOMAH,97232,45.53436,-122.66063,45.53507,-122.66063,0.049047,68.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13578,728,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13578,728,1037
114P04509,I-405,NORTHBOUND,SALMON ST/EXIT 2A (NB),OR,MULTNOMAH,97201,45.51488,-122.68886,45.51627,-122.68812,0.102505,8.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,4,405,2,1,405,91815,3745,6839,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,45908,1873,3420
114+05944,OR-99E,NORTHBOUND,US-30 BYP/NE LOMBARD ST,OR,MULTNOMAH,97211,45.56998,-122.66136,45.57723,-122.66133,0.500934,72.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114P14790,,OR-99E/SE GRAND AVE NB AND SE BELMONT ST EB,,OR,MULTNOMAH,97214,45.51653,-122.66277,45.51653,-122.66075,0.097777,1.0,America/Los_Angeles,P4.0,USA,14789,3,N,3,71317,1,1,3,,1,1,,12862,440,171,1,99,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,12862,440,171
114P04508,I-405,NORTHBOUND,US-26/EXIT 1D (NB),OR,MULTNOMAH,97201,45.51019,-122.6876,45.51218,-122.68911,0.156399,6.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,104671,4271,7798,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,52336,2136,3899
114P04507,I-405,NORTHBOUND,6TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50693,-122.68283,45.50915,-122.68623,0.225013,4.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,1,6,405,2,1,405,63354,2692,4916,1,100,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,31677,1346,2458
114P04506,I-405,NORTHBOUND,4TH AVE/SW 1ST AVE/EXIT 1,OR,MULTNOMAH,97201,45.50559,-122.67869,45.50592,-122.68085,0.107838,2.0,America/Los_Angeles,P1.3,USA,97,2,N,1,71317,2,,6,405,2,1,405,72469,2812,5332,1,99,1,100,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,36235,1406,2666
114+05940,OR-99E,NORTHBOUND,SE TAYLOR ST,OR,MULTNOMAH,97214,45.50216,-122.66081,45.51509,-122.66078,0.894036,63.0,America/Los_Angeles,P1.11,USA,285,3,N,3,71317,6,1,4,99,4,1,99E,34564,1900,817,1,90,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,17282,950,409
114+05941,OR-99E,NORTHBOUND,NE LLOYD BLVD/NE GLISAN ST,OR,MULTNOMAH,97214,45.51723,-122.66075,45.52507,-122.66071,0.541605,66.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13571,729,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13571,729,1037
114+05942,OR-99E,NORTHBOUND,NE WEIDLER ST,OR,MULTNOMAH,97232,45.52655,-122.66068,45.53436,-122.66063,0.539552,67.0,America/Los_Angeles,P1.11,USA,285,4,N,3,71317,1,,4,99,4,1,99E,13571,729,1037,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,4,13571,729,1037
114P14794,,I-5/PACIFIC HWY NORTHBOUND AND MORRISON BRG WESTBOUND,,OR,MULTNOMAH,97214,45.51723,-122.66135,45.51724,-122.66482,0.167974,1.0,America/Los_Angeles,P4.0,USA,14793,3,N,3,71317,1,1,3,,1,1,,20907,1225,544,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,20907,1225,544
114+05939,OR-99E,NORTHBOUND,US-26/ROSS ISLAND BRIDGE/WOODWARD ST,OR,MULTNOMAH,97202,45.49035,-122.65432,45.50008,-122.66026,0.740593,61.0,America/Los_Angeles,P1.11,USA,285,3,N,3,71317,6,1,6,99,4,1,99E,52944,1597,1476,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,3,26472,799,738
114+12364,BURNSIDE,WESTBOUND,BROADWAY,OR,MULTNOMAH,97209,45.5231,-122.67022,45.52304,-122.67746,0.350465,20.0,America/Los_Angeles,P1.11,USA,468,4,N,3,71317,2,1,5,,1,1,,21013,1630,1031,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,10507,815,516
114+12122,NE FAIRVIEW PKY,NORTHBOUND,NE HALSEY ST,OR,MULTNOMAH,97024,45.52876,-122.4425,45.53361,-122.44638,0.408816,2.0,America/Los_Angeles,P1.11,USA,1691,4,N,3,71317,2,1,4,,1,1,,22262,545,655,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,11131,273,328
114+12363,BURNSIDE,WESTBOUND,BURNSIDE BRIDGE,OR,MULTNOMAH,97214,45.52297,-122.66274,45.52301,-122.66512,0.115272,18.0,America/Los_Angeles,P3.2,USA,468,4,N,3,71317,2,1,5,,1,1,,21631,1679,1062,1,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2.5,10816,840,531
