Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
9349,113+04318,P1,270.0,US-270,1,US-270-BR/Malvern Ave,91,UNITED STATES,ARKANSAS,GARLAND,71901,W,34.46629,-92.91895,34.47123,-92.98827,4.284640590781867,2,N,3.0,40213.0,2.0,,4.0,270.0,3.0,10.0,,17372.0,417.0,463.0,1,96.0,0.0,0.0,1.0,"LINESTRING (-92.91895 34.46629, -92.91935 34.46619, -92.91969 34.4661, -92.92021 34.46597, -92.92038 34.46592, -92.92043 34.46591, -92.92078 34.46581, -92.92147 34.46561, -92.9215 34.4656, -92.92177 34.46554, -92.92211 34.46546, -92.92242 34.46542, -92.92293 34.46543, -92.92321 34.46543, -92.92351 34.46543, -92.9243 34.46546, -92.92473 34.46547, -92.92543 34.46544, -92.92599 34.46537, -92.92661 34.46524, -92.92733 34.46506, -92.92801 34.46484, -92.92824 34.46476, -92.92876 34.46453, -92.93009 34.46394, -92.93078 34.46363, -92.93101 34.46351, -92.93142 34.46331, -92.93172 34.46316, -92.93208 34.46298, -92.93257 34.46277, -92.93304 34.46256, -92.93329 34.46249, -92.93359 34.46243, -92.93383 34.46239, -92.9341 34.46237, -92.93434 34.46238, -92.93466 34.46242, -92.93503 34.46251, -92.93545 34.46261, -92.93597 34.46273, -92.93634 34.4628, -92.9367 34.46284, -92.93707 34.46287, -92.93746 34.46288, -92.93788 34.46289, -92.93825 34.46284, -92.9388 34.46279, -92.93943 34.46275, -92.93999 34.46276, -92.94037 34.46281, -92.94075 34.46289, -92.94103 34.463, -92.94137 34.46315, -92.94169 34.46332, -92.94203 34.46345, -92.94235 34.46355, -92.94265 34.46362, -92.94277 34.46364, -92.94304 34.46367, -92.94332 34.46367, -92.94482 34.46369, -92.94503 34.46369, -92.94543 34.46369, -92.94681 34.46368, -92.94728 34.46368, -92.94785 34.46368, -92.94819 34.46368, -92.94911 34.46368, -92.94936 34.46368, -92.94981 34.46368, -92.95029 34.46369, -92.95056 34.46369, -92.95147 34.46371, -92.95159 34.46371, -92.952 34.46371, -92.95244 34.46372, -92.95269 34.46373, -92.95445 34.46377, -92.95507 34.46385, -92.95539 34.46396, -92.95699 34.46448, -92.95756 34.46467, -92.9584 34.46495, -92.95892 34.46513, -92.95983 34.46544, -92.96018 34.46554, -92.96046 34.4656, -92.96075 34.46564, -92.96108 34.46566, -92.96146 34.46563, -92.96176 34.46559, -92.96202 34.46553, -92.96227 34.46542, -92.96253 34.4653, -92.96276 34.46518, -92.96295 34.46508, -92.96306 34.46502, -92.96326 34.46493, -92.96362 34.46474, -92.96401 34.46457, -92.96437 34.46444, -92.96487 34.4643, -92.96544 34.46422, -92.9659 34.46415, -92.96669 34.46404, -92.96762 34.46397, -92.96848 34.46395, -92.96893 34.46394, -92.96927 34.46394, -92.96959 34.46393, -92.96978 34.46393, -92.97009 34.46394, -92.97032 34.46395, -92.97061 34.46399, -92.97065 34.46399, -92.97087 34.46404, -92.97106 34.46408, -92.97146 34.46421, -92.97164 34.46428, -92.97237 34.46458, -92.97285 34.46473, -92.97312 34.4648, -92.97331 34.46485, -92.97354 34.46489, -92.97373 34.46492, -92.97488 34.46502, -92.97521 34.46507, -92.97553 34.46515, -92.97593 34.46527, -92.97613 34.46535, -92.97632 34.46544, -92.9767 34.46565, -92.97783 34.46659, -92.97852 34.46719, -92.97888 34.46749, -92.97941 34.46795, -92.97991 34.46838, -92.98074 34.46916, -92.98091 34.46938, -92.981 34.46953, -92.98125 34.46995, -92.98139 34.47022, -92.9816 34.47052, -92.98177 34.47071, -92.98194 34.47084, -92.98214 34.47101, -92.98228 34.47111, -92.98244 34.47118, -92.9826 34.47127, -92.98274 34.47134, -92.98287 34.4714, -92.98304 34.47147, -92.98324 34.47154, -92.98342 34.47159, -92.98377 34.47164, -92.9839 34.47165, -92.98404 34.47165, -92.98425 34.47166, -92.98463 34.47164, -92.9852 34.47156, -92.98622 34.47139, -92.98663 34.47133, -92.98693 34.47129, -92.9873 34.47124, -92.98736 34.47124, -92.98775 34.47122, -92.98803 34.47123, -92.98827 34.47123)"
9350,113+04324,P1,270.0,DR MARTIN LUTHER KING JR EXPY,1,US-270-BR/Albert Pike Rd,91,UNITED STATES,ARKANSAS,GARLAND,71913,N,34.48115,-93.11431,34.49106,-93.11184,0.713677680813734,2,N,2.0,40213.0,2.0,,4.0,270.0,3.0,10.0,,26500.0,486.0,297.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-93.11431 34.48115, -93.11391 34.4818, -93.11365 34.48224, -93.11358 34.48237, -93.11315 34.48311, -93.11292 34.4835, -93.11254 34.48413, -93.1123 34.48459, -93.11215 34.48506, -93.11206 34.48548, -93.11202 34.4859, -93.112 34.48608, -93.11194 34.48664, -93.11184 34.48743, -93.1118 34.48787, -93.11178 34.48809, -93.11171 34.48883, -93.11168 34.48915, -93.11168 34.48932, -93.11168 34.48957, -93.11173 34.49004, -93.11176 34.49035, -93.1118 34.49068, -93.11184 34.49099, -93.11184 34.49103, -93.11184 34.49106)"
9351,113+04326,P1,70.0,US-70-BR W,1,Magic Springs Dr/Mill Crk Rd/Exit 3,968,UNITED STATES,ARKANSAS,GARLAND,71901,N,34.5109,-93.01169,34.51225,-93.01316,0.125320796039806,3,N,2.0,40213.0,2.0,,4.0,70.0,3.0,3.0,,7900.0,150.0,63.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-93.01169 34.5109, -93.01193 34.51112, -93.0126 34.51176, -93.01295 34.51207, -93.01316 34.51225)"
9356,113+04356,P1,530.0,I-530 N,1,Woodson Lateral Rd/Exit 12,94,UNITED STATES,ARKANSAS,PULASKI,72065,N,34.51127,-92.22245,34.54384,-92.24849,2.694197421732646,2,N,1.0,99999.0,2.0,,4.0,530.0,2.0,10.0,,17560.0,1176.0,6111.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.22245 34.51127, -92.22365 34.51278, -92.22548 34.51508, -92.228 34.51825, -92.23165 34.52281, -92.2351 34.52712, -92.23654 34.5289, -92.23738 34.52995, -92.23802 34.53076, -92.23817 34.53094, -92.23829 34.53109, -92.23989 34.53309, -92.24475 34.53915, -92.24588 34.54054, -92.24713 34.5421, -92.24783 34.54298, -92.24823 34.54348, -92.24849 34.54384)"
9357,113+04357,P1,530.0,I-530 N,1,US-167/Exit 10,94,UNITED STATES,ARKANSAS,SALINE,72065,N,34.54962,-92.25319,34.56595,-92.26545,1.329220635148386,2,N,1.0,99999.0,2.0,,4.0,530.0,2.0,10.0,,17000.0,1173.0,6137.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.25319 34.54962, -92.25336 34.54985, -92.25372 34.55031, -92.25403 34.55069, -92.25521 34.55218, -92.25724 34.55473, -92.25821 34.55595, -92.25844 34.55623, -92.2594 34.55744, -92.26087 34.55928, -92.26225 34.56102, -92.26237 34.56117, -92.26361 34.56274, -92.26399 34.56323, -92.26434 34.56373, -92.26466 34.56425, -92.26494 34.56474, -92.26517 34.56524, -92.26527 34.5655, -92.26545 34.56595)"
9358,113+04360,P1,530.0,I-530 N,1,Dixon Rd/AR-338/Exit 3,94,UNITED STATES,ARKANSAS,PULASKI,72206,N,34.62165,-92.26885,34.66882,-92.26444,3.310556269515069,2,N,1.0,50392.0,2.0,,4.0,530.0,2.0,10.0,,41000.0,2706.0,12218.0,1,94.0,1.0,94.0,1.0,"LINESTRING (-92.26885 34.62165, -92.26887 34.62224, -92.26898 34.62512, -92.269 34.62687, -92.26901 34.62775, -92.269 34.62927, -92.26895 34.63017, -92.2689 34.63062, -92.26883 34.63121, -92.26872 34.63167, -92.26854 34.63247, -92.26819 34.63401, -92.26773 34.63604, -92.26674 34.64004, -92.26596 34.64318, -92.26576 34.64396, -92.2647 34.64822, -92.26321 34.65417, -92.26282 34.65574, -92.26257 34.65679, -92.26248 34.65717, -92.2624 34.65765, -92.26233 34.65805, -92.26228 34.65866, -92.26223 34.65923, -92.26223 34.65963, -92.26222 34.66011, -92.26224 34.66052, -92.26227 34.66098, -92.26237 34.66183, -92.26253 34.66266, -92.26273 34.66346, -92.26316 34.66481, -92.2639 34.66711, -92.26444 34.66882)"
9359,113+04363,P1,30.0,I-30 E,1,Mabelvale West Rd/Exit 128,95,UNITED STATES,ARKANSAS,PULASKI,72209,E,34.64379,-92.43644,34.65309,-92.41274,1.526103431595184,1,N,1.0,50392.0,2.0,,6.0,30.0,2.0,10.0,,102051.0,6076.0,28714.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.43644 34.64379, -92.43552 34.64414, -92.43459 34.6445, -92.43366 34.64486, -92.43291 34.64512, -92.43232 34.6453, -92.4317 34.64548, -92.43113 34.64562, -92.4305 34.64576, -92.42924 34.64602, -92.42831 34.64622, -92.42793 34.6463, -92.42666 34.64657, -92.42563 34.64679, -92.42541 34.64683, -92.42501 34.64692, -92.42383 34.64717, -92.42292 34.64737, -92.42173 34.64762, -92.42113 34.64776, -92.42063 34.6479, -92.42054 34.64792, -92.42002 34.64808, -92.41955 34.64826, -92.41942 34.64831, -92.41887 34.64854, -92.4186 34.64866, -92.41852 34.6487, -92.41824 34.64884, -92.41779 34.64907, -92.41752 34.64922, -92.41747 34.64925, -92.41717 34.64944, -92.41678 34.64971, -92.4163 34.65004, -92.41584 34.6504, -92.41536 34.6508, -92.41497 34.65115, -92.41472 34.65136, -92.41426 34.65176, -92.41387 34.6521, -92.41316 34.65272, -92.41274 34.65309)"
9360,113+04369,P1,30.0,I-30 E,1,65th St/Exit 135,95,UNITED STATES,ARKANSAS,PULASKI,72209,E,34.68129,-92.31332,34.68555,-92.30805,0.422448329582226,1,N,1.0,50392.0,2.0,,6.0,30.0,2.0,10.0,,78000.0,4836.0,22268.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.31332 34.68129, -92.31256 34.68175, -92.31246 34.68181, -92.31217 34.68199, -92.31165 34.6823, -92.311 34.68277, -92.31034 34.68327, -92.30978 34.68376, -92.3092 34.6843, -92.30866 34.68485, -92.30805 34.68555)"
9361,113+04370,P1,30.0,I-30 E,1,I-530/I-440/Exit 138,95,UNITED STATES,ARKANSAS,PULASKI,72206,E,34.69187,-92.30399,34.7076,-92.28077,1.827180000950952,1,N,1.0,50392.0,2.0,,6.0,30.0,2.0,10.0,,88924.0,5518.0,26077.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.30399 34.69187, -92.30364 34.69243, -92.30348 34.69271, -92.30282 34.69377, -92.3027 34.69396, -92.30204 34.69504, -92.3011 34.69656, -92.3003 34.69786, -92.30015 34.6981, -92.29962 34.69895, -92.2993 34.69944, -92.29908 34.69977, -92.29897 34.69994, -92.2988 34.70018, -92.29878 34.70021, -92.29865 34.70037, -92.29834 34.70076, -92.29801 34.70114, -92.29746 34.7017, -92.29686 34.70224, -92.29625 34.70274, -92.29581 34.70306, -92.29537 34.70337, -92.29514 34.70351, -92.29447 34.70391, -92.29402 34.70415, -92.29333 34.70449, -92.29313 34.70458, -92.29264 34.70479, -92.29168 34.70514, -92.29095 34.70537, -92.29061 34.70547, -92.29019 34.70559, -92.28938 34.70577, -92.28846 34.70596, -92.28821 34.70601, -92.28746 34.70617, -92.28606 34.70645, -92.28461 34.70677, -92.28269 34.70718, -92.2818 34.70737, -92.28161 34.70742, -92.28103 34.70755, -92.28077 34.7076)"
9362,113+04377,P1,30.0,I-30 E,1,15th St/Exit 142,95,UNITED STATES,ARKANSAS,PULASKI,72114,N,34.76167,-92.26199,34.76606,-92.26184,0.303481780194002,2,N,1.0,50392.0,2.0,,6.0,30.0,2.0,10.0,,119000.0,7378.0,34867.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.26199 34.76167, -92.26199 34.76189, -92.26199 34.76207, -92.26198 34.76273, -92.26198 34.76299, -92.26195 34.76357, -92.26193 34.7638, -92.26194 34.76402, -92.26192 34.7645, -92.26188 34.76535, -92.26186 34.76581, -92.26184 34.76601, -92.26184 34.76606)"
9363,113+04380,P1,440.0,I-440 E,1,AR-365/Confederate Rd/Exit 1,96,UNITED STATES,ARKANSAS,PULASKI,72206,E,34.71201,-92.26339,34.71497,-92.25629,0.453200971113017,1,N,1.0,50392.0,2.0,1.0,6.0,440.0,2.0,10.0,,37768.0,3224.0,9330.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-92.26339 34.71201, -92.26296 34.71228, -92.26274 34.71241, -92.26248 34.71255, -92.26223 34.71268, -92.26173 34.7129, -92.26091 34.71322, -92.26049 34.71339, -92.25933 34.71384, -92.25863 34.7141, -92.25857 34.71412, -92.25825 34.71425, -92.25733 34.71459, -92.25697 34.71472, -92.25639 34.71493, -92.25629 34.71497)"
