Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
217742,103+04100,P1,95.0,I-95 N,1,SR-896/Exit 1,65,UNITED STATES,DELAWARE,NEW CASTLE,19702,E,39.64661,-75.75847,39.64678,-75.74952,0.476765333682304,1,N,1.0,69076.0,2.0,,8.0,95.0,2.0,1.0,I95E,81239.0,5002.0,5545.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.75847 39.64661, -75.75812 39.64666, -75.75761 39.64671, -75.75702 39.64675, -75.75622 39.64677, -75.75604 39.64678, -75.75505 39.64678, -75.75277 39.64678, -75.75151 39.64678, -75.75048 39.64678, -75.75019 39.64678, -75.74952 39.64678)"
217743,103+04102,P1,95.0,I-95 N,1,SR-1/SR-7/Exit 4,65,UNITED STATES,DELAWARE,NEW CASTLE,19702,E,39.67526,-75.67118,39.68135,-75.6623,0.634402513190199,1,N,1.0,69076.0,2.0,,8.0,95.0,2.0,1.0,I95E,167935.0,11942.0,13356.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.67118 39.67526, -75.6708 39.67558, -75.66999 39.67626, -75.66962 39.67657, -75.66884 39.67721, -75.66864 39.67737, -75.66839 39.67757, -75.66792 39.67791, -75.66744 39.67825, -75.66696 39.67859, -75.66644 39.67893, -75.66621 39.67909, -75.66544 39.67958, -75.66467 39.68004, -75.6639 39.68049, -75.6629 39.68103, -75.6623 39.68135)"
217744,103+04112,P1,95.0,I-95 N,1,Harvey Rd/Exit 10,65,UNITED STATES,DELAWARE,NEW CASTLE,19809,N,39.782,-75.50225,39.80032,-75.48379,1.610995754254504,2,N,1.0,69076.0,2.0,,4.0,95.0,2.0,1.0,I95N,61304.0,3888.0,4318.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.50225 39.782, -75.50199 39.78222, -75.50168 39.78248, -75.50138 39.78272, -75.5005 39.78343, -75.49982 39.784, -75.49873 39.7849, -75.49451 39.78837, -75.49315 39.78948, -75.49218 39.79028, -75.49168 39.79072, -75.49119 39.79117, -75.49072 39.79164, -75.49031 39.79208, -75.49001 39.79243, -75.48985 39.79262, -75.48963 39.79288, -75.4893 39.79328, -75.489 39.79368, -75.48872 39.79407, -75.48778 39.7955, -75.48677 39.79703, -75.48627 39.79777, -75.48611 39.798, -75.48594 39.79823, -75.48576 39.79845, -75.48536 39.7989, -75.48502 39.79925, -75.48466 39.79959, -75.48429 39.79992, -75.48396 39.80018, -75.48379 39.80032)"
217758,103+04164,P1,141.0,SR-141 N,1,Newport Gap Pike/Exit 5,68,UNITED STATES,DELAWARE,NEW CASTLE,19804,N,39.71683,-75.61033,39.7202,-75.61388,0.30000254716287,3,N,3.0,69076.0,2.0,,4.0,141.0,4.0,1.0,SR141N,51975.0,2413.0,1368.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-75.61033 39.71683, -75.61082 39.7172, -75.61113 39.71747, -75.61132 39.71765, -75.61143 39.71775, -75.61176 39.71805, -75.6119 39.7182, -75.6124 39.71871, -75.61335 39.71966, -75.6135 39.71982, -75.61388 39.7202)"
217759,103+04174,P1,495.0,I-495 N,1,US-13/Dupont Pky/Exit 1,71,UNITED STATES,DELAWARE,NEW CASTLE,19720,E,39.71419,-75.58118,39.71693,-75.55739,1.284731294742605,1,N,1.0,69076.0,2.0,,6.0,495.0,2.0,1.0,I495N,71702.0,4089.0,4360.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.58118 39.71419, -75.58049 39.71434, -75.57972 39.71448, -75.57934 39.71455, -75.57837 39.71473, -75.57795 39.71481, -75.57738 39.71492, -75.57673 39.71504, -75.57546 39.71527, -75.57375 39.71558, -75.57143 39.716, -75.56995 39.71629, -75.56895 39.71646, -75.56824 39.71656, -75.56757 39.71664, -75.56655 39.71674, -75.56586 39.71679, -75.56483 39.71685, -75.56379 39.71688, -75.56278 39.71689, -75.56099 39.71689, -75.56004 39.71691, -75.5591 39.71692, -75.55881 39.71692, -75.55782 39.71693, -75.55776 39.71693, -75.55739 39.71693)"
217760,103+04176,P1,495.0,I-495 N,1,12th St/Exit 3,71,UNITED STATES,DELAWARE,NEW CASTLE,19802,N,39.71984,-75.54057,39.73316,-75.5237,1.285145193834923,1,N,1.0,69076.0,2.0,1.0,6.0,495.0,2.0,1.0,I495N,95452.0,6446.0,7185.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.54057 39.71984, -75.54042 39.71994, -75.54032 39.72001, -75.54007 39.7202, -75.53992 39.72032, -75.53954 39.72061, -75.53861 39.72134, -75.53743 39.72225, -75.53655 39.72294, -75.53581 39.72351, -75.53565 39.72363, -75.53502 39.72412, -75.53373 39.72512, -75.53111 39.72715, -75.53072 39.72745, -75.53012 39.72792, -75.5293 39.72855, -75.52867 39.72904, -75.52803 39.72953, -75.52739 39.73002, -75.52676 39.73051, -75.52657 39.73065, -75.52617 39.73096, -75.52571 39.73133, -75.52527 39.73171, -75.52518 39.73178, -75.5248 39.73211, -75.52443 39.73245, -75.52415 39.73273, -75.5237 39.73316)"
217761,103+04179,P1,495.0,I-495 N,1,US-13/Philadelphia Pike/Exit 5,71,UNITED STATES,DELAWARE,NEW CASTLE,19809,N,39.75542,-75.49568,39.802,-75.45062,4.103872900582932,1,N,1.0,69076.0,2.0,,6.0,495.0,2.0,1.0,I495N,68941.0,3423.0,3053.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.49568 39.75542, -75.49525 39.75556, -75.49506 39.75562, -75.49463 39.75577, -75.49428 39.75589, -75.4941 39.75596, -75.49371 39.75611, -75.49341 39.75624, -75.49309 39.75639, -75.4928 39.75654, -75.49254 39.75668, -75.49226 39.75685, -75.492 39.75701, -75.49173 39.75719, -75.49147 39.75738, -75.49121 39.75758, -75.49098 39.75778, -75.49073 39.758, -75.4905 39.75822, -75.49029 39.75844, -75.49006 39.75869, -75.48989 39.7589, -75.48968 39.75917, -75.48951 39.75941, -75.48926 39.7598, -75.48909 39.76011, -75.48895 39.76036, -75.48855 39.76112, -75.48802 39.76212, -75.48781 39.76251, -75.48749 39.76311, -75.48714 39.76376, -75.48697 39.76407, -75.48658 39.7648, -75.48619 39.76553, -75.48581 39.76625, -75.48547 39.76688, -75.48528 39.76724, -75.4849 39.76795, -75.48467 39.76839, -75.48442 39.76885, -75.48417 39.76931, -75.48388 39.76985, -75.48368 39.77023, -75.48342 39.77072, -75.48305 39.7714, -75.48286 39.77175, -75.48259 39.77221, -75.48221 39.77281, -75.48191 39.77328, -75.48175 39.7735, -75.48159 39.77373, -75.48125 39.77419, -75.48091 39.77463, -75.48055 39.77506, -75.47998 39.7757, -75.47939 39.77636, -75.47859 39.77724, -75.47778 39.77813, -75.47719 39.77878, -75.4766 39.77944, -75.47603 39.78007, -75.47546 39.78069, -75.47492 39.78127, -75.47418 39.78205, -75.47116 39.78513, -75.47029 39.78602, -75.46986 39.78644, -75.46947 39.7868, -75.4692 39.78705, -75.46897 39.78725, -75.46851 39.78765, -75.46803 39.78804, -75.46772 39.78829, -75.46729 39.78862, -75.46678 39.78898, -75.46626 39.78934, -75.46572 39.78968, -75.46518 39.79001, -75.46436 39.79051, -75.46355 39.79101, -75.46219 39.79184, -75.46109 39.79252, -75.46059 39.79283, -75.45974 39.79335, -75.45863 39.79403, -75.45708 39.79498, -75.45583 39.79575, -75.45529 39.79608, -75.45478 39.79641, -75.4543 39.79675, -75.45385 39.7971, -75.45367 39.79726, -75.4534 39.79748, -75.45296 39.79788, -75.45255 39.79831, -75.45217 39.79874, -75.45183 39.79919, -75.45152 39.79965, -75.45125 39.80012, -75.45112 39.80037, -75.45102 39.80059, -75.45083 39.80111, -75.45072 39.80148, -75.45068 39.80167, -75.45065 39.80181, -75.45062 39.802)"
217762,103+04182,P1,295.0,I-295 N,1,US-13/US-40/US-301/Dupont Hwy,72,UNITED STATES,DELAWARE,NEW CASTLE,19720,E,39.69858,-75.58389,39.69765,-75.58263,0.092805084002124,1,N,1.0,69076.0,2.0,,4.0,295.0,2.0,1.0,I295E,91326.0,4534.0,4044.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.58389 39.69858, -75.58369 39.69843, -75.58355 39.69833, -75.58263 39.69765)"
217763,103+04184,P3,295.0,I-295 N,0,Delaware Mem Bridge Toll Plaza,72,UNITED STATES,DELAWARE,NEW CASTLE,19720,E,39.69542,-75.54768,39.69533,-75.54578,0.101188587260911,1,N,1.0,69076.0,2.0,1.0,10.0,295.0,2.0,1.0,I295E,100196.0,6121.0,6782.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.54768 39.69542, -75.5474 39.69541, -75.54699 39.69539, -75.54649 39.69537, -75.54578 39.69533)"
217829,103+04498,P1,1.0,SR-1 N,1,SR-299/Exit 136,105,UNITED STATES,DELAWARE,NEW CASTLE,19734,N,39.33519,-75.63385,39.44999,-75.67328,8.646867866319557,2,N,2.0,99999.0,2.0,,4.0,1.0,4.0,1.0,SR1N,52191.0,3867.0,3493.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.63385 39.33519, -75.63416 39.33543, -75.63441 39.33562, -75.63492 39.33604, -75.63531 39.33639, -75.63541 39.33648, -75.63585 39.33694, -75.63627 39.3374, -75.63653 39.33772, -75.63666 39.33788, -75.63702 39.33837, -75.63782 39.33959, -75.63874 39.341, -75.63989 39.34278, -75.64074 39.34407, -75.64143 39.34513, -75.6416 39.3454, -75.64246 39.3467, -75.64307 39.34757, -75.64391 39.34871, -75.64454 39.34955, -75.64505 39.35021, -75.64541 39.35065, -75.64595 39.35131, -75.64651 39.35198, -75.6468 39.35231, -75.64687 39.35239, -75.64749 39.3531, -75.64829 39.35398, -75.64905 39.35482, -75.6498 39.35565, -75.65073 39.35668, -75.6513 39.35731, -75.65183 39.35796, -75.65215 39.3584, -75.6524 39.35878, -75.65245 39.35885, -75.65273 39.3593, -75.653 39.35976, -75.65324 39.36023, -75.65347 39.3607, -75.65368 39.36118, -75.65386 39.36166, -75.65403 39.36214, -75.65418 39.36264, -75.65451 39.36396, -75.65506 39.36628, -75.65533 39.3673, -75.65544 39.36769, -75.65553 39.368, -75.6557 39.36855, -75.65593 39.36922, -75.65617 39.36988, -75.65635 39.37032, -75.65674 39.37124, -75.65708 39.37197, -75.65801 39.3738, -75.65841 39.37458, -75.65879 39.37533, -75.66175 39.38112, -75.66184 39.38129, -75.66315 39.38381, -75.66416 39.38582, -75.66434 39.38619, -75.66538 39.38823, -75.66565 39.38875, -75.666 39.38946, -75.66623 39.38995, -75.66642 39.39046, -75.66657 39.39097, -75.66664 39.39123, -75.66674 39.39175, -75.66681 39.39228, -75.66684 39.39254, -75.66685 39.39281, -75.66685 39.39334, -75.66681 39.39388, -75.66674 39.39442, -75.66663 39.39495, -75.6665 39.39546, -75.66617 39.39648, -75.66574 39.39781, -75.66432 39.40219, -75.6629 39.40655, -75.66285 39.40671, -75.66189 39.40964, -75.6617 39.41022, -75.66089 39.41272, -75.66043 39.41415, -75.66012 39.4151, -75.65981 39.41606, -75.6595 39.417, -75.6592 39.41795, -75.65888 39.41892, -75.65874 39.41939, -75.65861 39.41988, -75.65849 39.42037, -75.65839 39.42085, -75.65827 39.42158, -75.6582 39.42208, -75.65815 39.42257, -75.65812 39.42306, -75.6581 39.42356, -75.6581 39.42406, -75.6581 39.42455, -75.65813 39.42503, -75.65817 39.42552, -75.65822 39.426, -75.65829 39.42649, -75.65837 39.427, -75.65848 39.4275, -75.65865 39.42822, -75.65907 39.42972, -75.65985 39.43249, -75.66075 39.43573, -75.66106 39.43684, -75.6614 39.43807, -75.66162 39.43877, -75.66177 39.43914, -75.66192 39.43947, -75.66204 39.4397, -75.66217 39.43992, -75.66231 39.44015, -75.66245 39.44037, -75.6626 39.44058, -75.66277 39.44078, -75.66294 39.44098, -75.66311 39.44118, -75.6633 39.44137, -75.66349 39.44157, -75.66361 39.44169, -75.66368 39.44175, -75.66384 39.44189, -75.66502 39.4429, -75.66567 39.44345, -75.66577 39.44354, -75.66661 39.44424, -75.66752 39.445, -75.6681 39.44548, -75.66893 39.44619, -75.6718 39.44863, -75.67269 39.44939, -75.6728 39.44948, -75.67288 39.44956, -75.67306 39.44974, -75.67328 39.44999)"
217830,103+04501,P1,1.0,SR-1 N,1,Lorewood Grove Rd/Exit 148,105,UNITED STATES,DELAWARE,NEW CASTLE,19709,N,39.53167,-75.64958,39.53908,-75.64933,0.51209165122545,2,N,2.0,99999.0,2.0,,6.0,1.0,4.0,1.0,SR1N,78213.0,4379.0,3836.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.64958 39.53167, -75.64956 39.53193, -75.64953 39.53229, -75.64951 39.53283, -75.64949 39.53344, -75.64946 39.53454, -75.64942 39.5357, -75.6494 39.53664, -75.64937 39.53799, -75.64933 39.53908)"
217886,103+04762,P1,202.0,CONCORD PIKE,1,SR-261/Foulk Rd,160,UNITED STATES,DELAWARE,NEW CASTLE,19803,N,39.77234,-75.54389,39.77558,-75.54439,0.225503618990514,3,N,3.0,69076.0,2.0,,2.0,202.0,3.0,1.0,SR202N,48358.0,2222.0,1259.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-75.54389 39.77234, -75.54401 39.77294, -75.54411 39.77349, -75.54418 39.77385, -75.54422 39.77406, -75.54423 39.77415, -75.54426 39.77439, -75.54431 39.77487, -75.54433 39.77502, -75.54435 39.7752, -75.54436 39.77535, -75.54439 39.77558)"
217887,103+04764,P1,202.0,CONCORD PIKE,1,Mt Lebanon Rd,160,UNITED STATES,DELAWARE,NEW CASTLE,19803,N,39.78559,-75.5459,39.80635,-75.54881,1.442628112980308,2,N,3.0,69076.0,2.0,,6.0,202.0,3.0,1.0,SR202N,46920.0,2175.0,1232.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-75.5459 39.78559, -75.54594 39.78591, -75.54597 39.78617, -75.546 39.78644, -75.54602 39.78662, -75.54607 39.78716, -75.54611 39.78744, -75.54615 39.7877, -75.54619 39.788, -75.54626 39.78856, -75.54635 39.7893, -75.54646 39.79015, -75.54648 39.79038, -75.54649 39.79044, -75.54656 39.7909, -75.54663 39.7915, -75.5467 39.79194, -75.54673 39.79218, -75.54677 39.79247, -75.54682 39.79284, -75.54686 39.79308, -75.54689 39.79332, -75.5469 39.79337, -75.54693 39.79362, -75.54693 39.79367, -75.54697 39.79394, -75.54698 39.79404, -75.547 39.79418, -75.54702 39.79431, -75.54708 39.79471, -75.5471 39.79483, -75.54715 39.79524, -75.54719 39.79552, -75.54719 39.79555, -75.54724 39.79595, -75.54727 39.79616, -75.5473 39.79636, -75.54734 39.79668, -75.54737 39.7969, -75.54738 39.79702, -75.5474 39.79717, -75.54741 39.79722, -75.54743 39.79733, -75.54745 39.7975, -75.54748 39.79771, -75.54751 39.79795, -75.54754 39.79817, -75.54756 39.79827, -75.54759 39.79847, -75.54761 39.79862, -75.54767 39.79905, -75.54771 39.79933, -75.54775 39.79962, -75.54778 39.79984, -75.54782 39.80016, -75.54784 39.80032, -75.54789 39.80062, -75.54797 39.80116, -75.54802 39.80147, -75.54803 39.80157, -75.54807 39.80182, -75.5481 39.80203, -75.54817 39.80249, -75.54833 39.80345, -75.54834 39.8035, -75.54837 39.80371, -75.54849 39.80447, -75.54855 39.80483, -75.54862 39.80526, -75.54865 39.80543, -75.54869 39.80567, -75.54873 39.80589, -75.54877 39.80609, -75.54878 39.80617, -75.54881 39.80635)"
217888,103+04770,P1,141.0,FERRIS RD,1,SR-34/Faulkland Rd,68,UNITED STATES,DELAWARE,NEW CASTLE,19805,N,39.74093,-75.61723,39.74762,-75.61008,0.622271959098211,3,N,3.0,69076.0,2.0,,4.0,141.0,4.0,1.0,SR141N,29679.0,1422.0,806.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-75.61723 39.74093, -75.61702 39.74108, -75.61675 39.74124, -75.6166 39.74133, -75.61627 39.74153, -75.61601 39.74169, -75.61577 39.74184, -75.61538 39.74207, -75.61488 39.74239, -75.61436 39.74274, -75.61414 39.7429, -75.61391 39.74305, -75.61369 39.74323, -75.61284 39.74388, -75.61258 39.74406, -75.61238 39.7442, -75.61213 39.74438, -75.6118 39.74461, -75.61149 39.74484, -75.61128 39.745, -75.61091 39.74529, -75.61079 39.74539, -75.61073 39.74545, -75.6106 39.7456, -75.61052 39.74571, -75.6104 39.74592, -75.61033 39.74607, -75.6103 39.74616, -75.61024 39.74637, -75.6102 39.74655, -75.61017 39.74673, -75.61016 39.74679, -75.61012 39.74718, -75.6101 39.74744, -75.61008 39.74762)"
226528,103+04099,P3,95.0,I-95 N,1,I-95 Newark Toll Plaza,65,UNITED STATES,DELAWARE,NEW CASTLE,19702,E,39.63897,-75.78465,39.64098,-75.77721,0.420302301118037,1,N,1.0,69076.0,2.0,,6.0,95.0,2.0,1.0,I95E,81239.0,5002.0,5545.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.78465 39.63897, -75.78388 39.63909, -75.78321 39.63922, -75.78283 39.6393, -75.78248 39.63939, -75.78214 39.63947, -75.78147 39.63966, -75.78105 39.63979, -75.7792 39.64037, -75.77721 39.64098)"
226529,103+04101,P1,95.0,I-95 N,1,SR-273/Exit 3,65,UNITED STATES,DELAWARE,NEW CASTLE,19702,E,39.64707,-75.73981,39.6695,-75.67973,3.646619360438152,1,N,1.0,69076.0,2.0,,8.0,95.0,2.0,1.0,I95E,127257.0,8653.0,9651.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.73981 39.64707, -75.73946 39.64714, -75.73845 39.64735, -75.73491 39.64809, -75.73202 39.64868, -75.72786 39.64952, -75.7222 39.65066, -75.71457 39.6522, -75.71142 39.65285, -75.70933 39.65325, -75.70733 39.65365, -75.70668 39.65379, -75.70604 39.65393, -75.7054 39.65409, -75.70476 39.65427, -75.70354 39.65467, -75.70294 39.65489, -75.70235 39.65513, -75.70176 39.65538, -75.70119 39.65564, -75.70062 39.65593, -75.69979 39.65638, -75.69899 39.65686, -75.69772 39.65766, -75.69718 39.658, -75.69689 39.65818, -75.69633 39.65851, -75.69575 39.65881, -75.69515 39.65909, -75.69394 39.65965, -75.69334 39.65992, -75.69304 39.66006, -75.69245 39.66033, -75.69186 39.66062, -75.69129 39.66094, -75.69073 39.66127, -75.6902 39.66163, -75.6897 39.662, -75.68922 39.6624, -75.68877 39.66281, -75.68835 39.66323, -75.68612 39.66565, -75.68575 39.66599, -75.68544 39.66626, -75.68515 39.66647, -75.68485 39.66669, -75.6845 39.66695, -75.68432 39.66708, -75.68426 39.66712, -75.68401 39.66728, -75.68376 39.66745, -75.6835 39.6676, -75.68323 39.66775, -75.68268 39.66804, -75.68127 39.66873, -75.6802 39.66926, -75.67973 39.6695)"
226547,103+04177,P1,495.0,I-495 N,1,SR-3/Edgemoor Rd/Exit 4,71,UNITED STATES,DELAWARE,NEW CASTLE,19802,N,39.73832,-75.51904,39.74944,-75.50676,1.024057607068555,1,N,1.0,69076.0,2.0,,6.0,495.0,2.0,1.0,I495N,89567.0,6048.0,6742.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.51904 39.73832, -75.51875 39.73864, -75.51796 39.73952, -75.51411 39.74382, -75.51287 39.7452, -75.51255 39.74556, -75.51243 39.7457, -75.5119 39.74628, -75.51152 39.7467, -75.51132 39.74691, -75.51112 39.74712, -75.5109 39.74733, -75.51067 39.74752, -75.51044 39.74771, -75.51019 39.74789, -75.50994 39.74805, -75.50969 39.7482, -75.50942 39.74835, -75.50915 39.74849, -75.50848 39.74879, -75.5081 39.74894, -75.50729 39.74924, -75.50676 39.74944)"
226548,103+04178,P1,495.0,I-495 N,1,US-13/Exit 4,71,UNITED STATES,DELAWARE,NEW CASTLE,19809,E,39.75193,-75.50216,39.75491,-75.49723,0.337043434266905,1,N,1.0,69076.0,2.0,,6.0,495.0,2.0,1.0,I495N,67017.0,3327.0,2968.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-75.50216 39.75193, -75.50101 39.75288, -75.50065 39.75317, -75.50034 39.75342, -75.50018 39.75353, -75.50004 39.75363, -75.49986 39.75375, -75.49958 39.75392, -75.4993 39.75407, -75.49901 39.75422, -75.49872 39.75436, -75.49841 39.75449, -75.49795 39.75466, -75.49741 39.75485, -75.49723 39.75491)"
