Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
336710,110+04133,P1,395.0,I-395 N,1,Ohio Dr,67,UNITED STATES,District,DISTRICT OF COLUMBIA,20024,E,38.87899,-77.03497,38.87898,-77.03407,0.048406139521456,2,N,1.0,92242.0,2.0,,6.0,395.0,2.0,1.0,,208111.0,3371.0,672.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-77.03497 38.87899, -77.03433 38.87898, -77.03407 38.87898)"
336711,110+04134,P1,395.0,I-395 N,1,12th St SW/D St SW,67,UNITED STATES,District,DISTRICT OF COLUMBIA,20024,E,38.87965,-77.0319,38.88078,-77.0304,0.112351593096808,2,N,1.0,92242.0,2.0,1.0,6.0,395.0,2.0,1.0,,183720.0,2861.0,390.0,1,100.0,1.0,88.0,0.0,"LINESTRING (-77.0319 38.87965, -77.03165 38.87981, -77.03143 38.87997, -77.03127 38.88009, -77.03104 38.88028, -77.03098 38.88033, -77.0308 38.88046, -77.0304 38.88078)"
336738,110+04276,P1,295.0,DC-295 N,1,Pennsylvania Ave,82,UNITED STATES,District,DISTRICT OF COLUMBIA,20020,E,38.87187,-76.98209,38.8741,-76.97742,0.294705179750955,2,N,2.0,92242.0,2.0,,4.0,295.0,4.0,1.0,,124694.0,8506.0,1568.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-76.98209 38.87187, -76.98167 38.87206, -76.98116 38.8723, -76.98076 38.87249, -76.98048 38.87263, -76.97972 38.87301, -76.9793 38.87322, -76.9786 38.87357, -76.97828 38.87371, -76.97791 38.87388, -76.97742 38.8741)"
336739,110+04279,P1,295.0,DC-295 N,1,Benning Rd,82,UNITED STATES,District,DISTRICT OF COLUMBIA,20019,N,38.89293,-76.95484,38.8946,-76.95302,0.151510519220029,2,N,2.0,92242.0,2.0,,6.0,295.0,4.0,1.0,,140630.0,6825.0,1257.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-76.95484 38.89293, -76.95422 38.89357, -76.95392 38.89386, -76.9537 38.89406, -76.95354 38.89419, -76.95302 38.8946)"
336740,110+04280,P1,295.0,DC-295 N,1,Burroughs Ave,82,UNITED STATES,District,DISTRICT OF COLUMBIA,20019,N,38.89732,-76.94997,38.90035,-76.94611,0.294810630484434,2,N,2.0,92242.0,2.0,,6.0,295.0,4.0,1.0,,122044.0,4785.0,1126.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-76.94997 38.89732, -76.94962 38.89762, -76.94937 38.89781, -76.94884 38.8982, -76.94872 38.8983, -76.94809 38.89881, -76.94755 38.89923, -76.94689 38.89974, -76.94635 38.90016, -76.94611 38.90035)"
336741,110+04281,P1,295.0,DC-295 N,1,Polk St,82,UNITED STATES,District,DISTRICT OF COLUMBIA,20019,N,38.9053,-76.94013,38.90674,-76.9389,0.11945845138074,2,N,2.0,92242.0,2.0,,6.0,295.0,4.0,1.0,,128014.0,6212.0,1410.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-76.94013 38.9053, -76.93957 38.90595, -76.93946 38.90607, -76.93915 38.90645, -76.9389 38.90674)"
336742,110+04290,P1,295.0,I-295 N,1,Howard Rd/Exit 4B,83,UNITED STATES,District,DISTRICT OF COLUMBIA,20020,E,38.86316,-76.99835,38.86398,-76.99443,0.218428199274373,2,N,1.0,92242.0,2.0,,4.0,295.0,2.0,1.0,,104042.0,4533.0,843.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-76.99835 38.86316, -76.99672 38.86348, -76.99612 38.8636, -76.99522 38.86378, -76.99482 38.86387, -76.99443 38.86398)"
336743,110+04295,P1,695.0,I-695 W,1,I-395,83,UNITED STATES,District,DISTRICT OF COLUMBIA,20003,W,38.88098,-77.00579,38.88128,-77.00763,0.101690251491059,2,N,1.0,92242.0,2.0,1.0,8.0,695.0,2.0,1.0,,126648.0,2780.0,618.0,1,100.0,1.0,77.0,0.0,"LINESTRING (-77.00579 38.88098, -77.00637 38.88102, -77.00659 38.88105, -77.00678 38.88107, -77.00697 38.8811, -77.00741 38.88121, -77.00763 38.88128)"
336747,110+04320,P1,,POTOMAC RIVER FWY,1,I-66/E St,86,UNITED STATES,District,DISTRICT OF COLUMBIA,20037,N,38.89166,-77.05229,38.89179,-77.05243,0.011724149515736,3,N,2.0,92242.0,2.0,,4.0,66.0,3.0,1.0,,22092.0,226.0,147.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-77.05229 38.89166, -77.05235 38.89172, -77.05243 38.89179)"
336748,110+04321,P1,,POTOMAC RIVER FWY N,1,E St Expy,86,UNITED STATES,District,DISTRICT OF COLUMBIA,20037,N,38.89554,-77.05371,38.89592,-77.05355,0.02762392841633,2,N,2.0,92242.0,2.0,,4.0,66.0,3.0,1.0,,22092.0,226.0,147.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-77.05371 38.89554, -77.05355 38.89592)"
