Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
174252,126+04101,P1,1.0,I-H1 W,1,6th Ave/Exit 25,65,UNITED STATES,HAWAII,HONOLULU,96816,W,21.28137,-157.80222,21.28504,-157.80938,0.526021157098116,2,N,1.0,89770.0,2.0,,8.0,1.0,2.0,10.0,H-1,105500.0,3406.0,1062.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.80222 21.28137, -157.80244 21.28148, -157.80375 21.28216, -157.80543 21.28302, -157.80591 21.28326, -157.80595 21.28328, -157.80715 21.28389, -157.80797 21.2843, -157.80863 21.28465, -157.80938 21.28504)"
174253,126+04102,P1,1.0,I-H1 W,1,Kapiolani Blvd/Exit 25,65,UNITED STATES,HAWAII,HONOLULU,96816,W,21.28528,-157.80985,21.28783,-157.81283,0.262932488381453,2,N,1.0,89770.0,2.0,1.0,9.0,1.0,2.0,10.0,H-1,105981.0,3421.0,1067.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.80985 21.28528, -157.81021 21.28546, -157.81063 21.28571, -157.811 21.28597, -157.81104 21.286, -157.81139 21.28629, -157.81159 21.28646, -157.81189 21.28678, -157.81219 21.28712, -157.81232 21.28727, -157.81247 21.28744, -157.8125 21.28747, -157.81262 21.2876, -157.8127 21.2877, -157.81273 21.28773, -157.81283 21.28783)"
174254,126+04108,P1,1.0,I-H1 W,1,Lunalilo St/Piikoi St/Exit 23,65,UNITED STATES,HAWAII,HONOLULU,96814,W,21.30191,-157.83543,21.30256,-157.83897,0.233020333247578,2,N,1.0,89770.0,2.0,,8.0,1.0,2.0,10.0,H-1,189600.0,6121.0,1908.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.83543 21.30191, -157.83573 21.30203, -157.83583 21.30206, -157.83604 21.30212, -157.83627 21.30217, -157.83633 21.30218, -157.83663 21.30224, -157.83691 21.30228, -157.83706 21.3023, -157.83728 21.30233, -157.8374 21.30234, -157.83748 21.30235, -157.83793 21.30242, -157.83827 21.30247, -157.83897 21.30256)"
174255,126+04112,P1,1.0,I-H1 W,1,Liliha St,65,UNITED STATES,HAWAII,HONOLULU,96817,N,21.31879,-157.85804,21.32038,-157.8593,0.136525762680696,2,N,1.0,89770.0,2.0,,8.0,1.0,2.0,10.0,H-1,196500.0,6343.0,1978.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.85804 21.31879, -157.85809 21.31885, -157.8593 21.32038)"
174256,126+04114,P1,1.0,I-H1 W,1,Houghtailing St/Exit 20,65,UNITED STATES,HAWAII,HONOLULU,96817,N,21.32598,-157.86695,21.32786,-157.86828,0.155546503866272,2,N,1.0,89770.0,2.0,,10.0,1.0,2.0,10.0,H-1,183010.0,5539.0,1424.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.86695 21.32598, -157.86736 21.32655, -157.86745 21.32667, -157.86794 21.32736, -157.86828 21.32786)"
174257,126+04122,P1,1.0,I-H1 W,1,HI-99/Farrington Hwy/Exit 8,65,UNITED STATES,HAWAII,HONOLULU,96782,W,21.39252,-157.95914,21.3937,-157.97923,1.373634050492835,2,N,1.0,89770.0,2.0,,9.0,1.0,2.0,10.0,H-1,233449.0,7427.0,2138.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.95914 21.39252, -157.95921 21.39249, -157.95935 21.39243, -157.95945 21.39239, -157.9596 21.39233, -157.9603 21.39204, -157.96049 21.39196, -157.96116 21.39169, -157.96221 21.39126, -157.96274 21.39105, -157.96293 21.39097, -157.96343 21.39076, -157.96393 21.39058, -157.96446 21.39041, -157.96486 21.3903, -157.96527 21.39021, -157.96587 21.3901, -157.96629 21.39004, -157.96675 21.39, -157.96752 21.38998, -157.9682 21.38997, -157.96886 21.39003, -157.96947 21.39012, -157.97006 21.39024, -157.97055 21.39037, -157.97107 21.39053, -157.97157 21.39071, -157.97316 21.39133, -157.97478 21.39196, -157.97603 21.39246, -157.97618 21.39252, -157.97729 21.39294, -157.97788 21.39318, -157.97819 21.3933, -157.97923 21.3937)"
174258,126+04124,P1,1.0,I-H1 W,1,HI-99/Kamehameha Hwy/Exit 8,65,UNITED STATES,HAWAII,HONOLULU,96797,W,21.39808,-157.98862,21.39803,-157.9917,0.198727917459763,3,N,1.0,89770.0,2.0,,7.0,1.0,2.0,10.0,H-1,231700.0,7480.0,2332.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.98862 21.39808, -157.98886 21.39811, -157.98918 21.39814, -157.98937 21.39815, -157.98955 21.39816, -157.98981 21.39816, -157.99024 21.39814, -157.99057 21.39812, -157.99117 21.39807, -157.9917 21.39803)"
174259,126+04132,P1,2.0,I-H2 N,1,Kahelu Ave/Exit 7,66,UNITED STATES,HAWAII,HONOLULU,96789,W,21.46854,-158.00663,21.47579,-158.01874,0.951060732636547,2,N,1.0,89770.0,2.0,,5.0,2.0,2.0,10.0,H-2,67199.0,2169.0,677.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-158.00663 21.46854, -158.00686 21.46882, -158.00716 21.46918, -158.00761 21.46971, -158.00776 21.46989, -158.00847 21.47074, -158.00893 21.47128, -158.00932 21.47168, -158.00964 21.47196, -158.01 21.47226, -158.01042 21.47255, -158.0107 21.47272, -158.01101 21.47289, -158.01129 21.47303, -158.01157 21.47316, -158.0119 21.47329, -158.01247 21.4735, -158.01288 21.47365, -158.01331 21.4738, -158.01348 21.47386, -158.01407 21.47406, -158.01513 21.47446, -158.01621 21.47485, -158.01874 21.47579)"
174260,126+04139,P1,3.0,I-H3 E,1,Mokapu Saddle Rd,67,UNITED STATES,HAWAII,HONOLULU,96734,N,21.38488,-157.78686,21.40444,-157.76737,1.9975672389806,3,N,1.0,43669.0,2.0,,4.0,3.0,2.0,10.0,H-3,23657.0,763.0,239.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.78686 21.38488, -157.78612 21.38484, -157.78505 21.38482, -157.78467 21.38484, -157.78434 21.38488, -157.784 21.38491, -157.78367 21.38496, -157.78332 21.38503, -157.78305 21.38509, -157.78273 21.38517, -157.78247 21.38525, -157.78216 21.38534, -157.78187 21.38544, -157.7816 21.38555, -157.78133 21.38567, -157.78101 21.38582, -157.78081 21.38592, -157.78052 21.38608, -157.78005 21.38639, -157.77982 21.38653, -157.77933 21.38685, -157.77908 21.38702, -157.77862 21.38732, -157.7784 21.38746, -157.77817 21.38761, -157.77771 21.38791, -157.77725 21.38821, -157.77702 21.38835, -157.7768 21.3885, -157.77657 21.38865, -157.77636 21.38881, -157.77615 21.38897, -157.77594 21.38914, -157.77574 21.38931, -157.77553 21.38949, -157.77534 21.38968, -157.77515 21.38988, -157.77491 21.39015, -157.77445 21.39072, -157.77425 21.39102, -157.77402 21.3914, -157.77375 21.39192, -157.77352 21.39242, -157.77338 21.3928, -157.77326 21.39317, -157.77309 21.39393, -157.77303 21.39419, -157.7728 21.39526, -157.77256 21.39632, -157.77249 21.3966, -157.77241 21.39687, -157.77233 21.39713, -157.77223 21.39738, -157.77212 21.39762, -157.772 21.39788, -157.77188 21.39811, -157.77174 21.39836, -157.77159 21.3986, -157.77142 21.39884, -157.77124 21.39911, -157.77039 21.40029, -157.77022 21.40052, -157.77005 21.40075, -157.76988 21.40099, -157.76973 21.40119, -157.76956 21.40143, -157.76938 21.40169, -157.76921 21.40193, -157.76903 21.40218, -157.76885 21.40243, -157.76868 21.40266, -157.76851 21.40289, -157.76834 21.40313, -157.76819 21.40333, -157.7679 21.40372, -157.76775 21.40393, -157.76761 21.40411, -157.76737 21.40444)"
174261,126+04141,P1,3.0,I-H3 E,1,G St,67,UNITED STATES,HAWAII,HONOLULU,96734,N,21.43086,-157.76023,21.43551,-157.75699,0.415641119389351,5,N,1.0,43669.0,2.0,,4.0,3.0,2.0,10.0,H-3,15000.0,484.0,151.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.76023 21.43086, -157.76025 21.43105, -157.76031 21.43156, -157.76027 21.43199, -157.76019 21.43228, -157.76002 21.43262, -157.75976 21.43297, -157.75945 21.43322, -157.75921 21.43337, -157.75826 21.43386, -157.75785 21.43408, -157.75767 21.43421, -157.75755 21.43432, -157.75743 21.43447, -157.75731 21.43464, -157.75721 21.4349, -157.75705 21.43535, -157.75699 21.43551)"
174262,126+04143,P1,201.0,I-H201 W,1,Funston Rd/Exit 4,68,UNITED STATES,HAWAII,HONOLULU,96819,N,21.33795,-157.8838,21.33937,-157.88479,0.116988325628319,2,N,1.0,89770.0,2.0,,6.0,201.0,2.0,10.0,H-201,130300.0,4206.0,1311.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-157.8838 21.33795, -157.88388 21.33807, -157.884 21.33823, -157.88415 21.33843, -157.88441 21.33882, -157.88479 21.33937)"
