Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
62198,117+04098,P1,84.0,I-84 W,1,Eisenman Rd/Exit 59,65,UNITED STATES,IDAHO,ADA,83716,N,43.46864,-116.09688,43.50114,-116.13644,3.018712674596554,1,N,1.0,99999.0,2.0,,4.0,84.0,2.0,1.0,,27500.0,2399.0,3633.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.09688 43.46864, -116.09756 43.46941, -116.09839 43.47038, -116.0991 43.47121, -116.10037 43.47268, -116.10157 43.47406, -116.10214 43.47472, -116.10238 43.47499, -116.10337 43.47608, -116.10401 43.47674, -116.10461 43.47733, -116.10521 43.47789, -116.10596 43.47854, -116.10655 43.47905, -116.10759 43.47988, -116.10839 43.48047, -116.1093 43.48112, -116.10967 43.48137, -116.11012 43.48166, -116.11049 43.4819, -116.11119 43.48234, -116.1118 43.4827, -116.11243 43.48306, -116.113 43.48339, -116.11423 43.48405, -116.11524 43.48459, -116.1174 43.48575, -116.11794 43.48605, -116.11819 43.48618, -116.1185 43.48636, -116.11861 43.48642, -116.11923 43.48679, -116.12024 43.48743, -116.12095 43.48789, -116.12159 43.48833, -116.1226 43.48907, -116.12333 43.48961, -116.12378 43.48994, -116.12457 43.49052, -116.12557 43.49128, -116.12601 43.49162, -116.12676 43.49224, -116.12748 43.49287, -116.12794 43.49329, -116.12852 43.49383, -116.12932 43.49463, -116.12971 43.49504, -116.13022 43.49559, -116.13096 43.4964, -116.13147 43.49694, -116.13199 43.49747, -116.13253 43.49798, -116.13309 43.49848, -116.13364 43.49896, -116.13424 43.49943, -116.13483 43.49989, -116.13556 43.50043, -116.13603 43.5008, -116.13644 43.50114)"
62199,117+04102,P1,84.0,I-84 W,1,Orchard St/Exit 52,65,UNITED STATES,IDAHO,ADA,83705,W,43.5722,-116.22305,43.57376,-116.24,0.874659882002755,1,N,1.0,8785.0,2.0,,8.0,84.0,2.0,1.0,,92500.0,3500.0,5760.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.22305 43.5722, -116.22338 43.5722, -116.22428 43.5722, -116.22604 43.5722, -116.22916 43.57217, -116.22994 43.57216, -116.23271 43.57215, -116.23406 43.57215, -116.23463 43.57216, -116.23526 43.5722, -116.23581 43.57227, -116.23629 43.57236, -116.23677 43.57246, -116.23742 43.57264, -116.23798 43.57283, -116.23841 43.573, -116.2386 43.57308, -116.23909 43.57331, -116.23962 43.57357, -116.2399 43.57371, -116.24 43.57376)"
62200,117+04109,P1,184.0,I-184 E,1,Franklin Rd,66,UNITED STATES,IDAHO,ADA,83709,E,43.60085,-116.28366,43.60486,-116.27801,0.395752021196486,3,N,1.0,8785.0,2.0,,6.0,184.0,2.0,1.0,,66000.0,1085.0,1786.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.28366 43.60085, -116.28351 43.60096, -116.28339 43.60105, -116.28223 43.60187, -116.27801 43.60486)"
62203,117+04114,P1,90.0,I-90 W,1,ID-97/Exit 22,67,UNITED STATES,IDAHO,KOOTENAI,83814,W,47.57573,-116.44691,47.62442,-116.64504,11.495150725092378,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,13000.0,570.0,1900.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.44691 47.57573, -116.44815 47.57612, -116.45022 47.57679, -116.45506 47.57835, -116.45894 47.5796, -116.46041 47.58007, -116.46173 47.5805, -116.46367 47.58112, -116.4652 47.58163, -116.46606 47.58195, -116.46678 47.58224, -116.46759 47.58261, -116.46797 47.58279, -116.46816 47.58288, -116.46864 47.58313, -116.46924 47.58345, -116.46997 47.58387, -116.47086 47.5844, -116.47312 47.58576, -116.47404 47.58631, -116.47479 47.58675, -116.47545 47.58713, -116.47593 47.58739, -116.47628 47.58756, -116.47672 47.58775, -116.47714 47.58791, -116.47763 47.58807, -116.47843 47.58829, -116.47897 47.58843, -116.47946 47.58857, -116.47988 47.58871, -116.4803 47.58888, -116.4807 47.58908, -116.48104 47.58931, -116.48151 47.58963, -116.48187 47.58989, -116.48224 47.59014, -116.48255 47.59033, -116.48281 47.59046, -116.48315 47.59061, -116.48348 47.59073, -116.48385 47.59083, -116.48419 47.5909, -116.48457 47.59095, -116.48493 47.59098, -116.48523 47.59099, -116.48532 47.59099, -116.48593 47.59098, -116.48652 47.59097, -116.48799 47.59094, -116.48871 47.59093, -116.48918 47.59093, -116.48955 47.59095, -116.48991 47.59099, -116.49022 47.59105, -116.49057 47.59113, -116.49088 47.59123, -116.49126 47.59137, -116.49151 47.5915, -116.4918 47.59167, -116.49209 47.59187, -116.49235 47.5921, -116.49256 47.59233, -116.49272 47.59256, -116.49285 47.59281, -116.49294 47.59304, -116.49298 47.59323, -116.493 47.59339, -116.49299 47.59362, -116.49295 47.59383, -116.49289 47.59405, -116.49278 47.59433, -116.49256 47.59485, -116.49245 47.59512, -116.49236 47.59538, -116.4923 47.59567, -116.49229 47.59594, -116.49231 47.59621, -116.49236 47.59642, -116.49244 47.59664, -116.49252 47.59681, -116.49264 47.59701, -116.49277 47.59719, -116.49296 47.59739, -116.49316 47.59758, -116.49346 47.5978, -116.49392 47.59807, -116.49423 47.59823, -116.49483 47.59852, -116.49512 47.59866, -116.49541 47.59881, -116.49573 47.599, -116.49598 47.59918, -116.49624 47.5994, -116.49644 47.59961, -116.49659 47.59979, -116.4967 47.59992, -116.4969 47.60019, -116.49718 47.60057, -116.49825 47.60196, -116.49876 47.60261, -116.49944 47.60351, -116.50021 47.60449, -116.50033 47.60464, -116.50054 47.60488, -116.50077 47.60511, -116.50104 47.60533, -116.50129 47.60551, -116.50155 47.60567, -116.50186 47.60582, -116.50233 47.606, -116.50264 47.60609, -116.50288 47.60614, -116.50323 47.60621, -116.50364 47.60626, -116.50415 47.60629, -116.50458 47.60627, -116.50504 47.60623, -116.50598 47.6061, -116.50625 47.60605, -116.50663 47.60599, -116.50706 47.60593, -116.50757 47.60588, -116.508 47.60587, -116.50833 47.60589, -116.50873 47.60594, -116.50897 47.60598, -116.50932 47.60606, -116.50964 47.60617, -116.50992 47.60628, -116.51016 47.60639, -116.51036 47.60651, -116.51054 47.60663, -116.51073 47.60677, -116.51091 47.60692, -116.51105 47.60707, -116.51121 47.60726, -116.5114 47.60755, -116.51158 47.60788, -116.51181 47.60834, -116.51195 47.60861, -116.51207 47.60883, -116.51221 47.60904, -116.5124 47.60928, -116.51264 47.60951, -116.5129 47.60973, -116.51321 47.60994, -116.51352 47.6101, -116.51394 47.61027, -116.51432 47.61039, -116.51475 47.61049, -116.51523 47.61057, -116.5159 47.61065, -116.51642 47.61069, -116.51709 47.61077, -116.51752 47.61083, -116.51798 47.61093, -116.51839 47.61105, -116.51883 47.61121, -116.5192 47.61138, -116.51948 47.61153, -116.5198 47.61173, -116.52012 47.61197, -116.52032 47.61215, -116.52056 47.61239, -116.52073 47.61261, -116.52092 47.6129, -116.52108 47.6132, -116.52117 47.6135, -116.52123 47.6138, -116.52126 47.61403, -116.52125 47.61432, -116.52121 47.61459, -116.52117 47.61481, -116.52106 47.61511, -116.52094 47.61536, -116.52054 47.61633, -116.52018 47.61723, -116.52003 47.61771, -116.51998 47.61799, -116.51997 47.61814, -116.51998 47.61842, -116.52002 47.61867, -116.52013 47.61902, -116.52027 47.6193, -116.52044 47.61954, -116.52064 47.61978, -116.52096 47.62008, -116.52127 47.62033, -116.52162 47.62055, -116.52219 47.62085, -116.52272 47.6211, -116.52331 47.62135, -116.52356 47.62145, -116.5238 47.62155, -116.52437 47.62177, -116.52531 47.62211, -116.52649 47.6225, -116.52708 47.62268, -116.52788 47.62292, -116.529 47.6232, -116.52993 47.62343, -116.53026 47.6235, -116.53045 47.62354, -116.53097 47.62365, -116.53156 47.62376, -116.53243 47.62392, -116.53313 47.62404, -116.53413 47.62418, -116.53475 47.62426, -116.53608 47.6244, -116.53735 47.62451, -116.53822 47.62458, -116.53934 47.62464, -116.54041 47.62468, -116.54145 47.62471, -116.54214 47.62472, -116.54282 47.62472, -116.54413 47.62471, -116.54503 47.62469, -116.54556 47.62468, -116.54632 47.62464, -116.54725 47.6246, -116.54771 47.62457, -116.54819 47.62453, -116.54857 47.62449, -116.54886 47.62444, -116.54914 47.62438, -116.54951 47.62429, -116.54989 47.62417, -116.55029 47.62402, -116.55074 47.62385, -116.55134 47.6236, -116.55191 47.62336, -116.55259 47.62308, -116.55295 47.62293, -116.55322 47.62283, -116.55343 47.62276, -116.55375 47.62267, -116.55413 47.62258, -116.55455 47.6225, -116.55505 47.62243, -116.55546 47.6224, -116.5559 47.62239, -116.55629 47.6224, -116.55676 47.62244, -116.55715 47.62249, -116.55758 47.62257, -116.55805 47.62268, -116.55848 47.62281, -116.55888 47.62296, -116.55925 47.62312, -116.56035 47.62362, -116.56061 47.62374, -116.56106 47.62393, -116.56149 47.62409, -116.56184 47.62419, -116.56221 47.62428, -116.56259 47.62436, -116.56303 47.62441, -116.56342 47.62443, -116.56387 47.62444, -116.56496 47.62442, -116.56572 47.62442, -116.56623 47.62443, -116.56668 47.62447, -116.56714 47.62454, -116.56754 47.62461, -116.56883 47.62486, -116.56903 47.62489, -116.56932 47.62493, -116.56964 47.62495, -116.57004 47.62496, -116.57042 47.62494, -116.57077 47.6249, -116.57117 47.62483, -116.57153 47.62474, -116.57192 47.62462, -116.57227 47.62447, -116.57258 47.62431, -116.57289 47.62412, -116.57322 47.62388, -116.57405 47.62322, -116.57504 47.62245, -116.57523 47.6223, -116.57559 47.62205, -116.57599 47.62182, -116.57636 47.62165, -116.57677 47.62149, -116.57729 47.62135, -116.57765 47.62128, -116.57806 47.62123, -116.57853 47.6212, -116.57899 47.62121, -116.57943 47.62125, -116.57983 47.62131, -116.58014 47.62138, -116.58051 47.62149, -116.58086 47.62161, -116.58121 47.62176, -116.58154 47.62194, -116.58182 47.6221, -116.58235 47.62245, -116.58256 47.6226, -116.58505 47.62431, -116.58577 47.62481, -116.58624 47.62513, -116.58676 47.62548, -116.58714 47.6257, -116.5875 47.6259, -116.58779 47.62604, -116.58815 47.6262, -116.58857 47.62636, -116.58905 47.62651, -116.58947 47.62661, -116.5899 47.62669, -116.59034 47.62676, -116.59122 47.62685, -116.59214 47.62693, -116.59297 47.62703, -116.5936 47.62714, -116.59417 47.62726, -116.59466 47.62738, -116.59512 47.62751, -116.59575 47.62773, -116.59632 47.62794, -116.5969 47.62818, -116.5974 47.62842, -116.59783 47.62865, -116.59912 47.62941, -116.59948 47.6296, -116.59981 47.62977, -116.60012 47.6299, -116.60049 47.63004, -116.6011 47.63024, -116.60147 47.63033, -116.60189 47.63043, -116.60233 47.63051, -116.60283 47.63058, -116.60333 47.63063, -116.60393 47.63066, -116.60459 47.63069, -116.60648 47.63076, -116.60863 47.63085, -116.60915 47.63087, -116.61007 47.6309, -116.61054 47.63091, -116.61107 47.63089, -116.61158 47.63086, -116.61196 47.63082, -116.61238 47.63075, -116.61289 47.63067, -116.61427 47.63039, -116.61554 47.63012, -116.61794 47.62963, -116.6217 47.62885, -116.62195 47.6288, -116.62212 47.62877, -116.62261 47.62867, -116.62379 47.62841, -116.62578 47.628, -116.62849 47.62744, -116.63088 47.62696, -116.63301 47.62655, -116.63446 47.62629, -116.6374 47.62577, -116.64107 47.62511, -116.64289 47.62479, -116.64301 47.62477, -116.64412 47.62457, -116.64504 47.62442)"
62204,117+04115,P1,90.0,I-90 W,1,Mullan Trail Rd/Exit 17,67,UNITED STATES,IDAHO,KOOTENAI,83814,W,47.65017,-116.71511,47.65326,-116.72067,0.368081867741451,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,12500.0,547.0,1824.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.71511 47.65017, -116.71514 47.65028, -116.7152 47.65046, -116.71535 47.6508, -116.71546 47.65102, -116.7156 47.65125, -116.71572 47.65141, -116.7159 47.65161, -116.71612 47.65183, -116.7164 47.65207, -116.71676 47.65231, -116.71713 47.65252, -116.71749 47.65269, -116.71789 47.65285, -116.71823 47.65296, -116.71862 47.65306, -116.71893 47.65312, -116.71929 47.65318, -116.71966 47.65322, -116.72003 47.65324, -116.72067 47.65326)"
62205,117+04119,P1,90.0,I-90 W,1,US-95/Exit 12,67,UNITED STATES,IDAHO,KOOTENAI,83814,W,47.69827,-116.78508,47.69855,-116.78719,0.100000269338815,1,N,1.0,18451.0,2.0,,4.0,90.0,2.0,1.0,,38000.0,1167.0,2639.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-116.78508 47.69827, -116.78629 47.69844, -116.78651 47.69847, -116.78719 47.69855)"
62206,117+04125,P3,90.0,I-90 W,1,Idaho/Washington State Line,67,UNITED STATES,IDAHO,KOOTENAI,83854,W,47.7083,-117.00531,47.69694,-117.04157,1.884921306284106,1,N,1.0,18451.0,2.0,,4.0,90.0,2.0,1.0,,61663.0,1386.0,3182.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-117.00531 47.7083, -117.00631 47.70783, -117.0074 47.7073, -117.00943 47.7063, -117.01119 47.70544, -117.01306 47.70453, -117.01353 47.7043, -117.01436 47.7039, -117.01446 47.70385, -117.01485 47.70367, -117.01525 47.70349, -117.0161 47.70311, -117.01683 47.7028, -117.0178 47.7024, -117.01889 47.70198, -117.01982 47.70164, -117.02063 47.70133, -117.02197 47.70086, -117.02399 47.70023, -117.02596 47.69968, -117.027 47.69941, -117.02774 47.69922, -117.02861 47.699, -117.02986 47.69873, -117.03161 47.69839, -117.03339 47.69808, -117.03434 47.69793, -117.04046 47.69709, -117.04157 47.69694)"
62207,117+04127,P3,84.0,I-84 W,1,Lake Bonneville Rest Area,65,UNITED STATES,IDAHO,ONEIDA,83243,N,41.99993,-112.83311,42.06872,-112.90266,5.942798681553601,1,N,1.0,99999.0,2.0,,4.0,84.0,2.0,1.0,,9800.0,604.0,3892.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-112.83311 41.99993, -112.83432 42.00112, -112.83568 42.00247, -112.83704 42.00382, -112.83823 42.00506, -112.83946 42.00629, -112.84212 42.00891, -112.84582 42.01257, -112.84845 42.01518, -112.8506 42.0173, -112.85276 42.01944, -112.85465 42.02126, -112.85546 42.02207, -112.86134 42.02787, -112.8648 42.0313, -112.86543 42.03191, -112.86882 42.03527, -112.87254 42.03893, -112.87419 42.04055, -112.87467 42.04104, -112.87678 42.04313, -112.87915 42.04547, -112.88154 42.04783, -112.88315 42.04942, -112.88393 42.0502, -112.88686 42.05309, -112.88871 42.05492, -112.89108 42.05725, -112.89117 42.05734, -112.89326 42.05941, -112.90112 42.06716, -112.90227 42.06834, -112.90266 42.06872)"
62208,117+04130,P1,84.0,I-84 W,1,Sublett Rd/Exit 245,65,UNITED STATES,IDAHO,CASSIA,83342,W,42.24393,-113.09177,42.32515,-113.20904,8.354776984159935,1,N,1.0,99999.0,2.0,,4.0,84.0,2.0,1.0,,9600.0,472.0,4099.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-113.09177 42.24393, -113.09221 42.24432, -113.09261 42.24466, -113.09287 42.24487, -113.0932 42.24514, -113.09378 42.2456, -113.09408 42.24583, -113.09439 42.24605, -113.09466 42.24624, -113.09501 42.24649, -113.09596 42.24713, -113.09691 42.24777, -113.09754 42.2482, -113.0985 42.24884, -113.09978 42.24968, -113.10078 42.25028, -113.10146 42.25067, -113.10215 42.25105, -113.10285 42.25142, -113.10355 42.25178, -113.10427 42.25213, -113.105 42.25246, -113.1061 42.25294, -113.10722 42.25341, -113.10834 42.25386, -113.11022 42.25462, -113.11135 42.25509, -113.11285 42.25569, -113.11397 42.25616, -113.11509 42.25662, -113.11696 42.25738, -113.11846 42.25799, -113.11959 42.25845, -113.12111 42.25904, -113.12188 42.25931, -113.12228 42.25945, -113.12307 42.25971, -113.12427 42.26008, -113.12508 42.26031, -113.12589 42.26053, -113.12793 42.26107, -113.12916 42.2614, -113.12997 42.26162, -113.13079 42.26183, -113.1316 42.26205, -113.13282 42.26238, -113.13403 42.26273, -113.13483 42.26298, -113.13522 42.26312, -113.13561 42.26325, -113.13638 42.26354, -113.13715 42.26385, -113.1379 42.26417, -113.13863 42.2645, -113.13936 42.26486, -113.14041 42.26541, -113.1411 42.2658, -113.14209 42.26641, -113.14306 42.26706, -113.14359 42.26745, -113.14488 42.26845, -113.14573 42.26918, -113.14626 42.26968, -113.1468 42.2702, -113.14781 42.27125, -113.14881 42.27231, -113.14957 42.27309, -113.15033 42.27388, -113.15084 42.2744, -113.15111 42.27465, -113.15249 42.27589, -113.1539 42.27711, -113.15503 42.27808, -113.15645 42.27929, -113.15815 42.28076, -113.15957 42.28198, -113.16099 42.2832, -113.16213 42.28418, -113.16383 42.28563, -113.16495 42.2866, -113.16604 42.28759, -113.16709 42.2886, -113.16838 42.28988, -113.17046 42.29193, -113.17257 42.29399, -113.17325 42.29466, -113.17328 42.29469, -113.1755 42.29686, -113.17576 42.29712, -113.17658 42.29791, -113.17739 42.29871, -113.17847 42.29976, -113.17954 42.30082, -113.18062 42.30187, -113.18223 42.30345, -113.18357 42.30476, -113.18411 42.30529, -113.18465 42.30581, -113.18546 42.30661, -113.186 42.30713, -113.18654 42.30766, -113.18735 42.30845, -113.18788 42.30898, -113.18869 42.30977, -113.1895 42.31056, -113.19004 42.31108, -113.19085 42.31187, -113.19141 42.31238, -113.19198 42.31288, -113.19256 42.31338, -113.19347 42.3141, -113.1944 42.31481, -113.19569 42.31572, -113.19666 42.31641, -113.1973 42.31686, -113.19924 42.31823, -113.20052 42.31914, -113.20181 42.32005, -113.20311 42.32096, -113.20408 42.32165, -113.20505 42.32233, -113.20601 42.32302, -113.20664 42.32346, -113.20698 42.3237, -113.20795 42.32438, -113.20866 42.32488, -113.20904 42.32515)"
62209,117+04136,P1,84.0,I-84 W,1,I-84-BL/ID-27/Exit 208,65,UNITED STATES,IDAHO,MINIDOKA,83336,W,42.56894,-113.73378,42.56837,-113.78278,2.493931209434698,1,N,1.0,99999.0,2.0,,4.0,84.0,2.0,1.0,,18000.0,770.0,5194.0,1,100.0,1.0,100.0,0.0,"LINESTRING (-113.73378 42.56894, -113.73404 42.56894, -113.73501 42.56894, -113.73544 42.56894, -113.73624 42.56894, -113.73656 42.56894, -113.73705 42.56894, -113.73748 42.56894, -113.73785 42.56893, -113.73815 42.56893, -113.73821 42.56893, -113.73932 42.56893, -113.7397 42.56894, -113.74009 42.56893, -113.74048 42.56893, -113.74167 42.56893, -113.74437 42.56893, -113.74527 42.56893, -113.74554 42.56893, -113.74609 42.56892, -113.74642 42.56892, -113.74731 42.5689, -113.74775 42.56889, -113.74864 42.56887, -113.74909 42.56885, -113.7494 42.56884, -113.74954 42.56884, -113.74999 42.56882, -113.75134 42.56876, -113.7527 42.5687, -113.7536 42.56866, -113.7545 42.56861, -113.75495 42.56859, -113.75586 42.56855, -113.75676 42.56851, -113.75722 42.5685, -113.75767 42.56848, -113.75857 42.56845, -113.75902 42.56844, -113.75993 42.56842, -113.76128 42.56841, -113.76173 42.5684, -113.76218 42.5684, -113.7639 42.56841, -113.76415 42.56841, -113.76485 42.56841, -113.76531 42.5684, -113.76574 42.5684, -113.76708 42.5684, -113.76753 42.56839, -113.76798 42.56839, -113.76977 42.56839, -113.77363 42.56839, -113.77416 42.56839, -113.77557 42.56839, -113.77602 42.56839, -113.7763 42.56839, -113.77737 42.56839, -113.77826 42.56839, -113.77927 42.56838, -113.78049 42.56838, -113.78138 42.56838, -113.78182 42.56837, -113.78278 42.56837)"
