Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
89104,119+04402,P1,35.0,I-35 N,1,I-435/KS-10/Exit 222,83,UNITED STATES,KANSAS,JOHNSON,66215,N,38.91599,-94.76758,38.93554,-94.7506,1.630128273720344,1,N,1.0,43912.0,2.0,,6.0,35.0,2.0,1.0,35,116000.0,3380.0,10700.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.76758 38.91599, -94.76731 38.91629, -94.76667 38.91693, -94.76595 38.91773, -94.76499 38.91878, -94.76373 38.92022, -94.7617 38.9226, -94.7597 38.92494, -94.75891 38.92587, -94.75799 38.92694, -94.75772 38.92725, -94.75757 38.92743, -94.7574 38.92762, -94.75665 38.92851, -94.75635 38.92886, -94.75516 38.93026, -94.7535 38.93215, -94.75316 38.93255, -94.75285 38.93291, -94.75275 38.93303, -94.7526 38.93321, -94.75222 38.93365, -94.75183 38.93412, -94.7515 38.93451, -94.75115 38.93491, -94.75085 38.93525, -94.7506 38.93554)"
89105,119+04403,P1,35.0,I-35 N,1,95th St/Exit 224,83,UNITED STATES,KANSAS,JOHNSON,66215,N,38.94372,-94.74358,38.9547,-94.73422,0.910088567462464,2,N,1.0,43912.0,2.0,,6.0,35.0,2.0,1.0,35,102000.0,3160.0,10100.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.74358 38.94372, -94.74311 38.94428, -94.74292 38.94452, -94.74257 38.94495, -94.74219 38.94539, -94.74182 38.94581, -94.74175 38.9459, -94.74092 38.94687, -94.74073 38.94709, -94.73966 38.94834, -94.73897 38.94915, -94.73657 38.95195, -94.73557 38.95312, -94.73503 38.95374, -94.73495 38.95384, -94.73472 38.9541, -94.73422 38.9547)"
89106,119+04408,P1,35.0,I-35 N,1,US-56/US-69/Exit 228,83,UNITED STATES,KANSAS,JOHNSON,66202,N,39.00917,-94.69362,39.0123,-94.69324,0.217186987007804,2,N,1.0,43912.0,2.0,,8.0,35.0,2.0,1.0,35,141000.0,3480.0,10500.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.69362 39.00917, -94.69353 39.00981, -94.69329 39.01184, -94.69324 39.0123)"
89107,119+04409,P1,35.0,I-35 N,1,Johnson Dr/Exit 229,83,UNITED STATES,KANSAS,JOHNSON,66202,N,39.01714,-94.69284,39.02254,-94.69154,0.379897512332411,2,N,1.0,43912.0,2.0,,8.0,35.0,2.0,1.0,35,135000.0,3160.0,10500.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.69284 39.01714, -94.69268 39.01828, -94.69252 39.01902, -94.69239 39.01955, -94.6922 39.02025, -94.69191 39.02117, -94.69172 39.02184, -94.69162 39.02219, -94.69155 39.02248, -94.69154 39.02254)"
89108,119+04410,P1,35.0,I-35 N,1,Antioch Rd/Exit 230,83,UNITED STATES,KANSAS,JOHNSON,66202,N,39.02506,-94.69102,39.031,-94.68883,0.427660669060268,2,N,1.0,43912.0,2.0,,8.0,35.0,2.0,1.0,35,132000.0,3160.0,10500.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.69102 39.02506, -94.69096 39.02533, -94.69087 39.02572, -94.69077 39.02608, -94.6906 39.0266, -94.69058 39.02666, -94.69006 39.02811, -94.68971 39.02908, -94.68954 39.02955, -94.68942 39.02984, -94.68939 39.02992, -94.68934 39.03003, -94.68926 39.03022, -94.68911 39.03049, -94.68893 39.03082, -94.68883 39.031)"
89109,119+04413,P1,35.0,I-35 N,1,US-69/18th St Expy,83,UNITED STATES,KANSAS,WYANDOTTE,66106,E,39.04574,-94.65354,39.04654,-94.65071,0.161600214675269,2,N,1.0,43912.0,2.0,,6.0,35.0,2.0,1.0,35,112000.0,2570.0,8920.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.65354 39.04574, -94.6531 39.04587, -94.65255 39.04604, -94.65129 39.04638, -94.65071 39.04654)"
89110,119+04415,P1,35.0,I-35 N,1,37th Ave/Exit 233,83,UNITED STATES,KANSAS,WYANDOTTE,66103,N,39.05764,-94.62839,39.0595,-94.62786,0.131691928071923,2,N,1.0,43912.0,2.0,1.0,6.0,35.0,2.0,1.0,35,105343.0,2400.0,8728.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.62839 39.05764, -94.62824 39.05804, -94.62821 39.05813, -94.62815 39.05834, -94.62807 39.05868, -94.62786 39.0595)"
89111,119+04416,P1,35.0,I-35 N,1,Mission Rd/Exit 233,83,UNITED STATES,KANSAS,WYANDOTTE,66103,N,39.06097,-94.62699,39.06223,-94.62581,0.107620325775573,2,N,1.0,43912.0,2.0,,6.0,35.0,2.0,1.0,35,95400.0,2470.0,8390.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.62699 39.06097, -94.62581 39.06223)"
89122,119+04460,P1,70.0,I-70 E,1,110th St/Exit 410,86,UNITED STATES,KANSAS,WYANDOTTE,66012,E,39.09741,-94.87736,39.10566,-94.84093,2.043684558561779,1,N,1.0,43912.0,2.0,,4.0,70.0,2.0,1.0,70,50756.0,3193.0,3976.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.87736 39.09741, -94.87704 39.09746, -94.87569 39.09769, -94.87495 39.09783, -94.87418 39.09798, -94.87379 39.09807, -94.87369 39.09809, -94.87325 39.09819, -94.87254 39.09835, -94.87111 39.0987, -94.86947 39.09915, -94.86741 39.09976, -94.86523 39.10042, -94.86444 39.10066, -94.86405 39.10079, -94.86386 39.10085, -94.8628 39.10117, -94.86162 39.10152, -94.86096 39.10172, -94.8596 39.10213, -94.85843 39.10248, -94.85611 39.10318, -94.85472 39.10357, -94.85363 39.10385, -94.85254 39.10412, -94.85201 39.10425, -94.85136 39.10438, -94.85039 39.10457, -94.8494 39.10476, -94.84845 39.10493, -94.84705 39.10514, -94.84566 39.1053, -94.84508 39.10536, -94.84416 39.10545, -94.84224 39.10559, -94.84093 39.10566)"
89123,119+04461,P1,70.0,I-70 E,1,I-435/Exit 411,86,UNITED STATES,KANSAS,WYANDOTTE,66111,E,39.10602,-94.83163,39.10642,-94.82031,0.607441789977398,1,N,1.0,43912.0,2.0,,4.0,70.0,2.0,1.0,70,55700.0,3590.0,3970.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-94.83163 39.10602, -94.83099 39.10605, -94.8306 39.10607, -94.82997 39.10609, -94.82936 39.10611, -94.82882 39.10613, -94.82497 39.10626, -94.82436 39.10628, -94.82272 39.10634, -94.8212 39.10639, -94.82031 39.10642)"
