Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
9304,113+04098,P3,10.0,I-10 W,1,St John/St James County Line,65,UNITED STATES,LOUISIANA,ST JOHN THE BAPTIST,70084,W,30.1055,-90.4972,30.1205,-90.64818,9.091408789919653,2,N,1.0,99999.0,2.0,,4.0,10.0,2.0,1.0,10,52515.0,5249.0,3343.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.4972 30.1055, -90.49854 30.10595, -90.49864 30.10598, -90.49921 30.10616, -90.50029 30.1065, -90.50157 30.10686, -90.50269 30.10712, -90.5033 30.10725, -90.50357 30.10731, -90.50388 30.10738, -90.50459 30.10753, -90.50498 30.10759, -90.50548 30.10766, -90.50679 30.10785, -90.50807 30.10798, -90.51036 30.1082, -90.5141 30.10854, -90.51836 30.10892, -90.52978 30.10995, -90.53282 30.11022, -90.5352 30.11044, -90.53562 30.11048, -90.54259 30.11111, -90.54543 30.11137, -90.54568 30.11139, -90.54668 30.11148, -90.54799 30.1116, -90.55261 30.11201, -90.55707 30.11241, -90.55955 30.11264, -90.56113 30.11278, -90.56296 30.11292, -90.56367 30.11298, -90.56404 30.11301, -90.56418 30.11302, -90.56483 30.11303, -90.5654 30.11308, -90.56633 30.11315, -90.56867 30.11336, -90.57216 30.11368, -90.57673 30.11409, -90.57863 30.11426, -90.60483 30.11661, -90.60689 30.1168, -90.6169 30.1177, -90.62968 30.11884, -90.63859 30.11964, -90.64054 30.11981, -90.64818 30.1205)"
9305,113+04102,P1,10.0,I-10 W,1,Loyola Dr/Exit 221,65,UNITED STATES,LOUISIANA,JEFFERSON,70065,W,30.0095,-90.24432,30.00825,-90.26056,0.975314831509809,2,N,1.0,62677.0,2.0,,6.0,10.0,2.0,1.0,10,120843.0,12447.0,5074.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.24432 30.0095, -90.24484 30.00947, -90.24509 30.00945, -90.24598 30.00938, -90.24735 30.00928, -90.24885 30.00916, -90.24969 30.00909, -90.25719 30.00852, -90.25914 30.00837, -90.26056 30.00825)"
9306,113+04105,P1,10.0,I-10 W,1,Veterans Blvd/Exit 225,65,UNITED STATES,LOUISIANA,JEFFERSON,70003,W,29.9996,-90.19085,30.00338,-90.20516,0.913748679423086,2,N,1.0,62677.0,2.0,,8.0,10.0,2.0,1.0,10,131628.0,13559.0,5528.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.19085 29.9996, -90.19123 29.99962, -90.19191 29.99966, -90.19268 29.9997, -90.19297 29.99972, -90.19315 29.99974, -90.19352 29.99976, -90.19453 29.99982, -90.19556 29.9999, -90.19645 30, -90.19659 30.00002, -90.19721 30.00012, -90.1982 30.00032, -90.19842 30.00036, -90.19891 30.0005, -90.1995 30.00066, -90.19995 30.0008, -90.20036 30.00093, -90.20089 30.00113, -90.20128 30.00127, -90.20175 30.00148, -90.20237 30.00175, -90.20286 30.00201, -90.20332 30.00226, -90.20405 30.00269, -90.20452 30.00298, -90.20483 30.00317, -90.20516 30.00338)"
9307,113+04107,P1,10.0,I-10 W,1,Causeway Blvd/Exit 228,65,UNITED STATES,LOUISIANA,JEFFERSON,70005,W,29.9971,-90.14328,29.99723,-90.14678,0.209593186910847,2,N,1.0,62677.0,2.0,1.0,8.0,10.0,2.0,1.0,10,131628.0,13559.0,5528.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.14328 29.9971, -90.14421 29.99713, -90.14451 29.99714, -90.14594 29.99719, -90.1462 29.9972, -90.14655 29.99722, -90.14678 29.99723)"
9308,113+04112,P1,10.0,I-10 W,1,Carrollton Ave/Exit 232,65,UNITED STATES,LOUISIANA,ORLEANS,70125,W,29.95987,-90.09692,29.96261,-90.10078,0.298689382677006,3,N,1.0,62677.0,2.0,,8.0,10.0,2.0,1.0,10,160266.0,16508.0,6732.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.09692 29.95987, -90.0977 29.96042, -90.09911 29.96142, -90.09971 29.96185, -90.10015 29.96217, -90.1004 29.96234, -90.10067 29.96253, -90.10073 29.96258, -90.10078 29.96261)"
9309,113+04119,P1,10.0,I-10 W,1,Elysian Fields Ave/Exit 237,65,UNITED STATES,LOUISIANA,ORLEANS,70122,S,29.99282,-90.04883,29.98339,-90.05442,0.745769575044539,3,N,1.0,62677.0,2.0,1.0,6.0,10.0,2.0,1.0,10,140169.0,14437.0,5888.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.04883 29.99282, -90.04939 29.99221, -90.04953 29.99205, -90.04967 29.9919, -90.05009 29.99139, -90.0504 29.99104, -90.05166 29.98964, -90.05187 29.98937, -90.05207 29.98908, -90.05229 29.98872, -90.05247 29.98834, -90.05262 29.98789, -90.05282 29.98708, -90.05305 29.98598, -90.05319 29.98542, -90.05326 29.98521, -90.05331 29.98507, -90.0535 29.98469, -90.05372 29.98427, -90.05393 29.98396, -90.05414 29.98369, -90.05442 29.98339)"
9310,113+04120,P1,10.0,I-10 W,1,I-610/Franklin Ave/Exit 238,65,UNITED STATES,LOUISIANA,ORLEANS,70126,W,30.00147,-90.03941,29.9969,-90.04522,0.471797444130304,2,N,1.0,62677.0,2.0,,6.0,10.0,2.0,1.0,10,128106.0,13193.0,5381.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.03941 30.00147, -90.0398 30.00125, -90.03986 30.00122, -90.04026 30.00099, -90.04037 30.00093, -90.04091 30.00057, -90.04157 30.00011, -90.04188 29.99989, -90.04208 29.99974, -90.0426 29.99933, -90.04295 29.99905, -90.04322 29.99881, -90.04346 29.99861, -90.04383 29.99829, -90.04414 29.99796, -90.04439 29.99771, -90.04462 29.99747, -90.04494 29.99714, -90.04522 29.9969)"
9311,113+04122,P1,10.0,I-10 W,1,Downman Rd/Exit 240,65,UNITED STATES,LOUISIANA,ORLEANS,70126,W,30.01108,-90.01319,30.00654,-90.01901,0.51692636738198,2,N,1.0,62677.0,2.0,,6.0,10.0,2.0,1.0,10,105033.0,10818.0,4412.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.01319 30.01108, -90.01318 30.01084, -90.01318 30.01068, -90.01334 30.00996, -90.01352 30.00951, -90.01368 30.00924, -90.01386 30.00893, -90.01414 30.00857, -90.01418 30.00852, -90.01447 30.00821, -90.015 30.00784, -90.01567 30.00744, -90.01622 30.00722, -90.01667 30.0071, -90.01708 30.00699, -90.01901 30.00654)"
9312,113+04123,P1,10.0,I-10 W,1,US-90/Chef Hwy/Exit 240,65,UNITED STATES,LOUISIANA,ORLEANS,70126,S,30.0238,-90.01388,30.01335,-90.01338,0.726373797791679,2,N,1.0,62677.0,2.0,,6.0,10.0,2.0,1.0,10,95113.0,9797.0,3996.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-90.01388 30.0238, -90.014 30.0235, -90.01408 30.02325, -90.0141 30.02319, -90.01414 30.02297, -90.01418 30.02277, -90.01421 30.02238, -90.0142 30.02218, -90.01418 30.02176, -90.01409 30.02087, -90.01406 30.02052, -90.01403 30.02022, -90.0139 30.01882, -90.01386 30.01841, -90.01384 30.01823, -90.01371 30.01688, -90.01343 30.01387, -90.01338 30.01335)"
9313,113+04129,P1,10.0,I-10 W,1,LA-68/Exit 248,65,UNITED STATES,LOUISIANA,ORLEANS,70129,S,30.08865,-89.91217,30.07993,-89.91998,0.762169841765945,2,N,1.0,99999.0,2.0,,6.0,10.0,2.0,1.0,10,72307.0,7447.0,3038.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-89.91217 30.08865, -89.91361 30.08703, -89.91608 30.08426, -89.91736 30.08281, -89.91747 30.08269, -89.91862 30.08138, -89.91908 30.08086, -89.91963 30.08029, -89.91998 30.07993)"
