Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
28718,129+06557,P1,2.0,MILITARY ST,1,Airport Rd,504,UNITED STATES,MAINE,AROOSTOOK,4730,E,46.12421,-67.8398,46.13105,-67.78343,2.913826455106528,4,Y,5.0,99999.0,2.0,,2.0,,,,,2152.0,208.0,82.0,0,0.0,,0.0,,"LINESTRING (-67.8398 46.12421, -67.83949 46.12427, -67.83925 46.12431, -67.83897 46.12435, -67.83868 46.12438, -67.83825 46.1244, -67.83813 46.1244, -67.83806 46.1244, -67.83795 46.12441, -67.83729 46.12444, -67.8367 46.12447, -67.83421 46.12458, -67.83413 46.12458, -67.83319 46.12463, -67.83219 46.12467, -67.83212 46.12467, -67.83201 46.12468, -67.83106 46.12473, -67.83077 46.12474, -67.83012 46.12477, -67.82998 46.12478, -67.82823 46.12486, -67.82795 46.12488, -67.82756 46.12489, -67.82752 46.12489, -67.82682 46.12492, -67.82422 46.12504, -67.82375 46.12506, -67.82134 46.12518, -67.82077 46.1252, -67.82046 46.12521, -67.82021 46.12522, -67.81933 46.12525, -67.81919 46.12526, -67.81884 46.12527, -67.81867 46.12528, -67.81485 46.12542, -67.81452 46.12543, -67.81288 46.12548, -67.81237 46.12551, -67.81207 46.12554, -67.81164 46.1256, -67.81112 46.12569, -67.81065 46.12577, -67.81032 46.12583, -67.81024 46.12585, -67.8098 46.12597, -67.80936 46.12609, -67.80889 46.12624, -67.80866 46.12631, -67.80849 46.12638, -67.80843 46.12641, -67.80798 46.1266, -67.80755 46.12678, -67.80705 46.12701, -67.80647 46.12734, -67.8059 46.1277, -67.80536 46.12812, -67.80452 46.12885, -67.80433 46.12902, -67.80376 46.12954, -67.80337 46.12988, -67.80305 46.13017, -67.80301 46.1302, -67.80274 46.13045, -67.80231 46.13083, -67.80184 46.13124, -67.80146 46.13153, -67.80103 46.13183, -67.80055 46.13209, -67.80007 46.13231, -67.7999 46.13238, -67.79956 46.13251, -67.79909 46.13265, -67.7986 46.13276, -67.79806 46.13286, -67.7975 46.13292, -67.79692 46.13295, -67.79631 46.13294, -67.79567 46.13288, -67.79538 46.13284, -67.79499 46.13278, -67.79443 46.13267, -67.79422 46.13263, -67.79323 46.13244, -67.79204 46.13222, -67.78951 46.13174, -67.78798 46.13145, -67.78731 46.13132, -67.78673 46.13124, -67.78664 46.13123, -67.78603 46.13118, -67.7856 46.13116, -67.78514 46.13113, -67.78435 46.13109, -67.78415 46.13108, -67.78343 46.13105)"
33572,129+15934,P3,,MAIN ST,1,United States/Canada,15932,UNITED STATES,MAINE,WASHINGTON,4619,W,45.18893,-67.27848,45.19108,-67.28332,0.331789906671228,3,Y,4.0,99999.0,2.0,,2.0,9.0,4.0,1.0,,2365.0,354.0,190.0,0,0.0,,0.0,,"LINESTRING (-67.27848 45.18893, -67.27888 45.18892, -67.27944 45.18891, -67.27984 45.1889, -67.28 45.18889, -67.28011 45.18889, -67.2807 45.18887, -67.28088 45.18886, -67.28091 45.18886, -67.2813 45.18885, -67.28162 45.18885, -67.28173 45.18886, -67.28185 45.18891, -67.28196 45.18899, -67.28203 45.18911, -67.28213 45.18928, -67.28214 45.1893, -67.28217 45.18934, -67.28218 45.18936, -67.2827 45.19015, -67.28279 45.19028, -67.2831 45.19072, -67.28312 45.19075, -67.28314 45.19078, -67.28317 45.19083, -67.28332 45.19108)"
36231,129P06976,P1,1.0,NORTH ST,0,US-2A/Military St/Bangor St/Main St,504,UNITED STATES,MAINE,AROOSTOOK,4730,S,46.12555,-67.84194,46.12395,-67.84122,0.1177386986787,2,Y,5.0,99999.0,2.0,,2.0,,,,,8140.0,545.0,505.0,0,0.0,,0.0,,"LINESTRING (-67.84194 46.12555, -67.84184 46.12547, -67.84177 46.1254, -67.8417 46.12532, -67.84166 46.12528, -67.84156 46.12514, -67.84149 46.125, -67.84145 46.12488, -67.84141 46.12472, -67.84133 46.1244, -67.84128 46.12421, -67.84122 46.12395)"
37394,129P14017,P1,2.0,MILITARY ST,1,US-1/US-2/Kendall St/Bangor St,1841,UNITED STATES,MAINE,AROOSTOOK,4730,E,46.12327,-67.84523,46.12395,-67.84122,0.19767317206413,3,Y,5.0,99999.0,2.0,,2.0,,,,,3308.0,39.0,187.0,0,0.0,,0.0,,"LINESTRING (-67.84523 46.12327, -67.84451 46.12339, -67.84436 46.12342, -67.8423 46.12376, -67.84181 46.12385, -67.84122 46.12395)"
41476,129N15934,P3,,MAIN ST,1,United States/Canada,15932,UNITED STATES,MAINE,WASHINGTON,4619,S,45.19158,-67.28348,45.19108,-67.28332,0.035456902323623,3,Y,4.0,99999.0,2.0,,2.0,9.0,4.0,1.0,,2100.0,315.0,169.0,0,0.0,,0.0,,"LINESTRING (-67.28348 45.19158, -67.2834 45.19127, -67.28332 45.19108)"
62409,129N06979,P1,1.0,NORTH ST,1,Main St/Bangor St,121,UNITED STATES,MAINE,AROOSTOOK,4730,S,46.12555,-67.84194,46.12528,-67.84166,0.023020611188351,2,Y,5.0,99999.0,2.0,,2.0,,,,,12153.0,208.0,473.0,0,0.0,,0.0,,"LINESTRING (-67.84194 46.12555, -67.84184 46.12547, -67.84177 46.1254, -67.8417 46.12532, -67.84166 46.12528)"
68184,129+06976,P1,1.0,NORTH ST,0,US-2A/Military St/Bangor St/Main St,504,UNITED STATES,MAINE,AROOSTOOK,4730,S,46.12794,-67.84215,46.12555,-67.84194,0.179329663132026,2,Y,5.0,99999.0,2.0,,2.0,,,,,12266.0,212.0,468.0,0,0.0,,0.0,,"LINESTRING (-67.84215 46.12794, -67.84229 46.1276, -67.84236 46.12741, -67.84246 46.12716, -67.84254 46.12689, -67.84262 46.12659, -67.84266 46.12636, -67.84264 46.12621, -67.84258 46.12611, -67.84247 46.12599, -67.84234 46.12588, -67.84231 46.12585, -67.84209 46.12567, -67.842 46.1256, -67.84194 46.12555)"
72129,129P06819,P3,201.0,MAIN ST,1,United States/Canada Border,506,UNITED STATES,MAINE,SOMERSET,4945,W,45.80535,-70.39296,45.80588,-70.39649,0.17667874121233,2,Y,,,,,,,,,,,,,0,,,,,"LINESTRING (-70.39296 45.80535, -70.39317 45.80542, -70.39352 45.80551, -70.39379 45.80557, -70.39427 45.80568, -70.39479 45.8058, -70.39507 45.80584, -70.39537 45.80585, -70.39554 45.80584, -70.39577 45.80582, -70.39602 45.80581, -70.39616 45.80581, -70.39633 45.80583, -70.39649 45.80588)"
98435,129P06557,P1,2.0,MILITARY ST,1,Airport Rd,504,UNITED STATES,MAINE,AROOSTOOK,4730,E,46.13105,-67.78343,46.13105,-67.78278,0.031117563186558,4,Y,5.0,99999.0,2.0,,2.0,,,,,820.0,143.0,32.0,0,0.0,,0.0,,"LINESTRING (-67.78343 46.13105, -67.78278 46.13105)"
107691,129P06979,P1,1.0,NORTH ST,1,Main St/Bangor St,121,UNITED STATES,MAINE,AROOSTOOK,4730,N,46.12528,-67.84166,46.12555,-67.84194,0.023020611188351,2,Y,5.0,99999.0,2.0,,2.0,,,,,12153.0,208.0,473.0,0,0.0,,0.0,,"LINESTRING (-67.84166 46.12528, -67.8417 46.12532, -67.84177 46.1254, -67.84184 46.12547, -67.84194 46.12555)"
