Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
63878,118+04492,P1,480.0,I-480 E,1,US-6/Dodge St/Exit 4,103,UNITED STATES,NEBRASKA,DOUGLAS,68102,E,41.26188,-95.92956,41.25977,-95.9263,0.225113915187448,3,N,1.0,65269.0,2.0,,4.0,480.0,2.0,1.0,480,37230.0,661.0,1174.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.92956 41.26188, -95.9293 41.26177, -95.92914 41.26171, -95.92885 41.26159, -95.92849 41.2614, -95.92817 41.26119, -95.92797 41.26104, -95.9277 41.26083, -95.92746 41.26064, -95.92735 41.26056, -95.927 41.26027, -95.92665 41.25998, -95.9263 41.25977)"
63882,118+04521,P1,680.0,I-680 N,1,NE-64/Maple St/Exit 4,110,UNITED STATES,NEBRASKA,DOUGLAS,68114,N,41.27186,-96.07587,41.28137,-96.07583,0.656971355502498,1,N,1.0,65269.0,2.0,,6.0,680.0,2.0,1.0,680,92885.0,1391.0,1699.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.07587 41.27186, -96.07585 41.27251, -96.07586 41.2735, -96.07586 41.27422, -96.07585 41.27602, -96.07584 41.27695, -96.07584 41.27733, -96.07583 41.27782, -96.07583 41.27969, -96.07583 41.28032, -96.07583 41.28079, -96.07583 41.28137)"
63883,118+04524,P1,680.0,I-680 N,1,N 72nd St/Exit 9,110,UNITED STATES,NEBRASKA,DOUGLAS,68122,E,41.32427,-96.06671,41.33996,-96.02786,2.307999712891141,1,N,1.0,65269.0,2.0,,4.0,680.0,2.0,1.0,680,39141.0,514.0,1729.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.06671 41.32427, -96.06647 41.32444, -96.06587 41.32484, -96.06519 41.32528, -96.06435 41.32585, -96.0625 41.32705, -96.06105 41.32801, -96.06028 41.32851, -96.06006 41.32865, -96.0595 41.329, -96.05932 41.32911, -96.0583 41.32968, -96.05728 41.3302, -96.05617 41.33071, -96.05542 41.33102, -96.05473 41.3313, -96.05459 41.33135, -96.05427 41.33147, -96.05388 41.33161, -96.05275 41.33198, -96.05212 41.33218, -96.0513 41.33244, -96.05065 41.33265, -96.05017 41.33282, -96.0487 41.33328, -96.04755 41.33365, -96.04684 41.33388, -96.04259 41.33524, -96.03992 41.33609, -96.0345 41.33783, -96.02979 41.33935, -96.02895 41.33962, -96.0286 41.33973, -96.02786 41.33996)"
63884,118+04526,P1,680.0,I-680 E,1,US-75/Exit 12,111,UNITED STATES,NEBRASKA,DOUGLAS,68152,E,41.34279,-96.01904,41.34716,-95.98804,1.649160971537587,1,N,1.0,65269.0,2.0,,4.0,680.0,2.0,1.0,680,30326.0,413.0,1653.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.01904 41.34279, -96.01854 41.34295, -96.01813 41.34308, -96.01642 41.34362, -96.0154 41.34394, -96.0137 41.34449, -96.01248 41.34485, -96.01152 41.3451, -96.01023 41.34537, -96.00922 41.34554, -96.00856 41.34564, -96.00756 41.34577, -96.00627 41.34588, -96.00471 41.34599, -96.00063 41.34629, -95.99839 41.34646, -95.99677 41.34657, -95.99553 41.34666, -95.99346 41.34683, -95.99323 41.34685, -95.99244 41.3469, -95.99057 41.34704, -95.98987 41.34708, -95.98856 41.34715, -95.98804 41.34716)"
63885,118+04536,P1,75.0,US-75 N,1,Storz Expy,112,UNITED STATES,NEBRASKA,DOUGLAS,68111,N,41.29962,-95.95168,41.30289,-95.95385,0.263163707829984,3,N,2.0,65269.0,2.0,,6.0,75.0,3.0,1.0,75,56718.0,1132.0,1044.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-95.95168 41.29962, -95.95167 41.3, -95.95172 41.30052, -95.95184 41.30089, -95.95202 41.30121, -95.95224 41.30152, -95.9524 41.30163, -95.95274 41.30192, -95.95307 41.3022, -95.95385 41.30289)"
63886,118+04538,P1,75.0,US-75 N,1,Q St,113,UNITED STATES,NEBRASKA,DOUGLAS,68107,N,41.18884,-95.93852,41.20243,-95.94811,1.07547847796414,3,N,2.0,65269.0,2.0,,5.0,75.0,3.0,1.0,75,71770.0,1365.0,1260.0,1,100.0,2.0,100.0,1.0,"LINESTRING (-95.93852 41.18884, -95.93862 41.18908, -95.93885 41.18958, -95.93913 41.19019, -95.93948 41.19099, -95.93973 41.19154, -95.93988 41.19187, -95.94029 41.19275, -95.94077 41.19377, -95.94086 41.19397, -95.94119 41.19469, -95.94132 41.19499, -95.94149 41.19534, -95.94168 41.19569, -95.94201 41.19618, -95.94225 41.19647, -95.94246 41.19671, -95.94274 41.19698, -95.94529 41.19937, -95.94602 41.20005, -95.94653 41.20055, -95.947 41.20104, -95.94716 41.20121, -95.94759 41.20175, -95.94774 41.20195, -95.94811 41.20243)"
63888,118+04545,P1,80.0,I-80 E,1,126th St/Exit 442,115,UNITED STATES,NEBRASKA,SARPY,68138,N,41.16399,-96.13535,41.18081,-96.11507,1.570648670825211,1,N,1.0,65269.0,2.0,,6.0,80.0,2.0,1.0,80,79810.0,1835.0,8959.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.13535 41.16399, -96.13516 41.16412, -96.13497 41.16425, -96.13469 41.16444, -96.13419 41.16478, -96.13333 41.16544, -96.13289 41.16577, -96.13265 41.16595, -96.1318 41.16666, -96.13122 41.16715, -96.13077 41.16755, -96.1276 41.17032, -96.12512 41.17251, -96.12282 41.17451, -96.12171 41.17548, -96.12109 41.17603, -96.12083 41.17624, -96.12056 41.17647, -96.12025 41.17673, -96.11981 41.17711, -96.11948 41.17739, -96.11877 41.17803, -96.11797 41.17869, -96.11747 41.17912, -96.11699 41.1795, -96.11614 41.18009, -96.11556 41.18048, -96.11507 41.18081)"
63889,118+04551,P1,80.0,I-80 E,1,42nd St/Exit 451,115,UNITED STATES,NEBRASKA,DOUGLAS,68106,E,41.22322,-95.99893,41.22286,-95.98183,0.89556315936823,1,N,1.0,65269.0,2.0,,12.0,80.0,2.0,1.0,80,181425.0,2636.0,9914.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.99893 41.22322, -95.99868 41.22319, -95.99843 41.22316, -95.99738 41.22303, -95.9966 41.22293, -95.99598 41.22285, -95.99495 41.22272, -95.99399 41.22261, -95.99333 41.22255, -95.9931 41.22254, -95.99238 41.2225, -95.99169 41.22248, -95.99026 41.22249, -95.98882 41.22247, -95.98839 41.22247, -95.98655 41.22248, -95.98576 41.22248, -95.98449 41.22249, -95.98397 41.2225, -95.98355 41.22253, -95.983 41.22261, -95.98263 41.22266, -95.98203 41.2228, -95.98183 41.22286)"
63890,118+04553,P1,80.0,I-80 E,1,13th St/Exit 454,115,UNITED STATES,NEBRASKA,DOUGLAS,68108,E,41.22614,-95.94367,41.22866,-95.93566,0.454926214083433,1,N,1.0,65269.0,2.0,,10.0,80.0,2.0,1.0,80,87615.0,2225.0,8900.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.94367 41.22614, -95.94316 41.22616, -95.94281 41.22619, -95.94238 41.22626, -95.94227 41.22628, -95.94188 41.22636, -95.94154 41.22645, -95.94096 41.22663, -95.94045 41.22682, -95.93929 41.22725, -95.93731 41.22802, -95.93566 41.22866)"
63891,118+04565,P1,80.0,I-80 E,1,US-6/Exit 396,117,UNITED STATES,NEBRASKA,LANCASTER,68528,E,40.81641,-96.77971,40.81568,-96.77123,0.446204379527729,1,N,1.0,49933.0,2.0,,6.0,80.0,2.0,1.0,80,44505.0,718.0,7261.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.77971 40.81641, -96.77755 40.81622, -96.7768 40.81615, -96.7765 40.81612, -96.77462 40.81596, -96.77317 40.81584, -96.77123 40.81568)"
