Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
255854,105+04945,P1,580.0,I-580 N,1,Bellevue Rd/Exit 44,2372,UNITED STATES,NEVADA,WASHOE,89704,N,39.21564,-119.80706,39.2439,-119.81289,1.977074158624732,2,N,1.0,99999.0,2.0,,4.0,580.0,2.0,9.0,,40500.0,1632.0,3627.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.80706 39.21564, -119.80711 39.21593, -119.80728 39.21672, -119.80734 39.21701, -119.80739 39.21726, -119.80759 39.21819, -119.80776 39.21903, -119.80794 39.21988, -119.80812 39.22072, -119.80826 39.22136, -119.8083 39.22157, -119.80843 39.22216, -119.80861 39.223, -119.80876 39.22384, -119.80901 39.22527, -119.80919 39.22614, -119.8093 39.2267, -119.80969 39.22874, -119.80995 39.22987, -119.81014 39.23073, -119.81048 39.23246, -119.8106 39.23301, -119.81072 39.23359, -119.8112 39.23589, -119.81133 39.23645, -119.81163 39.23789, -119.81187 39.23904, -119.81211 39.24019, -119.81272 39.24313, -119.81288 39.24384, -119.81289 39.2439)"
255855,105+04954,P1,580.0,I-580 N,1,Moana Ln/Exit 64,113,UNITED STATES,NEVADA,WASHOE,89502,N,39.48185,-119.78725,39.48835,-119.78525,0.464004316606097,2,N,1.0,74179.0,2.0,,6.0,580.0,2.0,9.0,,132000.0,1632.0,3627.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.78725 39.48185, -119.78711 39.4821, -119.78702 39.48227, -119.78654 39.48318, -119.78633 39.48369, -119.78616 39.48415, -119.786 39.4846, -119.78573 39.48552, -119.78567 39.48575, -119.78558 39.4862, -119.7854 39.48738, -119.78525 39.48835)"
255856,105+04956,P1,580.0,I-580 N,1,Villanova Dr/Exit 65A,113,UNITED STATES,NEVADA,WASHOE,89502,N,39.50561,-119.78038,39.50941,-119.78011,0.264224322684193,2,N,1.0,74179.0,2.0,,8.0,580.0,2.0,9.0,,173000.0,1632.0,3627.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.78038 39.50561, -119.78031 39.50589, -119.78023 39.5062, -119.78015 39.5066, -119.78011 39.5068, -119.78007 39.50707, -119.78004 39.50736, -119.78001 39.50784, -119.78001 39.50832, -119.78003 39.50878, -119.78008 39.50921, -119.78011 39.50941)"
255857,105+04961,P1,395.0,US-395 N,1,McCarran Blvd/Exit 70,113,UNITED STATES,NEVADA,WASHOE,89512,N,39.54882,-119.7878,39.55224,-119.78776,0.236273729371319,2,N,2.0,74179.0,2.0,,6.0,395.0,3.0,9.0,,102000.0,3702.0,8226.0,1,100.0,2.0,100.0,1.0,"LINESTRING (-119.7878 39.54882, -119.7878 39.54913, -119.78779 39.54935, -119.78779 39.54948, -119.78779 39.54973, -119.78778 39.5514, -119.78776 39.55224)"
255858,105+04963,P1,395.0,US-395 N,1,US-395-BR/Exit 72,113,UNITED STATES,NEVADA,WASHOE,89506,N,39.57731,-119.81231,39.5906,-119.82701,1.216971205746969,2,N,2.0,74179.0,2.0,,5.0,395.0,3.0,9.0,,74268.0,2694.0,5988.0,1,100.0,2.0,100.0,1.0,"LINESTRING (-119.81231 39.57731, -119.81241 39.57736, -119.8126 39.57748, -119.81302 39.57771, -119.81361 39.57803, -119.81452 39.57856, -119.81561 39.57918, -119.81604 39.57944, -119.81669 39.57987, -119.81736 39.58037, -119.81746 39.58045, -119.81796 39.58085, -119.8183 39.58116, -119.81888 39.5817, -119.81923 39.58206, -119.81959 39.58245, -119.82036 39.5833, -119.82122 39.58425, -119.82179 39.58488, -119.82239 39.58554, -119.82286 39.58607, -119.82357 39.58687, -119.82364 39.58695, -119.82373 39.58705, -119.82437 39.58776, -119.82578 39.58932, -119.82636 39.58995, -119.8266 39.5902, -119.82701 39.5906)"
255863,105+04986,P1,80.0,I-80 E,1,Verdi Rd/Crystal Peak Rd/Exit 3,116,UNITED STATES,NEVADA,WASHOE,89439,N,39.50601,-119.99903,39.51144,-119.99288,0.518055017787636,1,N,1.0,74179.0,2.0,,4.0,80.0,2.0,9.0,,36500.0,1708.0,2933.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.99903 39.50601, -119.99897 39.50627, -119.99895 39.50635, -119.99892 39.50647, -119.99882 39.50671, -119.99875 39.50689, -119.99871 39.507, -119.99864 39.50713, -119.99859 39.50724, -119.99845 39.50749, -119.9983 39.50774, -119.99796 39.50821, -119.99756 39.50867, -119.99712 39.50908, -119.99663 39.50946, -119.99637 39.50964, -119.99611 39.50981, -119.99578 39.51001, -119.99557 39.51012, -119.99523 39.51029, -119.99412 39.51083, -119.99306 39.51135, -119.99288 39.51144)"
255864,105+04989,P1,80.0,I-80 E,1,4th St/Mogul Rd/Exit 7,116,UNITED STATES,NEVADA,WASHOE,89523,E,39.51087,-119.94493,39.51304,-119.92864,0.93917026827222,1,N,1.0,74179.0,2.0,,4.0,80.0,2.0,9.0,,46000.0,2136.0,12477.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.94493 39.51087, -119.9441 39.51056, -119.94398 39.51052, -119.94323 39.51026, -119.94272 39.51012, -119.94213 39.50996, -119.94172 39.50988, -119.94122 39.50979, -119.94031 39.50968, -119.93966 39.50965, -119.93904 39.50963, -119.93845 39.50966, -119.93793 39.50969, -119.93727 39.50976, -119.93657 39.50989, -119.93552 39.51012, -119.9345 39.51046, -119.93432 39.51052, -119.93388 39.5107, -119.93333 39.51093, -119.93221 39.51141, -119.93047 39.51219, -119.92864 39.51304)"
255865,105+04994,P1,80.0,I-80 E,1,Virginia St/Exit 13,116,UNITED STATES,NEVADA,WASHOE,89503,E,39.5316,-119.82487,39.53322,-119.82061,0.253733762545419,1,N,1.0,74179.0,2.0,,6.0,80.0,2.0,9.0,,113000.0,4200.0,10650.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.82487 39.5316, -119.82456 39.53169, -119.82358 39.53198, -119.82323 39.5321, -119.82298 39.53218, -119.82266 39.5323, -119.82204 39.53259, -119.82061 39.53322)"
255866,105+04996,P1,80.0,I-80 E,1,US-395/Exit 15,116,UNITED STATES,NEVADA,WASHOE,89512,E,39.53649,-119.79898,39.53657,-119.79487,0.219274098896513,1,N,1.0,74179.0,2.0,,6.0,80.0,2.0,9.0,,132000.0,4200.0,10650.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-119.79898 39.53649, -119.79854 39.53648, -119.79777 39.53647, -119.79758 39.53647, -119.79711 39.53647, -119.79655 39.53647, -119.79595 39.53649, -119.79487 39.53657)"
256032,105+05181,P1,80.0,I-80 E,1,Exit 1,116,UNITED STATES,NEVADA,WASHOE,89439,N,39.46907,-120.00206,39.49373,-119.99668,1.847559644427435,1,N,1.0,99999.0,2.0,,4.0,80.0,2.0,9.0,,27700.0,1290.0,7533.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-120.00206 39.46907, -120.00106 39.47027, -120.00083 39.47055, -120.00068 39.47073, -120.00048 39.47096, -120.00028 39.47117, -120.00006 39.47137, -119.99983 39.47156, -119.99958 39.47174, -119.99932 39.4719, -119.99905 39.47204, -119.99851 39.47234, -119.99824 39.47249, -119.99799 39.47266, -119.99776 39.47284, -119.99755 39.47303, -119.99734 39.47324, -119.99717 39.47345, -119.99702 39.47369, -119.99689 39.47392, -119.99678 39.47417, -119.99669 39.47441, -119.99652 39.47493, -119.99599 39.47657, -119.99559 39.4777, -119.99529 39.47856, -119.995 39.47944, -119.99462 39.4806, -119.99442 39.4812, -119.99433 39.4815, -119.99416 39.48211, -119.99409 39.48241, -119.99402 39.48273, -119.99398 39.48304, -119.99393 39.48335, -119.9939 39.48366, -119.99388 39.48398, -119.99387 39.4846, -119.99389 39.48523, -119.99392 39.48555, -119.99401 39.48618, -119.99414 39.4868, -119.9943 39.48742, -119.99439 39.48771, -119.99449 39.48801, -119.99461 39.4883, -119.99483 39.48889, -119.99494 39.48918, -119.99589 39.49165, -119.9963 39.49272, -119.99668 39.49373)"
