Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
106302,120+04292,P1,80.0,I-80 W,1,2nd St/Exit 67,84,UNITED STATES,NEW JERSEY,BERGEN,7603,W,40.86596,-74.01982,40.8673,-74.02958,0.5183940802392,2,N,1.0,63217.0,2.0,,10.0,80.0,2.0,1.0,I-80,174292.0,5142.0,9168.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.01982 40.86596, -74.02004 40.86599, -74.02023 40.86602, -74.02114 40.86616, -74.02258 40.86638, -74.02278 40.86641, -74.02297 40.86644, -74.02611 40.8669, -74.02725 40.86705, -74.02839 40.86719, -74.02906 40.86726, -74.02952 40.8673, -74.02958 40.8673)"
106303,120+04293,P1,80.0,I-80 W,1,Hudson St/Exit 66,84,UNITED STATES,NEW JERSEY,BERGEN,7601,W,40.86732,-74.03272,40.86717,-74.0408,0.422281428585018,2,N,1.0,63217.0,2.0,1.0,10.0,80.0,2.0,1.0,I-80,204613.0,6179.0,13341.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.03272 40.86732, -74.03288 40.86732, -74.03299 40.86732, -74.0332 40.86731, -74.03407 40.86729, -74.03491 40.86727, -74.03582 40.86726, -74.03614 40.86725, -74.03774 40.8672, -74.03806 40.8672, -74.03904 40.86718, -74.03968 40.86717, -74.0401 40.86717, -74.0408 40.86717)"
106304,120+04294,P1,80.0,I-80 W,1,Green St/Exit 65,84,UNITED STATES,NEW JERSEY,BERGEN,7606,W,40.8672,-74.0444,40.86846,-74.05419,0.522190489607901,2,N,1.0,63217.0,2.0,,10.0,80.0,2.0,1.0,I-80,204613.0,6179.0,13341.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.0444 40.8672, -74.04492 40.86722, -74.04507 40.86722, -74.0456 40.86725, -74.04628 40.86729, -74.0477 40.86737, -74.04916 40.86751, -74.04939 40.86753, -74.05096 40.86769, -74.05165 40.86778, -74.0522 40.86789, -74.05226 40.8679, -74.05271 40.86801, -74.05319 40.86813, -74.05338 40.86819, -74.05368 40.86828, -74.05419 40.86846)"
106305,120+04295,P1,80.0,I-80 W,1,Polifly Rd/Exit 64B,84,UNITED STATES,NEW JERSEY,BERGEN,7601,N,40.87031,-74.05722,40.87231,-74.05935,0.177480161794279,2,N,1.0,63217.0,2.0,,11.0,80.0,2.0,1.0,I-80,204613.0,6179.0,13341.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.05722 40.87031, -74.05773 40.87076, -74.05797 40.87096, -74.05814 40.87114, -74.05836 40.87135, -74.05935 40.87231)"
106306,120+04307,P1,80.0,I-80 W,1,Minnisink Rd/Exit 54,84,UNITED STATES,NEW JERSEY,PASSAIC,7512,W,40.89684,-74.22279,40.89921,-74.23124,0.472267919301783,2,N,1.0,63217.0,2.0,,8.0,80.0,2.0,1.0,I-80,126075.0,3719.0,6632.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.22279 40.89684, -74.22378 40.89697, -74.22407 40.89702, -74.2243 40.89706, -74.22461 40.89712, -74.22492 40.89719, -74.22547 40.89735, -74.22639 40.89764, -74.22782 40.89811, -74.22954 40.89867, -74.2302 40.89889, -74.23072 40.89906, -74.23124 40.89921)"
106307,120+04308,P1,80.0,I-80 W,1,US-46/RT-23/Exit 53,84,UNITED STATES,NEW JERSEY,PASSAIC,7512,W,40.89972,-74.23462,40.89808,-74.24754,0.686592768181647,2,N,1.0,63217.0,2.0,,8.0,80.0,2.0,1.0,I-80,135987.0,4012.0,7153.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.23462 40.89972, -74.23483 40.89973, -74.23505 40.89973, -74.23537 40.89973, -74.23549 40.89973, -74.23584 40.89972, -74.23614 40.89971, -74.23704 40.89966, -74.23764 40.89961, -74.23812 40.89957, -74.23817 40.89957, -74.23874 40.89951, -74.23967 40.89942, -74.24089 40.89927, -74.24181 40.89915, -74.24353 40.89889, -74.24406 40.8988, -74.24449 40.89872, -74.24485 40.89865, -74.2455 40.89853, -74.24561 40.89851, -74.24644 40.89834, -74.24698 40.89822, -74.24722 40.89816, -74.24754 40.89808)"
106308,120+04316,P1,80.0,I-80 W,1,RT-53/Main St/Exit 39,84,UNITED STATES,NEW JERSEY,MORRIS,7834,W,40.86753,-74.44578,40.88892,-74.47475,2.338575181535046,1,N,1.0,63217.0,2.0,,8.0,80.0,2.0,1.0,I-80,117882.0,3925.0,4857.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.44578 40.86753, -74.44616 40.86759, -74.44656 40.86766, -74.44728 40.86778, -74.44799 40.86789, -74.44863 40.86798, -74.44937 40.86806, -74.45003 40.86812, -74.45065 40.86815, -74.45208 40.86818, -74.45349 40.86821, -74.45401 40.86821, -74.45456 40.86823, -74.45506 40.86827, -74.45557 40.86832, -74.45596 40.86838, -74.45633 40.86845, -74.4567 40.86853, -74.45707 40.86862, -74.45753 40.86876, -74.45793 40.8689, -74.4583 40.86905, -74.45864 40.86919, -74.45895 40.86933, -74.45944 40.86957, -74.4599 40.86981, -74.4603 40.87003, -74.46066 40.87025, -74.46101 40.87049, -74.46128 40.87068, -74.46168 40.87097, -74.46198 40.87119, -74.46248 40.87159, -74.4629 40.87195, -74.46324 40.87226, -74.46393 40.87293, -74.46436 40.87335, -74.46493 40.87396, -74.46534 40.87441, -74.46589 40.87501, -74.4662 40.87538, -74.46644 40.87568, -74.46671 40.87603, -74.46694 40.87634, -74.4674 40.87703, -74.46754 40.87725, -74.46769 40.87752, -74.46789 40.8779, -74.46802 40.87817, -74.46806 40.87825, -74.46828 40.87869, -74.46842 40.87904, -74.46848 40.87919, -74.46865 40.87971, -74.46889 40.88049, -74.46894 40.88068, -74.46913 40.88142, -74.46933 40.88223, -74.46947 40.88273, -74.46955 40.88301, -74.4697 40.88344, -74.46982 40.88376, -74.46994 40.88406, -74.47009 40.88437, -74.47029 40.88477, -74.4705 40.88514, -74.4707 40.88549, -74.47084 40.8857, -74.47111 40.88605, -74.47136 40.88636, -74.4716 40.88663, -74.4719 40.88693, -74.47225 40.88727, -74.47249 40.88747, -74.4728 40.88772, -74.47315 40.88798, -74.47359 40.88826, -74.47407 40.88856, -74.47442 40.88875, -74.47475 40.88892)"
106309,120+04317,P1,80.0,I-80 W,1,US-46/Exit 38,84,UNITED STATES,NEW JERSEY,MORRIS,7834,N,40.89122,-74.48146,40.89674,-74.48754,0.51068451155374,1,N,1.0,63217.0,2.0,,8.0,80.0,2.0,1.0,I-80,143894.0,4792.0,5928.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.48146 40.89122, -74.48214 40.89149, -74.48268 40.89173, -74.48327 40.89203, -74.48384 40.89237, -74.48438 40.89274, -74.48488 40.89315, -74.48502 40.89327, -74.48512 40.89335, -74.48538 40.8936, -74.48581 40.89402, -74.48608 40.89434, -74.48638 40.89473, -74.48651 40.89493, -74.48656 40.89501, -74.48671 40.89525, -74.48699 40.89573, -74.48701 40.89576, -74.48726 40.89622, -74.48754 40.89674)"
106310,120+04334,P1,80.0,I-80 W,1,RT-17/Exit 64,85,UNITED STATES,NEW JERSEY,BERGEN,7601,N,40.87384,-74.06093,40.87515,-74.06196,0.105301928198627,2,N,1.0,63217.0,2.0,,9.0,80.0,2.0,1.0,I-80,157347.0,4642.0,8276.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.06093 40.87384, -74.06133 40.87434, -74.06169 40.87478, -74.06196 40.87515)"
106311,120+04335,P1,80.0,I-80 W,1,I-80,85,UNITED STATES,NEW JERSEY,BERGEN,7601,N,40.88056,-74.06506,40.88225,-74.06581,0.123141555978759,2,N,1.0,63217.0,2.0,,8.0,80.0,2.0,1.0,I-80,157347.0,4642.0,8276.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-74.06506 40.88056, -74.06581 40.88225)"
