Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
44564,115+04289,P1,25.0,I-25 N,1,Rio Bravo Blvd/Exit 220,76,UNITED STATES,NEW MEXICO,BERNALILLO,87105,N,34.96141,-106.65758,35.01865,-106.63873,4.096575040399173,1,N,1.0,1171.0,2.0,,4.0,25.0,2.0,1.0,,48219.0,2748.0,1446.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.65758 34.96141, -106.6573 34.96234, -106.65716 34.9628, -106.65695 34.96351, -106.65687 34.96375, -106.65676 34.96413, -106.65668 34.96438, -106.65658 34.96473, -106.65623 34.96593, -106.65596 34.9668, -106.65571 34.96765, -106.65554 34.96823, -106.65543 34.96859, -106.65521 34.96936, -106.65495 34.97021, -106.65475 34.97086, -106.65448 34.97177, -106.65427 34.97252, -106.65416 34.97285, -106.65408 34.9731, -106.65403 34.97327, -106.65384 34.97391, -106.65355 34.9749, -106.65334 34.97558, -106.6531 34.97639, -106.65287 34.97721, -106.65276 34.97755, -106.65258 34.97816, -106.65238 34.9788, -106.6523 34.97908, -106.65221 34.97937, -106.65193 34.98031, -106.65169 34.98113, -106.65147 34.98187, -106.65122 34.98271, -106.65099 34.98346, -106.65073 34.98433, -106.65055 34.9849, -106.65041 34.98539, -106.65015 34.98617, -106.64997 34.98666, -106.64974 34.9873, -106.64821 34.99163, -106.64771 34.99305, -106.64693 34.99525, -106.64564 34.99888, -106.64528 34.9999, -106.64355 35.0048, -106.64279 35.00693, -106.64179 35.00975, -106.64021 35.0142, -106.63967 35.01575, -106.63948 35.01627, -106.63937 35.01659, -106.63911 35.01734, -106.63891 35.0179, -106.63873 35.01865)"
44565,115+04290,P1,25.0,I-25 N,1,Sunport Blvd/Exit 221,76,UNITED STATES,NEW MEXICO,BERNALILLO,87102,N,35.02872,-106.63802,35.04293,-106.63775,0.981756460839215,1,N,1.0,1171.0,2.0,,6.0,25.0,2.0,1.0,,85959.0,4900.0,2579.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.63802 35.02872, -106.638 35.02929, -106.63796 35.03058, -106.63795 35.03128, -106.63794 35.03227, -106.63792 35.03339, -106.63779 35.04052, -106.63775 35.04273, -106.63775 35.04286, -106.63775 35.04293)"
44566,115+04297,P1,25.0,I-25 N,1,Candelaria Rd/Exit 227A,76,UNITED STATES,NEW MEXICO,BERNALILLO,87107,N,35.11071,-106.62713,35.11413,-106.62587,0.24677185368155,1,N,1.0,1171.0,2.0,,10.0,25.0,2.0,1.0,,206749.0,11784.0,6204.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.62713 35.11071, -106.62677 35.11162, -106.62669 35.11183, -106.62662 35.11203, -106.62644 35.11254, -106.62624 35.11311, -106.62587 35.11413)"
44567,115+04299,P1,25.0,I-25 N,1,Montano/Montgomery/Exit 228,76,UNITED STATES,NEW MEXICO,BERNALILLO,87107,E,35.12714,-106.61852,35.13019,-106.61373,0.343158788450549,1,N,1.0,1171.0,2.0,,8.0,25.0,2.0,1.0,,219000.0,12483.0,6570.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.61852 35.12714, -106.61771 35.12772, -106.61725 35.12804, -106.61677 35.12834, -106.6163 35.12862, -106.61373 35.13019)"
44568,115+04300,P1,25.0,I-25 N,1,Jefferson St/Exit 229,76,UNITED STATES,NEW MEXICO,BERNALILLO,87109,E,35.13458,-106.60655,35.13902,-106.59924,0.51441759962732,1,N,1.0,1171.0,2.0,,8.0,25.0,2.0,1.0,,164583.0,9381.0,4939.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.60655 35.13458, -106.60621 35.13479, -106.6059 35.13498, -106.60528 35.13536, -106.60506 35.1355, -106.60336 35.13654, -106.60133 35.13777, -106.60072 35.13814, -106.59978 35.13869, -106.59924 35.13902)"
44569,115+04306,P1,25.0,I-25 N,1,NM-473/Exit 240,76,UNITED STATES,NEW MEXICO,SANDOVAL,87004,N,35.20754,-106.57613,35.29244,-106.54501,6.179700383129041,1,N,1.0,1171.0,2.0,,6.0,25.0,2.0,1.0,,69022.0,3933.0,2070.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.57613 35.20754, -106.57606 35.20784, -106.576 35.20813, -106.57592 35.20849, -106.57565 35.20976, -106.5756 35.20996, -106.57556 35.21016, -106.57526 35.21147, -106.57496 35.21277, -106.57477 35.2136, -106.57442 35.21511, -106.5743 35.21563, -106.5742 35.21601, -106.57376 35.21776, -106.57335 35.21957, -106.57265 35.22263, -106.57188 35.22603, -106.57077 35.23094, -106.56903 35.23859, -106.56599 35.25197, -106.56521 35.25537, -106.56502 35.2562, -106.56477 35.25733, -106.56456 35.25812, -106.56439 35.25867, -106.56417 35.2593, -106.56384 35.26008, -106.5635 35.26077, -106.56307 35.26152, -106.56256 35.26231, -106.56208 35.26302, -106.56144 35.26395, -106.56095 35.26469, -106.56045 35.26542, -106.55979 35.26638, -106.55927 35.26717, -106.55874 35.26805, -106.55835 35.26881, -106.5579 35.2698, -106.55747 35.27083, -106.55563 35.2753, -106.55519 35.27637, -106.55475 35.27745, -106.55435 35.27843, -106.55388 35.27948, -106.55361 35.28003, -106.55332 35.28054, -106.55295 35.2811, -106.55245 35.28186, -106.55204 35.28245, -106.55173 35.28288, -106.5512 35.28365, -106.55047 35.28466, -106.54991 35.28546, -106.54918 35.28651, -106.54857 35.28737, -106.54732 35.28915, -106.54576 35.29137, -106.54553 35.2917, -106.54535 35.29196, -106.54501 35.29244)"
44570,115+04307,P1,25.0,I-25 N,1,NM-44/NM-165/Exit 242,76,UNITED STATES,NEW MEXICO,SANDOVAL,87004,N,35.29564,-106.54276,35.31233,-106.53426,1.266656013644023,1,N,1.0,1171.0,2.0,,6.0,25.0,2.0,1.0,,32907.0,1876.0,987.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.54276 35.29564, -106.54246 35.29605, -106.54153 35.29736, -106.54091 35.29824, -106.54024 35.29919, -106.53983 35.29977, -106.53973 35.29992, -106.53936 35.30044, -106.53934 35.30047, -106.53843 35.30177, -106.53797 35.30244, -106.53759 35.30296, -106.53715 35.30357, -106.53688 35.30398, -106.53669 35.30427, -106.53653 35.30452, -106.53623 35.30501, -106.53602 35.30536, -106.53582 35.30574, -106.53553 35.30634, -106.53528 35.30692, -106.53515 35.30727, -106.53501 35.30769, -106.53475 35.30855, -106.53467 35.30892, -106.53452 35.30963, -106.53444 35.31025, -106.53437 35.31094, -106.53433 35.31135, -106.5343 35.31181, -106.53428 35.31205, -106.53426 35.31233)"
44571,115+04309,P1,40.0,I-40 E,1,Nolasco Rd/98th St/Exit 153,75,UNITED STATES,NEW MEXICO,BERNALILLO,87121,E,35.06676,-106.7839,35.08214,-106.75336,2.027319047566722,1,N,1.0,1171.0,2.0,,4.0,40.0,2.0,1.0,,39561.0,2255.0,1187.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.7839 35.06676, -106.78327 35.0671, -106.78305 35.06721, -106.78252 35.06748, -106.78198 35.06775, -106.78152 35.06798, -106.7796 35.06894, -106.77829 35.0696, -106.77608 35.07071, -106.77341 35.07205, -106.77023 35.07365, -106.76967 35.07393, -106.76765 35.07495, -106.76569 35.07594, -106.76442 35.07658, -106.76356 35.07701, -106.76324 35.07717, -106.76229 35.07765, -106.76186 35.07787, -106.76136 35.07812, -106.75979 35.07891, -106.75818 35.07972, -106.75681 35.08041, -106.75553 35.08105, -106.75473 35.08145, -106.75431 35.08166, -106.75336 35.08214)"
44572,115+04314,P1,40.0,I-40 E,1,6th St/Exit 158,75,UNITED STATES,NEW MEXICO,BERNALILLO,87104,E,35.10618,-106.65811,35.10623,-106.65769,0.023991305401767,1,N,1.0,1171.0,2.0,,8.0,40.0,2.0,1.0,,126599.0,7216.0,3799.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.65811 35.10618, -106.65791 35.1062, -106.65769 35.10623)"
44573,115+04316,P1,40.0,I-40 E,1,Carlisle Blvd/Exit 160,75,UNITED STATES,NEW MEXICO,BERNALILLO,87106,E,35.10731,-106.61493,35.10595,-106.6086,0.370112990280658,1,N,1.0,1171.0,2.0,,12.0,40.0,2.0,1.0,,205827.0,11732.0,6176.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-106.61493 35.10731, -106.61448 35.10724, -106.61409 35.10718, -106.61382 35.10713, -106.61374 35.10712, -106.61353 35.10707, -106.61346 35.10706, -106.61314 35.10699, -106.61287 35.10693, -106.61264 35.10688, -106.61215 35.10676, -106.61149 35.1066, -106.61047 35.10637, -106.61014 35.1063, -106.61003 35.10628, -106.60982 35.10623, -106.6096 35.10618, -106.60894 35.10604, -106.6086 35.10595)"
