Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
63894,118+04575,P1,29.0,I-29 N,1,I-94/Exit 63,118,UNITED STATES,NORTH DAKOTA,CASS,58103,N,46.83693,-96.84011,46.84065,-96.84068,0.258402071833879,1,N,1.0,29089.0,2.0,,6.0,29.0,2.0,1.0,,49605.0,1250.0,2696.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.84011 46.83693, -96.84014 46.83723, -96.84031 46.83836, -96.84039 46.83887, -96.84055 46.83983, -96.84063 46.84033, -96.84068 46.84065)"
63895,118+04578,P1,29.0,I-29 N,1,12th Ave/Exit 66,118,UNITED STATES,NORTH DAKOTA,CASS,58102,N,46.88117,-96.83998,46.88727,-96.83925,0.422830270082484,1,N,1.0,29089.0,2.0,,4.0,29.0,2.0,1.0,,52624.0,1391.0,2926.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.83998 46.88117, -96.83993 46.88152, -96.83985 46.88225, -96.83982 46.88262, -96.83978 46.88296, -96.83975 46.88332, -96.83966 46.88403, -96.83959 46.88462, -96.83944 46.88589, -96.8393 46.88698, -96.83925 46.88727)"
63896,118+04581,P1,29.0,I-29 N,1,Dakota Ave/Exit 73,118,UNITED STATES,NORTH DAKOTA,CASS,58102,N,46.93704,-96.85199,46.97401,-96.88088,2.913456430657835,1,N,1.0,99999.0,2.0,,4.0,29.0,2.0,1.0,,14775.0,325.0,2660.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.85199 46.93704, -96.85252 46.9381, -96.85262 46.9383, -96.85429 46.94162, -96.85488 46.94276, -96.85512 46.94321, -96.85539 46.94367, -96.85581 46.94435, -96.85611 46.94481, -96.85641 46.94526, -96.85688 46.94594, -96.85753 46.94683, -96.85851 46.94818, -96.85933 46.9493, -96.86049 46.95089, -96.86099 46.95159, -96.86151 46.9523, -96.86372 46.95534, -96.86423 46.95604, -96.86558 46.9579, -96.8661 46.95862, -96.8676 46.96068, -96.86941 46.96319, -96.87018 46.96425, -96.87092 46.96525, -96.87157 46.96602, -96.87196 46.96646, -96.87238 46.96689, -96.87282 46.96731, -96.87328 46.96772, -96.874 46.96832, -96.87496 46.96911, -96.87568 46.9697, -96.87712 46.97088, -96.87873 46.97221, -96.87974 46.97304, -96.88059 46.97377, -96.88088 46.97401)"
64070,118+05717,P1,29.0,I-29 N,1,CR-16/Exit 54,118,UNITED STATES,NORTH DAKOTA,CASS,58047,N,46.66248,-96.83102,46.71387,-96.83025,3.550215846817443,1,N,1.0,99999.0,2.0,,4.0,29.0,2.0,1.0,,11765.0,295.0,1775.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.83102 46.66248, -96.83102 46.66273, -96.831 46.66342, -96.83099 46.66406, -96.83096 46.6662, -96.83092 46.66928, -96.83085 46.67378, -96.83063 46.6888, -96.83058 46.69226, -96.8305 46.69778, -96.83045 46.70098, -96.83043 46.70282, -96.83041 46.70341, -96.8304 46.7038, -96.83034 46.7072, -96.83033 46.70802, -96.83028 46.71202, -96.83025 46.71362, -96.83025 46.71387)"
64071,118+05720,P1,29.0,I-29 N,1,CR-26/Exit 86,118,UNITED STATES,NORTH DAKOTA,CASS,58005,N,47.05313,-96.94157,47.14798,-96.97223,6.779469064375792,1,N,1.0,99999.0,2.0,,4.0,29.0,2.0,1.0,,13505.0,295.0,2685.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.94157 47.05313, -96.94176 47.0536, -96.94194 47.05409, -96.94197 47.05418, -96.94211 47.05457, -96.94214 47.05469, -96.94226 47.05511, -96.94236 47.05558, -96.9425 47.0565, -96.94256 47.05726, -96.94256 47.05825, -96.94257 47.06019, -96.94255 47.06323, -96.94255 47.06464, -96.94255 47.06474, -96.94256 47.0673, -96.94256 47.06942, -96.94255 47.07059, -96.94257 47.07171, -96.94258 47.07208, -96.94261 47.07242, -96.9427 47.0731, -96.94279 47.07355, -96.94291 47.07405, -96.94309 47.07469, -96.9436 47.07609, -96.94382 47.07673, -96.94434 47.07811, -96.94516 47.08035, -96.94591 47.08237, -96.94697 47.08526, -96.94792 47.08784, -96.94876 47.09015, -96.94925 47.09144, -96.94967 47.09257, -96.94987 47.09301, -96.95018 47.09364, -96.95056 47.09436, -96.95086 47.09484, -96.95118 47.0953, -96.95176 47.09608, -96.95215 47.0966, -96.95436 47.09952, -96.95523 47.10068, -96.95585 47.10153, -96.95619 47.10202, -96.95657 47.10269, -96.95704 47.10362, -96.95726 47.10415, -96.95742 47.10459, -96.95751 47.10488, -96.95763 47.10523, -96.95778 47.10589, -96.95788 47.10633, -96.95795 47.10686, -96.958 47.10722, -96.95803 47.10772, -96.95803 47.1083, -96.95804 47.10953, -96.95806 47.11139, -96.95805 47.11253, -96.95808 47.11388, -96.95814 47.11476, -96.95825 47.11542, -96.95848 47.11638, -96.95859 47.1168, -96.95887 47.11758, -96.95922 47.11861, -96.95972 47.11995, -96.96019 47.12121, -96.96157 47.12497, -96.96348 47.13014, -96.96438 47.13256, -96.96541 47.13529, -96.96609 47.13715, -96.96617 47.13738, -96.96655 47.13842, -96.96706 47.13974, -96.96742 47.14059, -96.96767 47.14109, -96.96803 47.14171, -96.96842 47.14236, -96.9692 47.14351, -96.96997 47.14466, -96.97208 47.14776, -96.97223 47.14798)"
64073,118+05727,P1,94.0,I-94 W,1,38th St/Exit 342,119,UNITED STATES,NORTH DAKOTA,CASS,58078,W,46.87775,-96.95422,46.87775,-96.96414,0.468428632341506,1,N,1.0,29089.0,2.0,,4.0,94.0,2.0,1.0,,22805.0,570.0,2790.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.95422 46.87775, -96.95594 46.87776, -96.95651 46.87776, -96.95683 46.87776, -96.95895 46.87775, -96.95937 46.87775, -96.96018 46.87775, -96.96144 46.87775, -96.9634 46.87775, -96.96414 46.87775)"
64074,118+05729,P1,94.0,I-94 W,1,CR-11/Meridian Rd/Exit 338,119,UNITED STATES,NORTH DAKOTA,CASS,58059,W,46.8776,-97.01532,46.87743,-97.04731,1.510630100447499,1,N,1.0,99999.0,2.0,,4.0,94.0,2.0,1.0,,17240.0,340.0,2955.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.01532 46.8776, -97.01588 46.8776, -97.01621 46.8776, -97.01645 46.8776, -97.0201 46.87758, -97.02588 46.87754, -97.0322 46.87749, -97.0394 46.87746, -97.04625 46.87743, -97.04731 46.87743)"
64075,118+05735,P1,94.0,I-94 W,1,CR-3/Exit 317,119,UNITED STATES,NORTH DAKOTA,CASS,58011,W,46.8758,-97.43422,46.87579,-97.48827,2.552341176866049,1,N,1.0,99999.0,2.0,,4.0,94.0,2.0,1.0,,11935.0,230.0,2855.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.43422 46.8758, -97.43595 46.8758, -97.44343 46.87581, -97.4505 46.87581, -97.46366 46.87579, -97.48751 46.87579, -97.48827 46.87579)"
64076,118+05736,P1,94.0,I-94 W,1,ND-38/Exit 314,119,UNITED STATES,NORTH DAKOTA,CASS,58011,W,46.87581,-97.49799,46.87588,-97.55058,2.48342363464255,1,N,1.0,99999.0,2.0,,4.0,94.0,2.0,1.0,,11305.0,491.0,2359.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49799 46.87581, -97.49932 46.87581, -97.52579 46.8758, -97.532 46.8758, -97.53628 46.8758, -97.53723 46.8758, -97.54013 46.87583, -97.54604 46.87586, -97.54955 46.87588, -97.55048 46.87588, -97.55058 46.87588)"
64077,118+05738,P1,94.0,I-94 W,1,CR-1/132nd Ave SE/Exit 307,119,UNITED STATES,NORTH DAKOTA,CASS,58071,W,46.89322,-97.64428,46.91718,-97.6795,2.345766219877945,1,N,1.0,99999.0,2.0,,4.0,94.0,2.0,1.0,,11322.0,487.0,2376.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.64428 46.89322, -97.64511 46.89378, -97.65202 46.8985, -97.65396 46.89982, -97.65549 46.90086, -97.65839 46.90284, -97.66063 46.90436, -97.66129 46.90481, -97.6629 46.9059, -97.66644 46.90832, -97.66967 46.91051, -97.67194 46.91205, -97.67331 46.91298, -97.67786 46.91608, -97.67884 46.91674, -97.67931 46.91705, -97.6795 46.91718)"
