Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
1768,111-50947,P1,,W 21ST ST S,1,S 49th West Ave,50945,UNITED STATES,OKLAHOMA,TULSA,74107,W,36.1335,-96.01439,36.13349,-96.04726,1.833911517302674,4,N,3.0,88948.0,2.0,,4.0,,,,,8700.0,522.0,435.0,8,45.0,0.0,0.0,0.0,"LINESTRING (-96.01439 36.1335, -96.01507 36.1335, -96.01548 36.1335, -96.01604 36.1335, -96.01705 36.13349, -96.01795 36.13349, -96.01824 36.13349, -96.01935 36.13348, -96.02363 36.13346, -96.02937 36.13344, -96.03112 36.13344, -96.03377 36.13346, -96.04272 36.13348, -96.04548 36.13349, -96.04708 36.13349, -96.04726 36.13349)"
1769,111-50959,P1,66.0,OK-66 W,1,E Pine St,821,UNITED STATES,OKLAHOMA,ROGERS,74019,S,36.2448,-95.67389,36.177,-95.75075,6.524527964711607,4,N,3.0,88948.0,2.0,,4.0,66.0,4.0,1.0,S066,16100.0,644.0,161.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-95.67389 36.2448, -95.67446 36.24426, -95.67503 36.24377, -95.6753 36.24354, -95.67554 36.24333, -95.67581 36.24309, -95.67609 36.24287, -95.67636 36.24267, -95.67673 36.24243, -95.67713 36.24217, -95.67742 36.24199, -95.67787 36.24171, -95.67898 36.24104, -95.6799 36.24048, -95.681 36.23981, -95.68139 36.23957, -95.68153 36.23948, -95.68307 36.23854, -95.68495 36.2374, -95.68556 36.23703, -95.68679 36.23629, -95.68757 36.23582, -95.68847 36.23527, -95.68878 36.23508, -95.68883 36.23505, -95.68951 36.23463, -95.68982 36.23444, -95.69002 36.23432, -95.69036 36.23411, -95.69106 36.23369, -95.69564 36.23091, -95.69622 36.23056, -95.69693 36.23012, -95.69804 36.22945, -95.69951 36.22855, -95.70023 36.22812, -95.7005 36.22795, -95.70278 36.22654, -95.70583 36.22466, -95.7064 36.22431, -95.70684 36.22404, -95.70713 36.22386, -95.70763 36.22355, -95.7079 36.22339, -95.70878 36.22285, -95.71005 36.22208, -95.71229 36.22072, -95.71371 36.21985, -95.71454 36.21934, -95.71481 36.21918, -95.71652 36.21813, -95.71686 36.21791, -95.71802 36.21719, -95.71842 36.21694, -95.71927 36.21641, -95.71939 36.21634, -95.71949 36.21627, -95.71994 36.21597, -95.7201 36.21585, -95.72023 36.21576, -95.72037 36.21567, -95.72064 36.21545, -95.72094 36.21519, -95.72127 36.2149, -95.72144 36.21471, -95.72175 36.21441, -95.72206 36.21406, -95.72232 36.21375, -95.72285 36.21305, -95.72311 36.21266, -95.72318 36.21255, -95.7234 36.21216, -95.72347 36.21203, -95.72352 36.21192, -95.72384 36.21123, -95.72395 36.21099, -95.72426 36.21028, -95.72439 36.20993, -95.72459 36.20938, -95.72463 36.20929, -95.72477 36.20899, -95.72515 36.20816, -95.72607 36.20615, -95.72617 36.20593, -95.72626 36.20573, -95.72661 36.20492, -95.72738 36.20317, -95.72754 36.2028, -95.72768 36.20248, -95.7285 36.20059, -95.7289 36.19966, -95.72924 36.1989, -95.72949 36.19833, -95.72966 36.19795, -95.72979 36.19765, -95.73004 36.19709, -95.73024 36.19669, -95.73043 36.19629, -95.73063 36.19589, -95.73103 36.19524, -95.73121 36.19496, -95.73146 36.1946, -95.73192 36.19395, -95.73237 36.19339, -95.7328 36.19294, -95.73301 36.19272, -95.73314 36.19258, -95.73327 36.19245, -95.73364 36.19209, -95.73427 36.1915, -95.73479 36.19108, -95.73518 36.19077, -95.73539 36.19063, -95.73554 36.19053, -95.73604 36.1902, -95.73691 36.18965, -95.73785 36.18912, -95.7382 36.18892, -95.73966 36.1881, -95.73993 36.18795, -95.74118 36.18724, -95.74135 36.18714, -95.74156 36.18702, -95.74174 36.18692, -95.74187 36.18685, -95.74194 36.1868, -95.74202 36.18675, -95.74236 36.18653, -95.74257 36.18639, -95.74269 36.18629, -95.74271 36.18627, -95.74305 36.18601, -95.74326 36.18585, -95.74379 36.18536, -95.74463 36.18459, -95.74471 36.18452, -95.7454 36.18388, -95.7456 36.1837, -95.74642 36.18296, -95.74714 36.18228, -95.74764 36.18177, -95.74768 36.18173, -95.7479 36.18149, -95.74806 36.18131, -95.74822 36.18112, -95.74844 36.18086, -95.74869 36.18055, -95.74895 36.18022, -95.74905 36.18009, -95.74941 36.17956, -95.74947 36.17947, -95.74963 36.17921, -95.75006 36.17842, -95.75036 36.17786, -95.75047 36.17763, -95.75075 36.177)"
1770,111-50976,P1,412.0,US-412,1,US-59,50975,UNITED STATES,OKLAHOMA,DELAWARE,74338,W,36.17638,-94.56546,36.17639,-94.56579,0.018414283357992,2,N,3.0,99998.0,2.0,,4.0,412.0,3.0,1.0,U412,21900.0,876.0,1533.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-94.56546 36.17638, -94.56579 36.17639)"
1771,111-51009,P1,62.0,NW ROGERS LN,1,NW Quannah Parker Trailway,51008,UNITED STATES,OKLAHOMA,COMANCHE,73505,S,34.6381,-98.49453,34.63373,-98.49953,0.436640515228479,4,N,3.0,48394.0,2.0,,4.0,62.0,3.0,1.0,U062,9300.0,465.0,465.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-98.49453 34.6381, -98.49481 34.63807, -98.49514 34.63802, -98.49537 34.63799, -98.49572 34.63787, -98.49621 34.63769, -98.49647 34.63753, -98.49683 34.63731, -98.49702 34.63715, -98.49724 34.63698, -98.49739 34.6368, -98.49757 34.6366, -98.49772 34.63639, -98.49801 34.63596, -98.49825 34.63561, -98.4989 34.63466, -98.49953 34.63373)"
1983,111N04897,P1,35.0,I-35 S,1,OK-9/Exit 106,108,UNITED STATES,OKLAHOMA,MCCLAIN,73072,S,35.18518,-97.49214,35.17605,-97.49449,0.65441541520263,1,N,1.0,63433.0,2.0,,6.0,35.0,2.0,1.0,I035,58890.0,2610.0,7992.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49214 35.18518, -97.49242 35.18476, -97.4926 35.18447, -97.49302 35.18374, -97.49317 35.18344, -97.4933 35.18317, -97.49351 35.18271, -97.4937 35.18223, -97.49398 35.18139, -97.49403 35.18124, -97.49407 35.18112, -97.49412 35.18095, -97.4943 35.1802, -97.49438 35.17981, -97.49447 35.17918, -97.49452 35.17866, -97.49456 35.17782, -97.49456 35.17692, -97.4945 35.17618, -97.49449 35.17605)"
1984,111N04898,P1,35.0,I-35 S,1,OK-9/Exit 108,108,UNITED STATES,OKLAHOMA,CLEVELAND,73072,S,35.19747,-97.4821,35.19626,-97.48307,0.099934105266315,1,N,1.0,63433.0,2.0,,6.0,35.0,2.0,1.0,I035,70900.0,3545.0,6381.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.4821 35.19747, -97.48236 35.19713, -97.48307 35.19626)"
1985,111N04909,P1,35.0,I-35 S,1,27th St/Exit 119,108,UNITED STATES,OKLAHOMA,CLEVELAND,73160,S,35.3671,-97.49496,35.36183,-97.49502,0.364536432661318,1,N,1.0,65080.0,2.0,,6.0,35.0,2.0,1.0,I035,125110.0,6175.0,7037.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49496 35.3671, -97.49494 35.36566, -97.49493 35.3648, -97.4949 35.36348, -97.4949 35.36328, -97.4949 35.36255, -97.49495 35.36222, -97.49502 35.36183)"
1986,111N04910,P1,35.0,I-35 S,1,89th St/Exit 120,108,UNITED STATES,OKLAHOMA,CLEVELAND,73160,S,35.3808,-97.49513,35.37261,-97.49507,0.565783409146709,1,N,1.0,65080.0,2.0,,6.0,35.0,2.0,1.0,I035,137454.0,6811.0,7471.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49513 35.3808, -97.49512 35.38012, -97.49512 35.37929, -97.49512 35.37742, -97.49512 35.37729, -97.49512 35.37714, -97.49511 35.37521, -97.49509 35.37387, -97.49507 35.37261)"
1987,111N04912,P1,35.0,I-35 S,1,I-240/OK-3/US-62/Exit 121,108,UNITED STATES,OKLAHOMA,OKLAHOMA,73149,S,35.39563,-97.49516,35.3875,-97.49519,0.561663274081734,1,N,1.0,65080.0,2.0,,6.0,35.0,2.0,1.0,I035,134104.0,6705.0,7279.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49516 35.39563, -97.49515 35.39539, -97.49515 35.39387, -97.49516 35.39198, -97.49516 35.39186, -97.49516 35.39172, -97.49516 35.39157, -97.49519 35.39017, -97.49518 35.38898, -97.49517 35.38821, -97.49519 35.3875)"
1988,111N04928,P1,35.0,I-35 S,1,I-44/Exit 133,110,UNITED STATES,OKLAHOMA,OKLAHOMA,73111,S,35.53697,-97.46121,35.53593,-97.46103,0.072595724415409,1,N,1.0,65080.0,2.0,,4.0,35.0,2.0,1.0,I035,69000.0,2760.0,5520.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.46121 35.53697, -97.46119 35.53677, -97.46114 35.53656, -97.46109 35.53627, -97.46103 35.53593)"
1989,111N04930,P1,35.0,STANLEY DRAPER EXPY,1,Eastern Av/M L King BL/Exit 127,109,UNITED STATES,OKLAHOMA,OKLAHOMA,73117,W,35.46313,-97.47677,35.46283,-97.48138,0.26044347191502,1,N,1.0,65080.0,2.0,,8.0,35.0,2.0,1.0,I035,128100.0,5124.0,10248.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.47677 35.46313, -97.47851 35.46299, -97.47936 35.46292, -97.48027 35.46285, -97.48045 35.46283, -97.48078 35.46282, -97.48138 35.46283)"
1990,111N04931,P1,35.0,STANLEY DRAPER EXPY,1,I-35/I-40 East Split,109,UNITED STATES,OKLAHOMA,OKLAHOMA,73117,W,35.46328,-97.47525,35.4632,-97.476,0.042558916107196,1,N,1.0,65080.0,2.0,,8.0,35.0,2.0,1.0,I035,128100.0,5124.0,10248.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.47525 35.46328, -97.476 35.4632)"
1991,111N04932,P1,40.0,I-40 E,1,I-235/Exit 126,111,UNITED STATES,OKLAHOMA,OKLAHOMA,73129,E,35.46228,-97.49656,35.4622,-97.48853,0.451879857878234,2,N,1.0,65080.0,2.0,,8.0,40.0,2.0,1.0,I040,120600.0,8442.0,8442.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.49656 35.46228, -97.49645 35.46228, -97.49633 35.46228, -97.49619 35.46228, -97.49541 35.46227, -97.49401 35.46227, -97.4935 35.46227, -97.49301 35.46227, -97.49214 35.46227, -97.49069 35.46225, -97.49039 35.46224, -97.48983 35.46223, -97.48853 35.4622)"
1992,111N04943,P1,40.0,I-40 E,1,May Ave/Exit 147,111,UNITED STATES,OKLAHOMA,OKLAHOMA,73108,E,35.46066,-97.56569,35.46069,-97.56443,0.070955841219966,2,N,1.0,65080.0,2.0,1.0,10.0,40.0,2.0,1.0,I040,133300.0,4170.0,8170.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.56569 35.46066, -97.5655 35.46067, -97.56488 35.46067, -97.56443 35.46069)"
1993,111N04951,P1,40.0,I-40 E,1,OK-4/Exit 138,111,UNITED STATES,OKLAHOMA,CANADIAN,73099,E,35.47009,-97.72879,35.46714,-97.72336,0.367372978781177,1,N,1.0,65080.0,2.0,,6.0,40.0,2.0,1.0,I040,59152.0,2546.0,9644.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.72879 35.47009, -97.72804 35.4697, -97.72582 35.46853, -97.72477 35.46798, -97.72462 35.4679, -97.72438 35.46776, -97.72336 35.46714)"
1994,111N04954,P1,40.0,I-40 E,1,Banner Rd/Exit 130,111,UNITED STATES,OKLAHOMA,CANADIAN,73036,E,35.49998,-97.85244,35.50025,-97.8449,0.424456600276391,1,N,1.0,99999.0,2.0,,6.0,40.0,2.0,1.0,I040,48369.0,2660.0,8790.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.85244 35.49998, -97.85171 35.5, -97.84871 35.50011, -97.84582 35.50021, -97.8449 35.50025)"
1995,111N04956,P1,40.0,I-40 E,1,Country Club Rd/Exit 123,111,UNITED STATES,OKLAHOMA,CANADIAN,73036,E,35.50918,-97.9771,35.50596,-97.96778,0.569652620994185,1,N,1.0,99998.0,2.0,,4.0,40.0,2.0,1.0,I040,37352.0,899.0,7707.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.9771 35.50918, -97.976 35.50886, -97.97437 35.50834, -97.9729 35.50784, -97.97268 35.50777, -97.97251 35.50771, -97.97123 35.50727, -97.97002 35.50683, -97.96849 35.50624, -97.96778 35.50596)"
1996,111N04957,P1,40.0,I-40 E,1,I-40-BR/Exit 119,111,UNITED STATES,OKLAHOMA,CANADIAN,73036,E,35.52971,-98.05478,35.52966,-98.04574,0.508362140654876,1,N,1.0,99999.0,2.0,,4.0,40.0,2.0,1.0,I040,26800.0,804.0,7772.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-98.05478 35.52971, -98.05274 35.52972, -98.05076 35.52973, -98.04999 35.52972, -98.04981 35.52972, -98.04933 35.52973, -98.04887 35.52973, -98.04769 35.52972, -98.0466 35.52971, -98.04574 35.52966)"
1997,111N04967,P1,40.0,I-40 E,1,Air Depot Blvd/Exit 157,112,UNITED STATES,OKLAHOMA,OKLAHOMA,73110,E,35.43463,-97.40942,35.43422,-97.40334,0.34715833436869,1,N,1.0,65080.0,2.0,,6.0,40.0,2.0,1.0,I040,66261.0,2928.0,4253.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.40942 35.43463, -97.40911 35.4345, -97.40882 35.4344, -97.40822 35.43427, -97.40759 35.43422, -97.40695 35.43421, -97.40609 35.43421, -97.40588 35.43422, -97.40334 35.43422)"
1998,111N04968,P1,40.0,I-40 E,1,29th St/Exit 157,112,UNITED STATES,OKLAHOMA,OKLAHOMA,73110,S,35.43786,-97.4131,35.43532,-97.41046,0.230243062454718,1,N,1.0,65080.0,2.0,,6.0,40.0,2.0,1.0,I040,67900.0,3100.0,4323.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.4131 35.43786, -97.41292 35.4377, -97.41254 35.43741, -97.41201 35.43692, -97.41088 35.43573, -97.41046 35.43532)"
1999,111N04973,P1,40.0,I-40 E,1,Scott St/Exit 154,112,UNITED STATES,OKLAHOMA,OKLAHOMA,73115,E,35.4608,-97.45894,35.45697,-97.45246,0.45684024986429,1,N,1.0,65080.0,2.0,,6.0,40.0,2.0,1.0,I040,88833.0,3426.0,5203.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.45894 35.4608, -97.45834 35.46034, -97.45789 35.45997, -97.4572 35.45939, -97.45649 35.45884, -97.45602 35.4585, -97.45593 35.45844, -97.45583 35.45836, -97.45573 35.4583, -97.45565 35.45825, -97.45545 35.45813, -97.45506 35.45793, -97.45459 35.45769, -97.45405 35.45746, -97.45345 35.45726, -97.45311 35.45715, -97.45277 35.45705, -97.45246 35.45697)"
2000,111N04974,P1,40.0,I-40 E,1,I-35/US-62/Exit 153,112,UNITED STATES,OKLAHOMA,OKLAHOMA,73117,E,35.46347,-97.47226,35.46432,-97.46367,0.548053300934754,1,N,1.0,65080.0,2.0,1.0,4.0,40.0,2.0,1.0,I040,103300.0,3099.0,5165.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-97.47226 35.46347, -97.47204 35.46354, -97.4719 35.46359, -97.47172 35.46366, -97.47147 35.46376, -97.47126 35.46387, -97.4712 35.4639, -97.47104 35.464, -97.47047 35.46434, -97.46955 35.46492, -97.46922 35.46512, -97.4687 35.46536, -97.4684 35.46547, -97.46805 35.46553, -97.46775 35.46558, -97.46725 35.4656, -97.46696 35.4656, -97.46655 35.46556, -97.46612 35.46546, -97.46584 35.46538, -97.46558 35.46528, -97.46508 35.46504, -97.46459 35.46478, -97.46424 35.46459, -97.46367 35.46432)"
2001,111N04975,P1,44.0,I-44 W,1,McDonald Dr,115,UNITED STATES,OKLAHOMA,CREEK,74010,W,35.8547,-96.37259,35.85328,-96.37652,0.240916259482537,1,N,1.0,99999.0,2.0,,4.0,44.0,2.0,1.0,I044,30800.0,1537.0,6124.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.37259 35.8547, -96.37392 35.85422, -96.37459 35.85398, -96.37652 35.85328)"
2002,111N04976,P1,44.0,I-44 W,1,OK-33/Exit 211,115,UNITED STATES,OKLAHOMA,CREEK,74066,W,35.98929,-96.19179,35.98467,-96.19813,0.477070507779948,1,N,1.0,99999.0,2.0,,6.0,44.0,2.0,1.0,I044,32910.0,1657.0,5995.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.19179 35.98929, -96.19219 35.98901, -96.19439 35.98747, -96.19449 35.98739, -96.1969 35.98561, -96.19788 35.98483, -96.19813 35.98467)"
2003,111N04985,P1,44.0,I-44 W,1,Riverside Dr/Exit 226,115,UNITED STATES,OKLAHOMA,TULSA,74105,W,36.09,-95.98445,36.08998,-95.98696,0.140131714781377,1,N,1.0,88948.0,2.0,1.0,6.0,44.0,2.0,1.0,I044,87700.0,2631.0,7016.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.98445 36.09, -95.98459 36.09, -95.98488 36.09, -95.98595 36.08998, -95.9861 36.08998, -95.98696 36.08998)"
2004,111N04986,P1,44.0,I-44 W,1,Peoria Ave/Exit 226,115,UNITED STATES,OKLAHOMA,TULSA,74105,W,36.08971,-95.97009,36.09,-95.98384,0.768565869144014,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,91713.0,2751.0,7337.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.97009 36.08971, -95.97099 36.08971, -95.97551 36.08971, -95.97574 36.08971, -95.976 36.08971, -95.97671 36.08971, -95.97848 36.08971, -95.97924 36.08971, -95.97995 36.08972, -95.98061 36.08976, -95.98106 36.08979, -95.98154 36.08984, -95.98204 36.0899, -95.98257 36.08994, -95.98313 36.08998, -95.98384 36.09)"
2005,111N04987,P1,44.0,I-44 W,1,Lewis Ave/Exit 227,115,UNITED STATES,OKLAHOMA,TULSA,74105,W,36.09046,-95.95275,36.08995,-95.96398,0.629505430894925,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,93036.0,2791.0,7443.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.95275 36.09046, -95.95329 36.09045, -95.95417 36.09045, -95.95498 36.09045, -95.95675 36.09045, -95.95779 36.09046, -95.95797 36.09046, -95.95818 36.09046, -95.95833 36.09046, -95.95899 36.09046, -95.95947 36.09045, -95.95994 36.09044, -95.96042 36.0904, -95.96109 36.09033, -95.962 36.09022, -95.96268 36.09012, -95.96398 36.08995)"
2006,111N04988,P1,44.0,I-44 W,1,Harvard Ave/Exit 228,115,UNITED STATES,OKLAHOMA,TULSA,74105,W,36.09095,-95.93469,36.09046,-95.94693,0.684413941674793,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,88808.0,2664.0,7105.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.93469 36.09095, -95.93615 36.09084, -95.93742 36.09076, -95.93812 36.09073, -95.93869 36.0907, -95.93949 36.09066, -95.93982 36.09064, -95.94011 36.09063, -95.94055 36.09061, -95.94087 36.09059, -95.94245 36.09051, -95.94441 36.09047, -95.94577 36.09046, -95.94693 36.09046)"
2007,111N04990,P1,44.0,I-44 W,1,41st St/Exit 230,115,UNITED STATES,OKLAHOMA,TULSA,74135,W,36.10651,-95.90672,36.10114,-95.91424,0.560176345059567,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,103377.0,3488.0,8009.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.90672 36.10651, -95.9072 36.10616, -95.90748 36.10596, -95.90798 36.1056, -95.90873 36.10505, -95.90948 36.10452, -95.90961 36.10443, -95.90983 36.10428, -95.91012 36.10407, -95.91078 36.10361, -95.91145 36.10312, -95.91167 36.10296, -95.91424 36.10114)"
2008,111N04991,P1,44.0,I-44 W,1,US-64/OK-51/Exit 231,115,UNITED STATES,OKLAHOMA,TULSA,74145,W,36.11854,-95.88972,36.10874,-95.9035,1.024673848440453,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,89920.0,2858.0,7724.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.88972 36.11854, -95.89016 36.11818, -95.89082 36.11771, -95.89149 36.11723, -95.89217 36.11675, -95.89441 36.11517, -95.89566 36.11428, -95.89637 36.11378, -95.89646 36.11372, -95.89668 36.11357, -95.89674 36.11353, -95.89773 36.11283, -95.90102 36.11049, -95.90164 36.11005, -95.90177 36.10996, -95.90208 36.10974, -95.90219 36.10965, -95.90246 36.10947, -95.90291 36.10916, -95.9035 36.10874)"
2009,111N04992,P1,44.0,I-44 W,1,Memorial Dr/Exit 232,115,UNITED STATES,OKLAHOMA,TULSA,74129,W,36.12515,-95.88031,36.12063,-95.8867,0.474165056729029,1,N,1.0,88948.0,2.0,,6.0,44.0,2.0,1.0,I044,73500.0,1470.0,5880.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.88031 36.12515, -95.88243 36.12365, -95.88356 36.12285, -95.88458 36.12213, -95.8848 36.12197, -95.88545 36.12152, -95.886 36.12114, -95.88632 36.12092, -95.88652 36.1208, -95.8867 36.12063)"
2010,111N05000,P1,44.0,I-44 W,1,OK-167/193rd Ave/Exit 240,115,UNITED STATES,OKLAHOMA,ROGERS,74015,W,36.16285,-95.75752,36.16268,-95.76557,0.449125109986569,1,N,1.0,88948.0,2.0,,4.0,44.0,2.0,1.0,I044,64256.0,3213.0,6426.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-95.75752 36.16285, -95.75834 36.16283, -95.75906 36.16281, -95.76014 36.16279, -95.76049 36.16278, -95.76095 36.16277, -95.76137 36.16276, -95.76168 36.16275, -95.76401 36.16272, -95.76557 36.16268)"
2011,111N05003,P1,244.0,I-244 W,1,I-44/OK-66/Gilcrease Expy/Exit 1,116,UNITED STATES,OKLAHOMA,TULSA,74107,S,36.09088,-96.03806,36.08674,-96.04197,0.360636730583556,2,N,1.0,88948.0,2.0,,4.0,244.0,2.0,1.0,I244,22700.0,1589.0,1816.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.03806 36.09088, -96.03898 36.0899, -96.03954 36.08937, -96.03958 36.08933, -96.03971 36.08921, -96.04015 36.08882, -96.04029 36.08869, -96.04089 36.08812, -96.04138 36.08755, -96.04154 36.08735, -96.0417 36.08712, -96.04197 36.08674)"
2012,111N05005,P1,244.0,I-244 W,1,Southwest Blvd/40th Pl/Exit 1,116,UNITED STATES,OKLAHOMA,TULSA,74107,S,36.10843,-96.01791,36.10522,-96.02054,0.268115731119283,2,N,1.0,88948.0,2.0,,4.0,244.0,2.0,1.0,I244,27700.0,1662.0,2493.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.01791 36.10843, -96.01845 36.108, -96.01883 36.10767, -96.01922 36.10724, -96.01972 36.10653, -96.02054 36.10522)"
2013,111N05012,P1,244.0,I-244 W,1,US-64/US-412/OK-51/Exit 5,116,UNITED STATES,OKLAHOMA,TULSA,74127,S,36.15908,-96.00209,36.15618,-96.00161,0.202437333412388,2,N,1.0,88948.0,2.0,1.0,4.0,244.0,2.0,1.0,I244,67100.0,2684.0,4697.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-96.00209 36.15908, -96.00209 36.15896, -96.00209 36.15867, -96.00207 36.15849, -96.00202 36.1582, -96.00199 36.15805, -96.0019 36.15761, -96.00184 36.15733, -96.00161 36.15618)"
