Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
187735,832+04103,P1,26.0,EXPRESO ROMÁN BALDORIOTY DE CASTRO,1,Avenida Los Angeles,65,UNITED STATES,PUERTO RICO,CAROLINA,979,W,18.4315,-65.99873,18.43187,-66.00612,0.486388462782161,2,N,1.0,79093.0,2.0,,7.0,26.0,4.0,1.0,,93788.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-65.99873 18.4315, -65.99906 18.43158, -65.99945 18.43165, -66.00033 18.43177, -66.00096 18.43183, -66.00167 18.43186, -66.00258 18.4319, -66.00271 18.4319, -66.00521 18.43189, -66.00612 18.43187)"
187736,832+04104,P1,26.0,EXPRESO ROMÁN BALDORIOTY DE CASTRO,1,PR-17,65,UNITED STATES,PUERTO RICO,CAROLINA,979,W,18.43197,-66.0103,18.43233,-66.0167,0.420443231259159,2,N,1.0,79093.0,2.0,,8.0,26.0,4.0,1.0,,54200.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.0103 18.43197, -66.01277 18.43206, -66.01414 18.43211, -66.01461 18.43213, -66.01482 18.43214, -66.01598 18.43223, -66.01627 18.43226, -66.0167 18.43233)"
187737,832+04105,P1,26.0,EXPRESO ROMÁN BALDORIOTY DE CASTRO,1,PR-187/Salida 7,65,UNITED STATES,PUERTO RICO,CAROLINA,979,N,18.437,-66.02161,18.43731,-66.02181,0.025107405301195,2,N,1.0,79093.0,2.0,,7.0,26.0,4.0,1.0,,100600.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.02161 18.437, -66.02181 18.43731)"
187738,832+04111,P1,18.0,EXPRESO LAS AMÉRICAS,1,PR-21/Salida 7,66,UNITED STATES,PUERTO RICO,SAN JUAN,927,N,18.38018,-66.07112,18.39064,-66.0713,0.730376864180032,1,N,1.0,79093.0,2.0,,10.0,18.0,4.0,1.0,,177545.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.07112 18.38018, -66.07127 18.38117, -66.07148 18.38254, -66.07173 18.38423, -66.07186 18.38511, -66.07188 18.38548, -66.07189 18.38583, -66.07191 18.38634, -66.07193 18.38689, -66.07192 18.38734, -66.07187 18.38791, -66.07177 18.38866, -66.0716 18.38963, -66.07156 18.38983, -66.07151 18.38998, -66.07147 18.3901, -66.07136 18.39047, -66.0713 18.39064)"
187739,832+04124,P1,18.0,AUTOPISTA JOSÉ DE DIEGO,1,Calle Latimer/Calle Robles,67,UNITED STATES,PUERTO RICO,SAN JUAN,907,N,18.44708,-66.06887,18.44758,-66.06861,0.038513613618025,2,N,1.0,79093.0,2.0,,6.0,22.0,4.0,1.0,,124000.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.06887 18.44708, -66.06861 18.44758)"
187740,832+04125,P1,18.0,AUTOPISTA JOSÉ DE DIEGO,1,PR-26,67,UNITED STATES,PUERTO RICO,SAN JUAN,907,N,18.44925,-66.06847,18.44938,-66.06847,0.008980392034338,2,N,1.0,79093.0,2.0,,6.0,22.0,4.0,1.0,,124000.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.06847 18.44925, -66.06847 18.44938)"
187741,832+04127,P1,22.0,AUTOPISTA JOSÉ DE DIEGO,1,Avenida Plaza Las Americas/Salida 3,68,UNITED STATES,PUERTO RICO,SAN JUAN,918,S,18.42598,-66.07815,18.42574,-66.07837,0.021971830504011,1,N,1.0,79093.0,2.0,,8.0,22.0,4.0,1.0,,196100.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.07815 18.42598, -66.07837 18.42574)"
187742,832+04138,P1,22.0,AUTOPISTA JOSÉ DE DIEGO,1,PR-693/Salida 24,68,UNITED STATES,PUERTO RICO,TOA BAJA,949,W,18.41862,-66.25356,18.41957,-66.26715,0.893131935565727,1,N,1.0,79093.0,2.0,1.0,6.0,22.0,4.0,1.0,,98808.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.25356 18.41862, -66.25565 18.41876, -66.25759 18.41888, -66.2601 18.41906, -66.26215 18.41921, -66.2633 18.41929, -66.2639 18.41933, -66.26557 18.41946, -66.26667 18.41953, -66.26715 18.41957)"
187743,832+04139,P1,22.0,AUTOPISTA JOSÉ DE DIEGO,1,PR-695/PR-694/Salida 27,68,UNITED STATES,PUERTO RICO,DORADO,646,W,18.41976,-66.26819,18.4262,-66.29396,1.864337194166684,1,N,1.0,79093.0,2.0,,4.0,22.0,4.0,1.0,,53100.0,0.0,0.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.26819 18.41976, -66.26866 18.41987, -66.26902 18.41999, -66.26957 18.42019, -66.27019 18.42046, -66.27057 18.42066, -66.27095 18.42088, -66.27141 18.4212, -66.27164 18.42136, -66.27185 18.42154, -66.27227 18.4219, -66.27287 18.42244, -66.27356 18.4231, -66.27394 18.42347, -66.27553 18.42488, -66.27619 18.42533, -66.27691 18.42574, -66.27765 18.42609, -66.27817 18.42629, -66.27895 18.42653, -66.27958 18.42667, -66.28002 18.42675, -66.28054 18.42681, -66.28111 18.42684, -66.28164 18.42685, -66.28243 18.42681, -66.28292 18.42676, -66.2835 18.42666, -66.28395 18.42655, -66.28436 18.42643, -66.28607 18.4259, -66.28692 18.42566, -66.28741 18.42554, -66.28782 18.42547, -66.28823 18.42541, -66.28851 18.42538, -66.28917 18.42535, -66.28968 18.42537, -66.2902 18.42541, -66.29069 18.42549, -66.29164 18.42569, -66.29281 18.42595, -66.2931 18.42601, -66.29396 18.4262)"
187744,832+04153,P1,22.0,AUTOPISTA JOSÉ DE DIEGO,1,PR-683/Salida 64,68,UNITED STATES,PUERTO RICO,ARECIBO,688,W,18.44282,-66.56192,18.44508,-66.6188,4.067334998053683,1,N,1.0,30115.0,2.0,,4.0,22.0,4.0,1.0,,43389.0,2737.0,637.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-66.56192 18.44282, -66.56273 18.44289, -66.56379 18.44298, -66.56431 18.44305, -66.5648 18.44314, -66.56489 18.44316, -66.56529 18.44325, -66.56555 18.44331, -66.56675 18.44356, -66.56745 18.44367, -66.56796 18.44373, -66.56834 18.44376, -66.56872 18.44377, -66.56932 18.44378, -66.56985 18.44376, -66.57034 18.44372, -66.57092 18.44364, -66.57138 18.44357, -66.57177 18.44349, -66.57236 18.44334, -66.57295 18.44316, -66.57351 18.44295, -66.57389 18.4428, -66.57409 18.44271, -66.57455 18.44251, -66.57619 18.44174, -66.57767 18.44102, -66.57913 18.44031, -66.58122 18.4393, -66.58314 18.43842, -66.58876 18.43574, -66.58938 18.43545, -66.58998 18.43519, -66.59068 18.43494, -66.5912 18.43478, -66.59177 18.43463, -66.59234 18.43451, -66.59274 18.43444, -66.5932 18.43438, -66.59375 18.43433, -66.59439 18.4343, -66.59528 18.4343, -66.59578 18.43434, -66.59632 18.4344, -66.59705 18.43452, -66.59769 18.43465, -66.59846 18.43487, -66.59907 18.43508, -66.59962 18.43529, -66.60039 18.43564, -66.60193 18.43651, -66.60672 18.43925, -66.60816 18.44007, -66.61032 18.44131, -66.61193 18.44223, -66.61543 18.44425, -66.61598 18.44455, -66.6163 18.4447, -66.61675 18.44486, -66.61724 18.44499, -66.61771 18.44507, -66.61817 18.4451, -66.6188 18.44508)"
