Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
179665,129+04509,P1,146.0,EDDIE DOWLING HWY,1,RI-246/Sherman Ave,94,UNITED STATES,RHODE ISLAND,PROVIDENCE,2865,N,41.90239,-71.44713,41.92131,-71.45605,1.386326061201553,2,N,2.0,,,,4.0,146.0,4.0,1.0,146,71492.0,1281.0,1614.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.44713 41.90239, -71.44719 41.90253, -71.44731 41.90285, -71.44758 41.90355, -71.44774 41.90395, -71.44804 41.9047, -71.44824 41.90516, -71.44846 41.9056, -71.44885 41.9063, -71.44935 41.90718, -71.44986 41.90805, -71.45037 41.90892, -71.45088 41.90979, -71.45114 41.91027, -71.45148 41.91094, -71.45179 41.91163, -71.45209 41.91231, -71.45248 41.91319, -71.45288 41.91409, -71.45318 41.91478, -71.45368 41.91593, -71.45411 41.91687, -71.45462 41.91804, -71.45522 41.91939, -71.45534 41.91968, -71.45561 41.92033, -71.45605 41.92131)"
179666,129+04517,P1,6.0,US-6 E,1,RI-128/Killingly St,96,UNITED STATES,RHODE ISLAND,PROVIDENCE,2919,E,41.82031,-71.47843,41.82127,-71.47388,0.243641179387512,2,N,2.0,72505.0,2.0,,6.0,6.0,3.0,1.0,6,54525.0,1252.0,892.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.47843 41.82031, -71.47829 41.82035, -71.47789 41.82045, -71.47721 41.82062, -71.47665 41.82075, -71.47625 41.82083, -71.47613 41.82086, -71.47562 41.82095, -71.47479 41.8211, -71.47388 41.82127)"
179667,129+04518,P1,6.0,US-6 E,1,US-6A/Hartford Ave (East),96,UNITED STATES,RHODE ISLAND,PROVIDENCE,2909,E,41.82258,-71.46661,41.81939,-71.45068,0.895723974166093,2,N,2.0,72505.0,2.0,,6.0,6.0,3.0,1.0,6,59985.0,1850.0,1031.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.46661 41.82258, -71.46572 41.82274, -71.46506 41.82286, -71.46481 41.8229, -71.46435 41.82295, -71.4637 41.82301, -71.46317 41.82302, -71.46271 41.823, -71.4621 41.82294, -71.46157 41.82287, -71.46084 41.82275, -71.46052 41.82269, -71.46023 41.82264, -71.45962 41.82254, -71.45839 41.82233, -71.45766 41.8222, -71.45606 41.82193, -71.45523 41.82179, -71.45471 41.82169, -71.4545 41.82165, -71.4542 41.8216, -71.45391 41.82153, -71.45371 41.82146, -71.45347 41.82138, -71.45331 41.82133, -71.45317 41.82128, -71.45302 41.82123, -71.45262 41.82103, -71.45215 41.82077, -71.45196 41.82063, -71.45177 41.82049, -71.45144 41.82018, -71.45127 41.82003, -71.45103 41.81977, -71.45087 41.8196, -71.45083 41.81955, -71.45068 41.81939)"
179668,129+04519,P1,6.0,US-6 E,1,RI-14/Plainfield St,96,UNITED STATES,RHODE ISLAND,PROVIDENCE,2909,S,41.81579,-71.44681,41.81476,-71.44552,0.097350046044761,2,N,2.0,72505.0,2.0,,5.0,6.0,3.0,1.0,6,62407.0,1692.0,1221.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.44681 41.81579, -71.44617 41.81526, -71.44579 41.81497, -71.44552 41.81476)"
179669,129+04520,P1,6.0,US-6 E,1,RI-10,96,UNITED STATES,RHODE ISLAND,PROVIDENCE,2909,E,41.81394,-71.44245,41.81382,-71.44129,0.060301222162259,2,N,2.0,72505.0,2.0,1.0,5.0,6.0,3.0,1.0,6,72445.0,1964.0,1417.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.44245 41.81394, -71.44213 41.81391, -71.44184 41.81388, -71.44154 41.81385, -71.44129 41.81382)"
179670,129+04522,P1,6.0,HUNTINGTON EXPY,1,Dean St,96,UNITED STATES,RHODE ISLAND,PROVIDENCE,2909,E,41.82064,-71.43691,41.82506,-71.43027,0.482270039856327,2,N,2.0,72505.0,2.0,,6.0,6.0,3.0,1.0,6,86392.0,1732.0,1299.0,1,100.0,0.0,0.0,2.0,"LINESTRING (-71.43691 41.82064, -71.43663 41.82108, -71.43633 41.82152, -71.43606 41.82192, -71.43589 41.82216, -71.43569 41.82241, -71.43548 41.82265, -71.43531 41.82283, -71.43504 41.82309, -71.4348 41.8233, -71.43442 41.82359, -71.43415 41.82378, -71.43375 41.82402, -71.43344 41.82419, -71.43308 41.82436, -71.43275 41.82447, -71.43241 41.82457, -71.43163 41.82476, -71.43096 41.82491, -71.43027 41.82506)"
179671,129+04525,P1,10.0,HUNTINGTON EXPY,1,I-95,97,UNITED STATES,RHODE ISLAND,PROVIDENCE,2907,W,41.7817,-71.41963,41.7818,-71.42065,0.05306527149254,3,N,2.0,72505.0,2.0,,4.0,10.0,4.0,1.0,10,40048.0,1081.0,774.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-71.41963 41.7817, -71.4198 41.78173, -71.42007 41.78176, -71.42065 41.7818)"
179672,129+04534,P1,195.0,I-195 W,1,Broadway/Exit 6,98,UNITED STATES,RHODE ISLAND,PROVIDENCE,2914,W,41.81302,-71.3617,41.81413,-71.3671,0.288415689102551,2,N,1.0,72505.0,2.0,,6.0,195.0,2.0,1.0,195,103654.0,4791.0,2900.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-71.3617 41.81302, -71.36219 41.81312, -71.36282 41.81325, -71.36381 41.81345, -71.36439 41.81357, -71.36465 41.81363, -71.36494 41.81369, -71.36613 41.81393, -71.36662 41.81403, -71.3671 41.81413)"
179673,129+04535,P1,195.0,I-195 W,1,Warren Ave/Exit 5,98,UNITED STATES,RHODE ISLAND,PROVIDENCE,2914,W,41.8162,-71.37464,41.81851,-71.38095,0.362205162197626,2,N,1.0,72505.0,2.0,,6.0,195.0,2.0,1.0,195,130906.0,5308.0,3227.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-71.37464 41.8162, -71.37501 41.81632, -71.37628 41.81677, -71.3773 41.81711, -71.37834 41.81747, -71.37903 41.81771, -71.37967 41.81796, -71.38025 41.81821, -71.38095 41.81851)"
179674,129+04540,P1,195.0,I-195 W,1,I-95,98,UNITED STATES,RHODE ISLAND,PROVIDENCE,2903,W,41.81868,-71.39501,41.81493,-71.40281,0.483158350508408,2,N,1.0,72505.0,2.0,,8.0,195.0,2.0,1.0,195,163274.0,5549.0,2922.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-71.39501 41.81868, -71.39534 41.81863, -71.39591 41.81852, -71.39639 41.81839, -71.39672 41.81829, -71.39719 41.81812, -71.39767 41.81791, -71.39811 41.81768, -71.39834 41.81755, -71.39885 41.81725, -71.39986 41.81667, -71.40061 41.81624, -71.40095 41.81604, -71.40171 41.81558, -71.40231 41.81522, -71.40281 41.81493)"
179675,129+04542,P1,37.0,RI-37 W,1,I-95/Exit 4,99,UNITED STATES,RHODE ISLAND,KENT,2888,W,41.74619,-71.43498,41.74789,-71.43762,0.180166294559125,3,N,2.0,72505.0,2.0,,4.0,37.0,4.0,1.0,37,48451.0,1316.0,941.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-71.43498 41.74619, -71.4352 41.74636, -71.4354 41.74652, -71.43564 41.7467, -71.43632 41.74713, -71.43666 41.74736, -71.43713 41.74764, -71.43762 41.74789)"
179676,129+04543,P1,37.0,RI-37 W,1,Pontiac Ave/Exit 3,99,UNITED STATES,RHODE ISLAND,PROVIDENCE,2920,W,41.74968,-71.44615,41.74967,-71.4487,0.131458699874763,2,N,2.0,72505.0,2.0,,4.0,37.0,4.0,1.0,37,47332.0,1057.0,747.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-71.44615 41.74968, -71.44633 41.74968, -71.44653 41.74967, -71.44671 41.74967, -71.44735 41.74968, -71.44758 41.74968, -71.44802 41.74968, -71.4487 41.74967)"
179677,129+04559,P1,138.0,RI-138 W,1,Beacon Ave,101,UNITED STATES,RHODE ISLAND,NEWPORT,2835,W,41.52606,-71.37941,41.52595,-71.38351,0.212211692438016,3,N,2.0,72505.0,2.0,,4.0,138.0,4.0,1.0,138,28635.0,555.0,400.0,1,100.0,0.0,0.0,2.0,"LINESTRING (-71.37941 41.52606, -71.37979 41.52604, -71.37991 41.52604, -71.38106 41.526, -71.38165 41.52598, -71.38217 41.52597, -71.38284 41.52596, -71.38313 41.52596, -71.38351 41.52595)"
179678,129+04561,P1,138.0,RI-138 W,1,RI-1A,101,UNITED STATES,RHODE ISLAND,WASHINGTON,2874,W,41.53026,-71.41555,41.52798,-71.42688,0.618779782819704,3,N,2.0,72505.0,2.0,,4.0,138.0,4.0,1.0,138,35355.0,554.0,389.0,1,100.0,0.0,0.0,2.0,"LINESTRING (-71.41555 41.53026, -71.41571 41.53026, -71.41615 41.53027, -71.41676 41.53028, -71.4174 41.53027, -71.41807 41.53025, -71.4188 41.53021, -71.41936 41.53017, -71.41995 41.53011, -71.42054 41.53003, -71.42098 41.52997, -71.42138 41.52991, -71.42153 41.52988, -71.42191 41.52981, -71.4223 41.52972, -71.42262 41.52963, -71.42326 41.52944, -71.42378 41.52926, -71.42439 41.52902, -71.42493 41.52879, -71.42598 41.52833, -71.4263 41.5282, -71.42641 41.52815, -71.42688 41.52798)"
