Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
64128,118+05958,P1,90.0,I-90 E,1,I-90-BL/US-85/Exit 10,149,UNITED STATES,SOUTH DAKOTA,LAWRENCE,57783,E,44.54612,-104.00625,44.5205,-103.86957,7.369202428385961,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,6520.0,125.0,1006.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-104.00625 44.54612, -104.00606 44.54612, -104.005 44.54612, -104.00341 44.54612, -104.00314 44.54612, -104.00177 44.54612, -103.99668 44.54612, -103.99381 44.54615, -103.99316 44.54616, -103.99223 44.5462, -103.99115 44.54627, -103.99023 44.54637, -103.98947 44.54647, -103.98835 44.54663, -103.9875 44.54678, -103.98661 44.54695, -103.98571 44.54711, -103.98492 44.54723, -103.9841 44.54735, -103.98329 44.54743, -103.98259 44.54744, -103.98166 44.54742, -103.98101 44.54737, -103.98028 44.54729, -103.9797 44.5472, -103.97814 44.54692, -103.97631 44.54657, -103.9754 44.54641, -103.97467 44.54631, -103.97403 44.5462, -103.97286 44.54595, -103.97138 44.5456, -103.97032 44.54529, -103.96893 44.54486, -103.96774 44.54441, -103.96672 44.54401, -103.96595 44.54367, -103.9639 44.54271, -103.96249 44.54205, -103.9614 44.54151, -103.96045 44.54096, -103.95929 44.54024, -103.95813 44.53945, -103.95703 44.53864, -103.95597 44.53778, -103.95468 44.5367, -103.95226 44.53473, -103.94744 44.53084, -103.9439 44.52794, -103.94317 44.52735, -103.94205 44.52644, -103.94119 44.52578, -103.94055 44.52536, -103.94052 44.52534, -103.93994 44.52501, -103.93912 44.52462, -103.93841 44.52433, -103.93759 44.52406, -103.93694 44.52389, -103.93645 44.52378, -103.93525 44.52358, -103.93334 44.52328, -103.93101 44.52295, -103.92947 44.52275, -103.92895 44.52268, -103.92827 44.52262, -103.92742 44.52255, -103.92661 44.52251, -103.92579 44.52247, -103.92502 44.52245, -103.92363 44.52244, -103.91814 44.52245, -103.91257 44.52246, -103.90901 44.52247, -103.90706 44.52247, -103.90306 44.52248, -103.90043 44.52248, -103.89872 44.52248, -103.89765 44.52246, -103.89707 44.52245, -103.89669 44.52244, -103.89562 44.52241, -103.8942 44.52237, -103.89298 44.52231, -103.8907 44.52218, -103.89018 44.52214, -103.88836 44.522, -103.88563 44.52178, -103.88487 44.52172, -103.88336 44.5216, -103.88307 44.52158, -103.88124 44.52142, -103.87968 44.5213, -103.87691 44.52108, -103.87338 44.5208, -103.87273 44.52074, -103.87156 44.52064, -103.87127 44.52062, -103.87093 44.5206, -103.87023 44.52056, -103.86983 44.52053, -103.86975 44.52052, -103.86957 44.5205)"
64129,118+05962,P1,90.0,I-90 E,1,SD-34/Exit 23,149,UNITED STATES,SOUTH DAKOTA,LAWRENCE,57783,E,44.48038,-103.73643,44.47361,-103.6407,5.038060852316049,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,12160.0,292.0,1338.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-103.73643 44.48038, -103.7349 44.48105, -103.73448 44.48124, -103.73403 44.48144, -103.73365 44.48161, -103.73328 44.48177, -103.73325 44.48178, -103.73301 44.48189, -103.73008 44.48318, -103.7295 44.48344, -103.72743 44.48435, -103.72645 44.48477, -103.72404 44.48581, -103.7228 44.48632, -103.72196 44.48662, -103.72098 44.48692, -103.71987 44.48721, -103.71926 44.48733, -103.71844 44.48748, -103.71762 44.48761, -103.71699 44.48768, -103.71636 44.48774, -103.7154 44.48779, -103.71404 44.4878, -103.71248 44.48775, -103.70938 44.48765, -103.70677 44.48757, -103.70557 44.48751, -103.70471 44.48743, -103.70373 44.48731, -103.70264 44.48714, -103.70155 44.48693, -103.70041 44.48666, -103.69921 44.48632, -103.6982 44.486, -103.69756 44.48576, -103.69675 44.48544, -103.69537 44.48482, -103.69365 44.484, -103.69265 44.48354, -103.69186 44.48319, -103.69127 44.48295, -103.69009 44.48252, -103.68861 44.48198, -103.68765 44.48166, -103.68676 44.48137, -103.68579 44.48108, -103.68496 44.48085, -103.68357 44.48049, -103.68235 44.48021, -103.68095 44.47991, -103.68023 44.47978, -103.67901 44.47955, -103.67449 44.47873, -103.67343 44.47853, -103.67212 44.47829, -103.67107 44.4781, -103.6697 44.47786, -103.6688 44.47772, -103.66809 44.47762, -103.66725 44.47751, -103.66644 44.47742, -103.66567 44.47735, -103.66411 44.47724, -103.66333 44.4772, -103.66215 44.47717, -103.66083 44.47714, -103.65969 44.47712, -103.65873 44.47709, -103.65778 44.47703, -103.65691 44.47697, -103.656 44.4769, -103.65472 44.47678, -103.6544 44.47674, -103.65331 44.47661, -103.65054 44.47621, -103.64733 44.47576, -103.64617 44.47559, -103.64542 44.47547, -103.64496 44.47538, -103.64467 44.47531, -103.64422 44.4752, -103.64385 44.47509, -103.64382 44.47508, -103.64327 44.4749, -103.64278 44.47472, -103.64216 44.47444, -103.64187 44.47429, -103.64093 44.47375, -103.6407 44.47361)"
64130,118+05964,P1,90.0,I-90 E,1,Dolan Creek Rd,149,UNITED STATES,SOUTH DAKOTA,MEADE,57785,S,44.41709,-103.5307,44.40317,-103.52055,1.084707020395616,1,N,1.0,99998.0,2.0,,4.0,90.0,2.0,1.0,90E,16720.0,334.0,1371.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-103.5307 44.41709, -103.53059 44.41694, -103.53046 44.41677, -103.53031 44.41656, -103.53017 44.41637, -103.52995 44.41607, -103.52949 44.41543, -103.52912 44.41491, -103.52896 44.41468, -103.5277 44.41288, -103.52746 44.41254, -103.52628 44.41086, -103.52483 44.40882, -103.52314 44.40641, -103.52243 44.40541, -103.52177 44.40456, -103.52111 44.40378, -103.52055 44.40317)"
64131,118+05971,P1,90.0,I-90 E,1,Stagestop Rd/Exit 48,149,UNITED STATES,SOUTH DAKOTA,MEADE,57718,S,44.22227,-103.3754,44.20113,-103.35194,1.873886885435186,1,N,1.0,73396.0,2.0,,4.0,90.0,2.0,1.0,90E,20040.0,261.0,1884.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-103.3754 44.22227, -103.37502 44.22203, -103.37484 44.22191, -103.37381 44.22124, -103.37225 44.22022, -103.3718 44.21994, -103.37078 44.21927, -103.36939 44.21835, -103.36874 44.2179, -103.36829 44.21755, -103.3679 44.21724, -103.36765 44.21702, -103.36721 44.21664, -103.36685 44.21629, -103.36624 44.21569, -103.36572 44.21516, -103.3642 44.21361, -103.36222 44.21159, -103.35946 44.20878, -103.35713 44.2064, -103.35502 44.20426, -103.35375 44.20297, -103.3531 44.2023, -103.35283 44.20202, -103.35244 44.20162, -103.35224 44.20142, -103.35194 44.20113)"
64132,118+05978,P1,90.0,I-90 E,1,I-90-BL/Exit 60,149,UNITED STATES,SOUTH DAKOTA,PENNINGTON,57701,E,44.10422,-103.19983,44.10046,-103.18646,0.7254276902411,1,N,1.0,73396.0,2.0,,4.0,90.0,2.0,1.0,90E,33340.0,433.0,1867.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-103.19983 44.10422, -103.19889 44.10421, -103.19776 44.1042, -103.19705 44.10416, -103.19638 44.10408, -103.19567 44.10396, -103.19518 44.10384, -103.19473 44.10372, -103.1943 44.10357, -103.19355 44.10329, -103.19245 44.10284, -103.1909 44.10223, -103.18978 44.10178, -103.18745 44.10085, -103.18646 44.10046)"
64133,118+05984,P1,90.0,I-90 E,1,County Rd 473/Exit 88,149,UNITED STATES,SOUTH DAKOTA,PENNINGTON,57761,E,44.10343,-102.70565,44.10617,-102.6334,3.605988121282596,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,7830.0,149.0,1253.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-102.70565 44.10343, -102.70507 44.10343, -102.70422 44.10343, -102.70167 44.10343, -102.69663 44.10342, -102.68814 44.10342, -102.67615 44.10341, -102.66865 44.10341, -102.66589 44.1034, -102.65422 44.10339, -102.65316 44.10339, -102.65238 44.1034, -102.6513 44.10342, -102.65025 44.10348, -102.64889 44.10357, -102.64742 44.10371, -102.64588 44.10388, -102.64422 44.10413, -102.64282 44.10437, -102.64155 44.10461, -102.63689 44.10551, -102.63453 44.10596, -102.63418 44.10602, -102.6334 44.10617)"
64134,118+05986,P1,90.0,I-90 E,1,Base Line Rd/Exit 99,149,UNITED STATES,SOUTH DAKOTA,PENNINGTON,57767,E,44.10327,-102.58361,44.0663,-102.45425,7.349140971833443,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,7330.0,154.0,1268.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-102.58361 44.10327, -102.58301 44.10327, -102.579 44.10327, -102.56262 44.10324, -102.55647 44.10323, -102.55189 44.10322, -102.54826 44.10321, -102.53791 44.10318, -102.5356 44.10318, -102.53214 44.10317, -102.52927 44.10317, -102.52776 44.10316, -102.52585 44.10316, -102.52489 44.10315, -102.52421 44.10311, -102.52354 44.10307, -102.52251 44.10296, -102.5213 44.1028, -102.52027 44.10263, -102.51943 44.10244, -102.51784 44.10202, -102.51664 44.1017, -102.51536 44.10134, -102.5139 44.10092, -102.51234 44.10047, -102.50918 44.09958, -102.50741 44.09907, -102.50689 44.09891, -102.50595 44.0986, -102.50512 44.09829, -102.50448 44.098, -102.50372 44.09762, -102.50315 44.0973, -102.50259 44.09693, -102.50194 44.09648, -102.50121 44.09588, -102.50063 44.09536, -102.50008 44.09479, -102.49945 44.09414, -102.49854 44.09318, -102.4978 44.09248, -102.49695 44.09175, -102.4961 44.09107, -102.49537 44.09052, -102.49481 44.09014, -102.49175 44.08811, -102.487 44.08496, -102.48281 44.08218, -102.47941 44.07993, -102.47588 44.07759, -102.47466 44.07677, -102.47254 44.07538, -102.47039 44.07394, -102.46693 44.07164, -102.46569 44.07082, -102.46484 44.07026, -102.46417 44.06981, -102.46365 44.06945, -102.4632 44.06917, -102.46256 44.06878, -102.46202 44.06848, -102.46163 44.06828, -102.46093 44.06796, -102.46022 44.06767, -102.4596 44.06746, -102.459 44.06727, -102.45813 44.06703, -102.4574 44.06687, -102.45682 44.06677, -102.45619 44.06665, -102.4552 44.06648, -102.45463 44.06637, -102.45425 44.0663)"
64135,118+05990,P1,90.0,I-90 E,1,I-90-BL/SD-240/Glen St/Badlands Loop/Exit 110,149,UNITED STATES,SOUTH DAKOTA,PENNINGTON,57790,E,43.99197,-102.25539,43.98655,-102.24423,0.674256911688749,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,7170.0,136.0,1613.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-102.25539 43.99197, -102.2547 43.99148, -102.2541 43.99108, -102.25355 43.99072, -102.25275 43.99021, -102.25143 43.98947, -102.25054 43.98902, -102.25013 43.98881, -102.24993 43.98872, -102.24964 43.9886, -102.24923 43.98842, -102.24836 43.98805, -102.24762 43.98773, -102.24731 43.98759, -102.24691 43.98742, -102.24648 43.98724, -102.24595 43.98705, -102.2454 43.98687, -102.24498 43.98674, -102.24457 43.98663, -102.24437 43.98658, -102.24423 43.98655)"
64136,118+05992,P1,90.0,I-90 E,1,239th St/Exit 116,149,UNITED STATES,SOUTH DAKOTA,PENNINGTON,57790,S,43.98588,-102.20887,43.93949,-102.15505,4.184013666666009,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,6980.0,400.0,1438.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-102.20887 43.98588, -102.20858 43.98573, -102.20797 43.9854, -102.20789 43.98536, -102.20759 43.98518, -102.20736 43.98501, -102.20702 43.98476, -102.20662 43.98447, -102.20658 43.98444, -102.20631 43.98421, -102.20592 43.98387, -102.20563 43.98364, -102.20521 43.98329, -102.20479 43.98296, -102.20414 43.98246, -102.20366 43.98208, -102.20281 43.98145, -102.20247 43.98119, -102.2019 43.98077, -102.20061 43.97981, -102.19968 43.97915, -102.19881 43.97853, -102.19739 43.97749, -102.19601 43.9765, -102.19522 43.97592, -102.19378 43.9749, -102.19329 43.97453, -102.19174 43.97341, -102.19084 43.97278, -102.19001 43.97217, -102.18961 43.97186, -102.18912 43.97147, -102.18865 43.97112, -102.18797 43.97055, -102.18729 43.96999, -102.1868 43.96955, -102.18626 43.96908, -102.18567 43.96852, -102.18494 43.96782, -102.18422 43.96712, -102.18382 43.96673, -102.18332 43.96626, -102.18257 43.96557, -102.18199 43.96502, -102.18113 43.96421, -102.17997 43.96314, -102.17938 43.96257, -102.1773 43.96061, -102.17448 43.95798, -102.1682 43.95207, -102.16634 43.95031, -102.16468 43.94873, -102.1634 43.94751, -102.16062 43.94485, -102.15908 43.94337, -102.15729 43.94165, -102.1566 43.94098, -102.15615 43.94054, -102.15609 43.94049, -102.15561 43.94003, -102.15528 43.93971, -102.15505 43.93949)"
64137,118+05995,P1,90.0,I-90 E,1,SD-240/Badlands Loop/Exit 131,149,UNITED STATES,SOUTH DAKOTA,JACKSON,57543,E,43.86536,-101.95438,43.84266,-101.90442,2.944171680102627,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,90E,6660.0,386.0,1152.0,1,100.0,0.0,0.0,0.0,"LINESTRING (-101.95438 43.86536, -101.95346 43.86501, -101.95248 43.86464, -101.95245 43.86463, -101.95204 43.86447, -101.9509 43.86404, -101.9491 43.86335, -101.94587 43.86212, -101.94416 43.86145, -101.94256 43.86079, -101.94139 43.86031, -101.94094 43.86011, -101.93927 43.85938, -101.93716 43.85842, -101.93571 43.85774, -101.93215 43.85599, -101.93201 43.85592, -101.93182 43.85582, -101.93105 43.85545, -101.93065 43.85525, -101.92594 43.85294, -101.92375 43.85186, -101.92355 43.85176, -101.92353 43.85175, -101.9197 43.84985, -101.91588 43.848, -101.91483 43.8475, -101.91479 43.84748, -101.91365 43.84694, -101.90866 43.84467, -101.90625 43.84352, -101.90568 43.84325, -101.90468 43.84279, -101.90442 43.84266)"
