Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
46910,116+04331,P1,15.0,I-15 N,1,US-6/Exit 244,74,UNITED STATES,UTAH,UTAH,84655,N,39.95333,-111.80024,39.97213,-111.7762,1.823757142056398,1,N,1.0,99998.0,2.0,,4.0,15.0,2.0,1.0,0015PM,31333.0,2317.0,4202.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.80024 39.95333, -111.79957 39.95413, -111.79934 39.95441, -111.79888 39.95491, -111.79885 39.95494, -111.79792 39.95591, -111.79769 39.95614, -111.79722 39.95661, -111.79678 39.95702, -111.79622 39.95752, -111.79539 39.95824, -111.7947 39.95881, -111.79399 39.95933, -111.79349 39.95972, -111.79233 39.96054, -111.79162 39.96107, -111.79122 39.96134, -111.79038 39.96194, -111.78915 39.96281, -111.78783 39.96378, -111.78586 39.96519, -111.78496 39.96582, -111.78424 39.96635, -111.782 39.96796, -111.78107 39.96863, -111.78045 39.96908, -111.77956 39.96971, -111.77861 39.97039, -111.77767 39.97107, -111.77692 39.97162, -111.7762 39.97213)"
46911,116+04333,P1,15.0,I-15 N,1,UT-115/Exit 250,74,UNITED STATES,UTAH,UTAH,84651,N,40.03707,-111.75117,40.05272,-111.73519,1.372727547502691,1,N,1.0,72559.0,2.0,,6.0,15.0,2.0,1.0,0015PM,48398.0,4188.0,5631.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.75117 40.03707, -111.75033 40.03797, -111.74918 40.03912, -111.74814 40.04015, -111.74666 40.04166, -111.74466 40.04365, -111.74409 40.04422, -111.74196 40.04633, -111.7397 40.04858, -111.73874 40.04954, -111.73783 40.05043, -111.73688 40.05129, -111.73644 40.05167, -111.73582 40.05219, -111.73519 40.05272)"
46912,116+04334,P1,15.0,I-15 N,1,UT-164/Exit 253,74,UNITED STATES,UTAH,UTAH,84660,N,40.05937,-111.72876,40.0813,-111.70641,1.922064591663054,1,N,1.0,72559.0,2.0,,6.0,15.0,2.0,1.0,0015PM,62573.0,5830.0,6946.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.72876 40.05937, -111.72844 40.05974, -111.72789 40.06039, -111.72741 40.0609, -111.7268 40.06153, -111.72548 40.06285, -111.72403 40.0643, -111.72214 40.06617, -111.72123 40.06708, -111.71923 40.06907, -111.7159 40.07238, -111.71429 40.07398, -111.71262 40.07562, -111.71147 40.07677, -111.71055 40.07765, -111.7096 40.07853, -111.70885 40.07918, -111.70852 40.07947, -111.70844 40.07954, -111.7081 40.07985, -111.70736 40.08049, -111.70711 40.0807, -111.70641 40.0813)"
46913,116+04338,P1,15.0,I-15 N,1,US-189/1860/Univ Ave/Exit 263,74,UNITED STATES,UTAH,UTAH,84606,N,40.19163,-111.64688,40.20423,-111.65584,0.995500507386924,1,N,1.0,72559.0,2.0,,10.0,15.0,2.0,1.0,0015PM,139454.0,17635.0,11753.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.64688 40.19163, -111.64697 40.19188, -111.64705 40.19212, -111.64721 40.19258, -111.6473 40.19279, -111.6474 40.19304, -111.64743 40.19311, -111.64763 40.19356, -111.64777 40.19383, -111.64797 40.19421, -111.64821 40.19466, -111.64859 40.19525, -111.64903 40.1959, -111.64947 40.19646, -111.64998 40.19709, -111.65182 40.19935, -111.65254 40.20027, -111.65303 40.20087, -111.65344 40.20135, -111.65373 40.20171, -111.65428 40.20238, -111.65454 40.2027, -111.65498 40.20323, -111.65527 40.20355, -111.65584 40.20423)"
46914,116+04344,P1,15.0,I-15 N,1,UT-180/5th/Exit 276,74,UNITED STATES,UTAH,UTAH,84042,W,40.32843,-111.73508,40.35786,-111.78097,3.157815452995965,1,N,1.0,72559.0,2.0,,12.0,15.0,2.0,1.0,0015PM,217295.0,14058.0,12945.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.73508 40.32843, -111.7354 40.32863, -111.73568 40.32881, -111.73596 40.32899, -111.73683 40.32956, -111.73716 40.32977, -111.73809 40.33036, -111.73833 40.33051, -111.73882 40.33083, -111.74091 40.33218, -111.74117 40.33235, -111.74307 40.33356, -111.74528 40.33497, -111.74663 40.33583, -111.74837 40.33691, -111.74957 40.33773, -111.75136 40.3389, -111.75327 40.34011, -111.75561 40.34161, -111.75817 40.34326, -111.76036 40.34467, -111.76074 40.34491, -111.76419 40.34714, -111.76432 40.34722, -111.76455 40.34737, -111.76498 40.34764, -111.76609 40.34835, -111.76723 40.34909, -111.76846 40.34987, -111.76862 40.34997, -111.76985 40.35073, -111.77104 40.3515, -111.77172 40.35194, -111.77243 40.3524, -111.77314 40.35285, -111.77367 40.35318, -111.77428 40.35357, -111.77494 40.35399, -111.77564 40.35445, -111.77684 40.35521, -111.77712 40.35539, -111.77825 40.35611, -111.78035 40.35746, -111.78097 40.35786)"
46915,116+04346,P1,15.0,I-15 N,1,UT-73/Exit 279,74,UNITED STATES,UTAH,UTAH,84003,W,40.37918,-111.82248,40.38419,-111.83064,0.552077389726268,1,N,1.0,72559.0,2.0,,11.0,15.0,2.0,1.0,0015PM,196832.0,14618.0,11826.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.82248 40.37918, -111.82369 40.37988, -111.82387 40.37999, -111.82423 40.3802, -111.82489 40.3806, -111.82582 40.38116, -111.82786 40.38236, -111.82925 40.38319, -111.82962 40.38343, -111.82982 40.38356, -111.83011 40.38376, -111.83027 40.38387, -111.83064 40.38419)"
46916,116+04355,P1,15.0,I-15 N,1,UT-48/7200/Exit 297,74,UNITED STATES,UTAH,SALT LAKE,84047,N,40.59269,-111.90211,40.61364,-111.90593,1.462829223633256,1,N,1.0,78499.0,2.0,,12.0,15.0,2.0,1.0,0015PM,263955.0,39383.0,16543.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.90211 40.59269, -111.90219 40.59294, -111.90222 40.59303, -111.90225 40.59313, -111.90237 40.59349, -111.90253 40.59403, -111.90258 40.59425, -111.90263 40.59451, -111.90276 40.5951, -111.90298 40.5963, -111.90341 40.59854, -111.90423 40.60283, -111.90483 40.60594, -111.90516 40.60766, -111.90532 40.60848, -111.90553 40.60952, -111.90569 40.61033, -111.90581 40.61091, -111.90584 40.61114, -111.90592 40.61182, -111.90594 40.6121, -111.90595 40.61234, -111.90596 40.61267, -111.90597 40.6131, -111.90593 40.61364)"
46917,116+04363,P1,15.0,I-15 N,1,6th/Exit 306,74,UNITED STATES,UTAH,SALT LAKE,84101,N,40.7475,-111.90661,40.75193,-111.91062,0.376819880451642,1,N,1.0,78499.0,2.0,,10.0,15.0,2.0,1.0,0015PM,255101.0,10049.0,8330.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.90661 40.7475, -111.90753 40.74824, -111.90768 40.74837, -111.908 40.74863, -111.90893 40.74941, -111.90902 40.74949, -111.90932 40.74976, -111.90953 40.75001, -111.90977 40.75028, -111.90997 40.75055, -111.91013 40.7508, -111.91028 40.75107, -111.91048 40.7515, -111.91062 40.75193)"
46918,116+04366,P1,15.0,I-15 N,1,900/Exit 310,74,UNITED STATES,UTAH,SALT LAKE,84116,N,40.78502,-111.91197,40.78954,-111.91495,0.349034732225858,1,N,1.0,78499.0,2.0,,9.0,15.0,2.0,1.0,0015PM,136857.0,8080.0,5756.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.91197 40.78502, -111.91222 40.78539, -111.91261 40.78598, -111.91296 40.7865, -111.9131 40.78669, -111.91362 40.78749, -111.91412 40.78823, -111.91425 40.78843, -111.91474 40.78918, -111.91495 40.78954)"
46919,116+04373,P1,15.0,I-15 N,1,UT-131/400/Exit 317,74,UNITED STATES,UTAH,DAVIS,84087,N,40.88745,-111.89643,40.89091,-111.89633,0.239081814720485,1,N,1.0,64945.0,2.0,,10.0,15.0,2.0,1.0,0015PM,168598.0,15649.0,11383.0,1,100.0,1.0,100.0,1.0,"LINESTRING (-111.89643 40.88745, -111.89642 40.88765, -111.8964 40.88819, -111.89639 40.88853, -111.89637 40.88953, -111.89637 40.88973, -111.89635 40.89038, -111.89633 40.89091)"
