Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
1006,129-09614,P1,5.0,US-5,0,I-91,1532,UNITED STATES,VERMONT,ORLEANS,5829,W,44.95451,-72.13035,44.95266,-72.14866,0.912589175567685,3,Y,4.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,9203.0,,,0,0.0,,0.0,,"LINESTRING (-72.13035 44.95451, -72.13223 44.9542, -72.13274 44.95412, -72.13368 44.95397, -72.13439 44.95384, -72.13549 44.95357, -72.13557 44.95355, -72.13639 44.95333, -72.13773 44.953, -72.13844 44.95285, -72.13879 44.95282, -72.13884 44.95282, -72.14162 44.95281, -72.14454 44.95281, -72.1446 44.95281, -72.1453 44.9528, -72.146 44.95279, -72.14701 44.95278, -72.14767 44.95274, -72.14866 44.95266)"
14620,129-07371,P1,5.0,US-5,0,I-91,454,UNITED STATES,VERMONT,ORLEANS,5855,E,44.94305,-72.19375,44.95199,-72.15253,2.22633942667948,3,Y,3.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,10760.0,46.0,234.0,0,0.0,,0.0,,"LINESTRING (-72.19375 44.94305, -72.19199 44.94311, -72.19136 44.94317, -72.19125 44.94317, -72.19049 44.94322, -72.19011 44.9432, -72.18981 44.94315, -72.18974 44.94314, -72.18951 44.94307, -72.18927 44.943, -72.18867 44.9428, -72.18815 44.94262, -72.18779 44.94255, -72.18753 44.94251, -72.18718 44.94249, -72.18682 44.9425, -72.18655 44.94253, -72.18611 44.94261, -72.18577 44.94272, -72.18548 44.94281, -72.18529 44.94291, -72.18497 44.94309, -72.18477 44.94324, -72.18456 44.9434, -72.18444 44.94353, -72.18431 44.94367, -72.18419 44.94384, -72.18397 44.94418, -72.18392 44.94425, -72.18367 44.9446, -72.18352 44.94476, -72.18333 44.94495, -72.18314 44.9451, -72.183 44.94521, -72.18284 44.9453, -72.18248 44.94552, -72.18217 44.94567, -72.18183 44.94578, -72.18162 44.94585, -72.18111 44.94601, -72.18075 44.94607, -72.18039 44.94613, -72.17994 44.94616, -72.17965 44.94616, -72.17791 44.94619, -72.17746 44.94622, -72.17686 44.94631, -72.17582 44.94664, -72.17383 44.94728, -72.17286 44.94751, -72.17184 44.94772, -72.17102 44.94792, -72.17039 44.94809, -72.16886 44.9485, -72.16783 44.94884, -72.16719 44.94907, -72.16672 44.94928, -72.16612 44.94955, -72.16604 44.94959, -72.16477 44.95025, -72.16384 44.95072, -72.16347 44.95091, -72.16292 44.95119, -72.16251 44.95136, -72.16222 44.95146, -72.16182 44.95155, -72.16138 44.9516, -72.16083 44.95161, -72.15981 44.95161, -72.15859 44.95162, -72.15696 44.95166, -72.15631 44.95167, -72.15608 44.95167, -72.1557 44.95168, -72.1548 44.95172, -72.15429 44.95173, -72.15359 44.95179, -72.15253 44.95199)"
15179,129-09615,P1,5.0,US-5,1,VT-105/Main St,1532,UNITED STATES,VERMONT,ORLEANS,5829,S,45.00563,-72.09937,44.95451,-72.13035,3.909313124680065,4,Y,5.0,99999.0,2.0,,2.0,,,,,3273.0,,,0,0.0,,0.0,,"LINESTRING (-72.09937 45.00563, -72.09952 45.00546, -72.09971 45.00527, -72.09985 45.00515, -72.09999 45.00496, -72.10006 45.00484, -72.1002 45.00461, -72.10029 45.00448, -72.10077 45.00378, -72.10129 45.00291, -72.10143 45.00267, -72.10183 45.00207, -72.102 45.00177, -72.10221 45.00147, -72.10232 45.00128, -72.10235 45.00122, -72.10317 45, -72.10369 44.99927, -72.10421 44.99851, -72.10449 44.99803, -72.10473 44.99773, -72.1052 44.99697, -72.10541 44.99667, -72.10559 44.99638, -72.10575 44.99615, -72.10604 44.99566, -72.10617 44.99532, -72.1062 44.99517, -72.1062 44.99499, -72.10624 44.99466, -72.1063 44.99321, -72.10633 44.99283, -72.10639 44.99111, -72.10645 44.99074, -72.10652 44.9898, -72.10653 44.98956, -72.10652 44.98883, -72.10645 44.98765, -72.10648 44.98711, -72.10649 44.98682, -72.10654 44.98649, -72.10664 44.98614, -72.10684 44.98566, -72.10703 44.98531, -72.1072 44.98502, -72.10745 44.98472, -72.10848 44.98357, -72.10875 44.98331, -72.10882 44.98326, -72.10887 44.98322, -72.10927 44.98291, -72.10993 44.98245, -72.1101 44.9823, -72.11069 44.98163, -72.11093 44.98132, -72.11164 44.98045, -72.11238 44.97953, -72.11285 44.97893, -72.11299 44.97873, -72.11331 44.97836, -72.1146 44.97678, -72.11481 44.97649, -72.11598 44.97516, -72.11667 44.97437, -72.11705 44.97391, -72.11724 44.97371, -72.11742 44.9735, -72.11784 44.97309, -72.11803 44.97292, -72.11827 44.97272, -72.11878 44.97224, -72.1203 44.97055, -72.12069 44.97005, -72.12091 44.96982, -72.12109 44.96961, -72.12133 44.96934, -72.12177 44.96879, -72.12193 44.96862, -72.12226 44.96823, -72.12264 44.96774, -72.12308 44.96709, -72.12344 44.96644, -72.12393 44.96563, -72.12444 44.96474, -72.12473 44.96428, -72.1248 44.96414, -72.12499 44.96385, -72.12552 44.96295, -72.1259 44.96232, -72.1261 44.96198, -72.12691 44.96057, -72.12715 44.96021, -72.12742 44.95982, -72.12773 44.95934, -72.12837 44.95826, -72.1284 44.95821, -72.12884 44.95738, -72.12925 44.95665, -72.12928 44.9566, -72.13035 44.95451)"
18465,129-06037,P1,105.0,DERBY CTR,1,VT-111,454,UNITED STATES,VERMONT,ORLEANS,5829,S,44.95451,-72.13035,44.94765,-72.13369,0.50126492739011,3,Y,4.0,99999.0,2.0,,2.0,105.0,4.0,1.0,,6090.0,,,0,0.0,,0.0,,"LINESTRING (-72.13035 44.95451, -72.13074 44.95365, -72.13145 44.95219, -72.1318 44.9515, -72.13253 44.94998, -72.1329 44.94925, -72.133 44.94905, -72.13303 44.949, -72.13322 44.94861, -72.13368 44.94767, -72.13369 44.94765)"
22880,129P06697,P1,7.0,US-7,1,Welcome Ctr Rd/Myers Rd/Exit 22,449,UNITED STATES,VERMONT,FRANKLIN,5488,W,45.0083,-73.08329,45.00786,-73.08763,0.371117352698796,4,Y,5.0,99999.0,2.0,,2.0,,,,,300.0,,,0,0.0,,0.0,1.0,"LINESTRING (-73.08329 45.0083, -73.08331 45.00834, -73.08358 45.00868, -73.08363 45.00873, -73.08384 45.00893, -73.084 45.00904, -73.08418 45.00913, -73.08445 45.00923, -73.08491 45.00932, -73.08561 45.00938, -73.08593 45.00941, -73.08676 45.00949, -73.08723 45.00949, -73.0874 45.00947, -73.08757 45.00943, -73.08772 45.00937, -73.08785 45.00929, -73.08801 45.00918, -73.08813 45.00904, -73.08819 45.00893, -73.08822 45.0088, -73.08821 45.00866, -73.08817 45.00851, -73.0881 45.00839, -73.08792 45.00817, -73.08767 45.0079, -73.08763 45.00786)"
28681,129-06696,P1,7.0,US-7,1,Canada St,449,UNITED STATES,VERMONT,FRANKLIN,5488,S,45.0083,-73.08329,44.91941,-73.12526,6.909035337130136,4,Y,5.0,99999.0,2.0,,2.0,,,,,831.0,3.0,10.0,0,0.0,,0.0,1.0,"LINESTRING (-73.08329 45.0083, -73.08288 45.00773, -73.08246 45.00722, -73.08206 45.00685, -73.0817 45.0065, -73.08099 45.00597, -73.08037 45.00544, -73.07997 45.00501, -73.07968 45.00459, -73.07955 45.00431, -73.07935 45.00344, -73.07911 45.00276, -73.07878 45.00207, -73.07859 45.00149, -73.07842 45.00079, -73.07835 45.00028, -73.07842 44.99946, -73.07846 44.9993, -73.07855 44.9991, -73.07871 44.99877, -73.07897 44.99824, -73.0791 44.998, -73.0792 44.99782, -73.07933 44.99769, -73.07948 44.99753, -73.07964 44.99744, -73.07999 44.99725, -73.0802 44.99717, -73.08077 44.99697, -73.08101 44.99685, -73.08123 44.99673, -73.08152 44.99653, -73.08196 44.99622, -73.08235 44.9959, -73.08241 44.99585, -73.08258 44.9957, -73.0829 44.99541, -73.08316 44.99518, -73.0834 44.99502, -73.08387 44.9947, -73.08424 44.99451, -73.08469 44.99427, -73.0851 44.99406, -73.08532 44.9939, -73.0856 44.99374, -73.08573 44.99359, -73.08595 44.99333, -73.08605 44.99318, -73.08616 44.993, -73.08622 44.99283, -73.08632 44.99255, -73.08658 44.99158, -73.08708 44.99071, -73.08779 44.98966, -73.08829 44.98901, -73.0887 44.98848, -73.08892 44.98809, -73.08914 44.98761, -73.08939 44.9869, -73.08963 44.98635, -73.08988 44.98601, -73.09028 44.98559, -73.09145 44.98474, -73.09927 44.9792, -73.10149 44.97758, -73.10333 44.97612, -73.10354 44.97596, -73.10371 44.97583, -73.10411 44.97549, -73.10442 44.97515, -73.10499 44.97434, -73.10514 44.97409, -73.10522 44.97396, -73.10548 44.97352, -73.10571 44.97313, -73.10607 44.97252, -73.10665 44.97146, -73.10701 44.97056, -73.10757 44.96888, -73.10839 44.96648, -73.10851 44.96579, -73.10862 44.96406, -73.10867 44.96313, -73.10878 44.96243, -73.1092 44.96118, -73.11245 44.95208, -73.11439 44.94671, -73.1146 44.94624, -73.11519 44.94544, -73.11612 44.94425, -73.11635 44.94385, -73.11661 44.94317, -73.11725 44.94073, -73.11782 44.93871, -73.11831 44.93697, -73.11847 44.93624, -73.11861 44.93528, -73.11874 44.93472, -73.11894 44.9341, -73.11911 44.93361, -73.11919 44.93327, -73.11922 44.93315, -73.11934 44.93248, -73.11947 44.93157, -73.11957 44.9309, -73.1196 44.93066, -73.11963 44.93048, -73.1197 44.93005, -73.11984 44.9292, -73.11986 44.92894, -73.11999 44.92835, -73.12002 44.92799, -73.11999 44.92688, -73.11999 44.92675, -73.12 44.92597, -73.12004 44.92569, -73.12032 44.92479, -73.12087 44.92312, -73.12155 44.92095, -73.12168 44.92076, -73.1218 44.9205, -73.12233 44.92031, -73.12376 44.9199, -73.12526 44.91941)"
52175,129N09614,P1,5.0,US-5,1,I-91,1532,UNITED STATES,VERMONT,ORLEANS,5829,W,44.95266,-72.14866,44.95199,-72.15253,0.195104765082743,3,Y,4.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,9336.0,,,0,0.0,,0.0,,"LINESTRING (-72.14866 44.95266, -72.14901 44.95262, -72.14948 44.95256, -72.15073 44.95238, -72.15117 44.9523, -72.15169 44.95218, -72.15197 44.95212, -72.15244 44.95201, -72.15253 44.95199)"
52288,129P07371,P1,5.0,US-5,1,I-91,454,UNITED STATES,VERMONT,ORLEANS,5829,W,44.95274,-72.14767,44.95199,-72.15253,0.243817590355506,3,Y,4.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,9319.0,,,0,0.0,,0.0,,"LINESTRING (-72.14767 44.95274, -72.14866 44.95266, -72.14901 44.95262, -72.14948 44.95256, -72.15073 44.95238, -72.15117 44.9523, -72.15169 44.95218, -72.15197 44.95212, -72.15244 44.95201, -72.15253 44.95199)"
62410,129N07371,P1,5.0,US-5,1,I-91,454,UNITED STATES,VERMONT,ORLEANS,5829,E,44.95199,-72.15253,44.95274,-72.14767,0.243817590355506,3,Y,4.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,9319.0,,,0,0.0,,0.0,,"LINESTRING (-72.15253 44.95199, -72.15244 44.95201, -72.15197 44.95212, -72.15169 44.95218, -72.15117 44.9523, -72.15073 44.95238, -72.14948 44.95256, -72.14901 44.95262, -72.14866 44.95266, -72.14767 44.95274)"
66052,129+09615,P1,5.0,US-5,0,VT-105/Main St,1532,UNITED STATES,VERMONT,ORLEANS,5829,E,44.95266,-72.14866,44.95451,-72.13035,0.912589175567685,3,Y,4.0,99999.0,2.0,,2.0,5.0,3.0,1.0,,9203.0,,,0,0.0,,0.0,,"LINESTRING (-72.14866 44.95266, -72.14767 44.95274, -72.14701 44.95278, -72.146 44.95279, -72.1453 44.9528, -72.1446 44.95281, -72.14454 44.95281, -72.14162 44.95281, -72.13884 44.95282, -72.13879 44.95282, -72.13844 44.95285, -72.13773 44.953, -72.13639 44.95333, -72.13557 44.95355, -72.13549 44.95357, -72.13439 44.95384, -72.13368 44.95397, -72.13274 44.95412, -72.13223 44.9542, -72.13035 44.95451)"
