Unnamed: 0,Tmc,TmcType,RoadNumber,RoadName,IsPrimary,FirstName,TmcLinear,Country,State,County,Zip,Direction,StartLat,StartLong,EndLat,EndLong,Miles,FRC,Border_Set,F_System,Urban_Code,FacilType,StrucType,ThruLanes,Route_Numb,Route_Sign,Route_Qual,AltRteName,AADT,AADT_Singl,AADT_Combi,NHS,NHS_Pct,Strhnt_Typ,Strhnt_Pct,Truck,geometry
62228,117+04197,P1,90.0,I-90 W,1,US-14/I-90-BL/Exit 189,68,UNITED STATES,WYOMING,CROOK,82729,W,44.43581,-104.30093,44.41775,-104.33761,2.198634444112003,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,5376.0,261.0,700.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-104.30093 44.43581, -104.30174 44.43544, -104.30202 44.43531, -104.30217 44.43524, -104.30312 44.4348, -104.30385 44.43447, -104.30494 44.43396, -104.30563 44.43364, -104.30604 44.43345, -104.30609 44.43343, -104.30629 44.43334, -104.30716 44.43294, -104.30791 44.43259, -104.30904 44.43208, -104.31016 44.43156, -104.31127 44.43105, -104.31239 44.43053, -104.31349 44.43002, -104.31423 44.42968, -104.31532 44.42917, -104.31639 44.42863, -104.31746 44.42809, -104.31887 44.42736, -104.31958 44.427, -104.32104 44.42625, -104.32214 44.42569, -104.32358 44.42495, -104.32501 44.42421, -104.32608 44.42367, -104.32714 44.42312, -104.32784 44.42277, -104.32857 44.4224, -104.32964 44.42184, -104.33072 44.42129, -104.33216 44.42055, -104.33323 44.42, -104.33356 44.41983, -104.33359 44.41982, -104.33369 44.41976, -104.33395 44.41963, -104.33466 44.41927, -104.33502 44.41909, -104.33558 44.41881, -104.33573 44.41873, -104.33645 44.41836, -104.3368 44.41817, -104.33761 44.41775)"
62229,117+04199,P1,90.0,I-90 W,1,US-14/I-90-BL/Exit 185,68,UNITED STATES,WYOMING,CROOK,82729,W,44.39839,-104.37568,44.39533,-104.39528,1.015097984016533,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,4552.0,261.0,702.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-104.37568 44.39839, -104.37609 44.39828, -104.37694 44.39808, -104.37779 44.3979, -104.37865 44.39775, -104.3795 44.39762, -104.38082 44.39748, -104.38171 44.39741, -104.38239 44.39738, -104.38304 44.39736, -104.38341 44.39736, -104.38355 44.39736, -104.38438 44.39737, -104.38526 44.39741, -104.38615 44.39745, -104.38722 44.39748, -104.38791 44.39749, -104.38879 44.39745, -104.38966 44.39737, -104.39051 44.39723, -104.39093 44.39715, -104.39134 44.39706, -104.39174 44.39695, -104.39213 44.39683, -104.39252 44.39671, -104.3929 44.39657, -104.39328 44.39642, -104.39368 44.39624, -104.39394 44.39612, -104.39402 44.39608, -104.39462 44.39575, -104.39472 44.39569, -104.39497 44.39554, -104.39514 44.39543, -104.39528 44.39533)"
62230,117+04202,P1,90.0,I-90 W,1,Pine Ridge Road/Exit 165,68,UNITED STATES,WYOMING,CROOK,82721,W,44.31338,-104.61664,44.28067,-104.71945,6.029205154828913,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,4163.0,261.0,705.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-104.61664 44.31338, -104.61677 44.31321, -104.61686 44.31309, -104.61718 44.3126, -104.61722 44.31254, -104.61755 44.31197, -104.61787 44.3114, -104.61818 44.31083, -104.61866 44.30997, -104.61898 44.3094, -104.61948 44.30853, -104.61997 44.30764, -104.62047 44.30676, -104.62097 44.30587, -104.62146 44.30498, -104.62172 44.30452, -104.62196 44.3041, -104.62218 44.30371, -104.62246 44.30321, -104.62314 44.30202, -104.62348 44.30142, -104.62375 44.30095, -104.62382 44.30082, -104.62415 44.30022, -104.62442 44.29974, -104.62451 44.29959, -104.62466 44.29932, -104.62517 44.29842, -104.62552 44.29783, -104.62582 44.29741, -104.62611 44.297, -104.62635 44.29675, -104.62677 44.29633, -104.62712 44.296, -104.62741 44.29577, -104.62802 44.29533, -104.62835 44.29512, -104.62902 44.29472, -104.62974 44.29436, -104.63051 44.29404, -104.63131 44.29378, -104.63172 44.29367, -104.63256 44.29347, -104.63342 44.29332, -104.63358 44.2933, -104.6343 44.29321, -104.63518 44.29312, -104.63651 44.29297, -104.63784 44.29283, -104.6396 44.29263, -104.64137 44.29244, -104.6427 44.29229, -104.64445 44.29209, -104.64576 44.29191, -104.64707 44.2917, -104.64785 44.29158, -104.64795 44.29156, -104.64925 44.29135, -104.65012 44.29121, -104.65098 44.29106, -104.65227 44.29085, -104.65355 44.29064, -104.65482 44.29044, -104.6561 44.29023, -104.65782 44.28995, -104.65909 44.28974, -104.66037 44.28953, -104.66167 44.28932, -104.66256 44.28918, -104.66344 44.28904, -104.6637 44.289, -104.66476 44.28882, -104.66564 44.28868, -104.66652 44.28854, -104.66828 44.28825, -104.66915 44.28811, -104.67046 44.2879, -104.67177 44.28769, -104.67307 44.28747, -104.6748 44.28719, -104.67608 44.28698, -104.67737 44.28677, -104.67867 44.28655, -104.67998 44.28634, -104.68085 44.2862, -104.6826 44.28591, -104.6839 44.2857, -104.68563 44.28542, -104.68693 44.28521, -104.6878 44.28507, -104.68909 44.28486, -104.69039 44.28465, -104.69212 44.28437, -104.69299 44.28422, -104.69385 44.28408, -104.69472 44.28393, -104.69601 44.28368, -104.69729 44.28344, -104.69858 44.28322, -104.69944 44.28308, -104.70031 44.28295, -104.70118 44.28281, -104.70205 44.28266, -104.70335 44.28245, -104.70465 44.28223, -104.70552 44.28209, -104.70639 44.28195, -104.7077 44.28174, -104.70804 44.28168, -104.70811 44.28167, -104.70928 44.28148, -104.70988 44.28138, -104.71161 44.2811, -104.71334 44.28084, -104.71422 44.28074, -104.71509 44.28067, -104.71642 44.28061, -104.71718 44.2806, -104.71774 44.2806, -104.71791 44.28061, -104.71834 44.28062, -104.71882 44.28064, -104.71905 44.28065, -104.71945 44.28067)"
62231,117+04206,P1,90.0,I-90 W,1,Adon Rd/Exit 141,68,UNITED STATES,WYOMING,CAMPBELL,82727,W,44.27401,-104.97189,44.29327,-105.19824,11.475152871159544,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,6670.0,261.0,712.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-104.97189 44.27401, -104.97264 44.27423, -104.97273 44.27426, -104.97428 44.27473, -104.97543 44.27509, -104.97659 44.27545, -104.97736 44.27569, -104.9782 44.27595, -104.97831 44.27599, -104.97852 44.27605, -104.9792 44.27626, -104.98007 44.27653, -104.98084 44.27678, -104.9816 44.27703, -104.98235 44.2773, -104.98348 44.27772, -104.98459 44.27815, -104.98532 44.27844, -104.98643 44.27887, -104.98717 44.27915, -104.98791 44.27943, -104.98865 44.2797, -104.98902 44.27983, -104.98977 44.28007, -104.99016 44.28018, -104.99093 44.28038, -104.99171 44.28055, -104.9925 44.2807, -104.99332 44.28081, -104.99347 44.28083, -104.99414 44.2809, -104.99456 44.28094, -104.99541 44.28099, -104.99626 44.28101, -104.99712 44.281, -104.99797 44.28096, -104.99867 44.2809, -104.99924 44.28086, -104.99965 44.28081, -105.0001 44.28077, -105.00049 44.28073, -105.00132 44.28065, -105.00215 44.28057, -105.00298 44.28049, -105.00423 44.28037, -105.00506 44.28029, -105.00631 44.28017, -105.00715 44.28009, -105.00815 44.27999, -105.00881 44.27993, -105.00946 44.27987, -105.01033 44.27979, -105.0112 44.27971, -105.01164 44.27967, -105.01207 44.27965, -105.01251 44.27963, -105.01339 44.27961, -105.01426 44.27961, -105.01472 44.27963, -105.01559 44.27967, -105.01647 44.27973, -105.01762 44.2798, -105.01845 44.27986, -105.01954 44.27993, -105.02054 44.27999, -105.02138 44.28005, -105.0226 44.28013, -105.02431 44.28024, -105.02599 44.28035, -105.02767 44.28046, -105.02935 44.28056, -105.03018 44.28061, -105.03102 44.28066, -105.03228 44.28074, -105.03395 44.28085, -105.03479 44.28091, -105.03563 44.28096, -105.03731 44.28107, -105.03899 44.28119, -105.04066 44.28131, -105.04108 44.28133, -105.04192 44.28139, -105.04275 44.28145, -105.04316 44.28147, -105.04401 44.28153, -105.04485 44.2816, -105.04568 44.28169, -105.04651 44.2818, -105.04732 44.28193, -105.04815 44.28209, -105.04919 44.28233, -105.05001 44.28254, -105.05083 44.28278, -105.05164 44.28302, -105.05245 44.28326, -105.05366 44.28361, -105.0548 44.28394, -105.05595 44.28428, -105.05673 44.2845, -105.05725 44.28466, -105.0579 44.28484, -105.05798 44.28486, -105.05868 44.28507, -105.0597 44.28537, -105.06054 44.28559, -105.06148 44.28579, -105.06229 44.28593, -105.06312 44.28605, -105.06401 44.28614, -105.06445 44.28617, -105.06489 44.28619, -105.06533 44.28621, -105.06606 44.28622, -105.06664 44.28622, -105.06732 44.2862, -105.06796 44.28618, -105.06884 44.28615, -105.07016 44.28612, -105.0711 44.2861, -105.07194 44.28608, -105.07279 44.28605, -105.0741 44.28602, -105.07529 44.28599, -105.07585 44.28597, -105.07655 44.28596, -105.07739 44.28594, -105.07804 44.28592, -105.07907 44.28589, -105.07992 44.28587, -105.0816 44.28583, -105.08286 44.28579, -105.08395 44.28577, -105.08413 44.28576, -105.08454 44.28575, -105.08549 44.28573, -105.08664 44.2857, -105.08769 44.28567, -105.08832 44.28566, -105.08901 44.28563, -105.09033 44.2856, -105.09126 44.28558, -105.09168 44.28557, -105.09296 44.28553, -105.09378 44.28551, -105.09545 44.28547, -105.09628 44.28545, -105.09753 44.28542, -105.09836 44.2854, -105.09879 44.2854, -105.0991 44.28539, -105.09921 44.28539, -105.10048 44.28539, -105.1012 44.2854, -105.10209 44.28541, -105.10302 44.28543, -105.10387 44.28544, -105.10471 44.28546, -105.10554 44.28548, -105.10638 44.2855, -105.10696 44.28551, -105.10763 44.28552, -105.10827 44.28553, -105.10931 44.28556, -105.11002 44.28557, -105.11057 44.28558, -105.11134 44.2856, -105.11221 44.28561, -105.11353 44.28564, -105.11436 44.28566, -105.11562 44.28568, -105.11688 44.28571, -105.11814 44.28573, -105.11941 44.28576, -105.12068 44.28578, -105.12194 44.28581, -105.12323 44.28584, -105.12366 44.28585, -105.12454 44.28587, -105.12541 44.28588, -105.12627 44.28592, -105.12713 44.28598, -105.12778 44.28604, -105.1286 44.28616, -105.12923 44.28627, -105.13023 44.28647, -105.13089 44.28664, -105.13171 44.28688, -105.13251 44.28714, -105.1337 44.28757, -105.13483 44.28798, -105.13521 44.28812, -105.13594 44.2884, -105.13632 44.28854, -105.13685 44.28873, -105.13723 44.28887, -105.13783 44.28909, -105.13843 44.28931, -105.13921 44.2896, -105.13999 44.28989, -105.14044 44.29005, -105.14116 44.29032, -105.14194 44.29061, -105.14234 44.29076, -105.14312 44.29105, -105.1439 44.29134, -105.1447 44.29163, -105.14509 44.29177, -105.1457 44.29199, -105.14608 44.29212, -105.14647 44.29224, -105.14686 44.29235, -105.14725 44.29246, -105.14765 44.29257, -105.14805 44.29267, -105.14836 44.29274, -105.14885 44.29285, -105.14965 44.29301, -105.15048 44.29315, -105.15134 44.29326, -105.15177 44.29331, -105.15213 44.29335, -105.15264 44.29339, -105.15351 44.29345, -105.15381 44.29347, -105.15464 44.29349, -105.15526 44.29349, -105.15613 44.29349, -105.15701 44.29348, -105.15919 44.29346, -105.1605 44.29346, -105.16137 44.29346, -105.1622 44.29346, -105.16262 44.29345, -105.1643 44.29344, -105.16556 44.29343, -105.1664 44.29343, -105.16724 44.29343, -105.16808 44.29342, -105.16893 44.29342, -105.16977 44.29341, -105.17104 44.2934, -105.17188 44.2934, -105.17273 44.29339, -105.17357 44.29339, -105.17441 44.29339, -105.17525 44.29338, -105.17609 44.29338, -105.17734 44.29337, -105.17818 44.29336, -105.1786 44.29336, -105.17944 44.29336, -105.18028 44.29335, -105.18112 44.29335, -105.18196 44.29334, -105.18321 44.29334, -105.18488 44.29333, -105.1853 44.29333, -105.18656 44.29332, -105.18782 44.29331, -105.18908 44.2933, -105.19034 44.2933, -105.19119 44.29329, -105.19152 44.29329, -105.19203 44.29329, -105.19246 44.29329, -105.19332 44.2933, -105.19415 44.29329, -105.195 44.29329, -105.19542 44.29328, -105.19645 44.29328, -105.19752 44.29327, -105.19824 44.29327)"
62232,117+04208,P1,90.0,I-90 W,1,Garner Lake Road/Exit 129,68,UNITED STATES,WYOMING,CAMPBELL,82718,W,44.294,-105.37521,44.29505,-105.44298,3.360540045475917,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,8330.0,222.0,550.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-105.37521 44.294, -105.37559 44.29406, -105.37646 44.29416, -105.37722 44.29425, -105.37734 44.29427, -105.37766 44.29431, -105.37823 44.29438, -105.37853 44.29442, -105.37957 44.29454, -105.38047 44.29465, -105.3818 44.29481, -105.38225 44.29486, -105.38357 44.29502, -105.38489 44.29518, -105.38577 44.29528, -105.38664 44.29538, -105.38752 44.29547, -105.38795 44.29551, -105.38882 44.29558, -105.38926 44.2956, -105.39012 44.29565, -105.39054 44.29567, -105.3914 44.2957, -105.39228 44.29571, -105.39272 44.29572, -105.39361 44.29571, -105.39451 44.2957, -105.39542 44.2957, -105.39677 44.29569, -105.39767 44.29568, -105.39857 44.29567, -105.39947 44.29566, -105.39964 44.29566, -105.40171 44.29565, -105.4026 44.29564, -105.40394 44.29563, -105.40424 44.29562, -105.40439 44.29562, -105.40677 44.2956, -105.40971 44.29557, -105.41367 44.29554, -105.41857 44.29546, -105.42313 44.29538, -105.42655 44.29532, -105.42869 44.29529, -105.4331 44.29521, -105.4341 44.29519, -105.4349 44.29518, -105.43526 44.29517, -105.43769 44.29512, -105.43994 44.29508, -105.44227 44.29505, -105.44298 44.29505)"
62233,117+04211,P1,90.0,I-90 W,1,I-90-BL/Exit 124,68,UNITED STATES,WYOMING,CAMPBELL,82716,W,44.2796,-105.50076,44.29108,-105.52594,1.513125172093098,1,N,1.0,99998.0,2.0,,4.0,90.0,2.0,1.0,,9240.0,196.0,486.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-105.50076 44.2796, -105.50127 44.2796, -105.50137 44.2796, -105.5021 44.2796, -105.50317 44.27963, -105.5035 44.27965, -105.50379 44.27967, -105.50462 44.27976, -105.50544 44.2799, -105.50623 44.28009, -105.507 44.28031, -105.50738 44.28044, -105.50811 44.28073, -105.50881 44.28105, -105.50978 44.28159, -105.50989 44.28165, -105.51073 44.28216, -105.51198 44.2829, -105.51324 44.28365, -105.5142 44.28422, -105.5155 44.28498, -105.51636 44.2855, -105.51714 44.28596, -105.51767 44.28627, -105.51846 44.28674, -105.51926 44.28721, -105.51979 44.28752, -105.52029 44.28782, -105.52052 44.28795, -105.52057 44.28798, -105.52072 44.28807, -105.52108 44.28829, -105.5221 44.28889, -105.52331 44.28959, -105.52396 44.28997, -105.52494 44.29054, -105.5254 44.29079, -105.52594 44.29108)"
62234,117+04215,P1,90.0,I-90 W,1,Barber Creek Road/Exit 102,68,UNITED STATES,WYOMING,CAMPBELL,82716,W,44.20499,-105.85052,44.17887,-105.90386,3.400412592846958,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,3776.0,140.0,264.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-105.85052 44.20499, -105.85081 44.20479, -105.85115 44.20455, -105.85147 44.20431, -105.85177 44.20409, -105.85237 44.20363, -105.85267 44.2034, -105.85297 44.20316, -105.85356 44.20268, -105.85412 44.2022, -105.85469 44.20172, -105.85525 44.20123, -105.85608 44.20051, -105.85692 44.19978, -105.85748 44.1993, -105.85802 44.1988, -105.85856 44.1983, -105.85932 44.19752, -105.85982 44.197, -105.8603 44.19646, -105.86077 44.19593, -105.86144 44.19511, -105.86207 44.19427, -105.86287 44.19314, -105.86327 44.19258, -105.86368 44.19202, -105.86413 44.19148, -105.86437 44.19122, -105.86489 44.19071, -105.86545 44.19022, -105.86604 44.18976, -105.86668 44.18933, -105.86716 44.18905, -105.86771 44.18873, -105.86843 44.18837, -105.86956 44.18787, -105.87031 44.18755, -105.87179 44.1869, -105.87327 44.18625, -105.87438 44.18576, -105.87587 44.18511, -105.87736 44.18445, -105.87811 44.18413, -105.87848 44.18397, -105.87866 44.18389, -105.87924 44.18364, -105.88037 44.18314, -105.88226 44.18231, -105.88302 44.18197, -105.88414 44.18148, -105.88489 44.18115, -105.88564 44.18083, -105.88677 44.18034, -105.88738 44.18011, -105.88792 44.1799, -105.88872 44.17964, -105.88953 44.17939, -105.89076 44.17907, -105.8916 44.17889, -105.89246 44.17873, -105.89312 44.17863, -105.89374 44.17854, -105.89441 44.17845, -105.89505 44.1784, -105.89602 44.17835, -105.8968 44.17831, -105.89771 44.17831, -105.899 44.17835, -105.90031 44.17844, -105.90171 44.1786, -105.90313 44.17878, -105.90386 44.17887)"
62235,117+04223,P1,90.0,I-90 W,1,I-90-BL/US-16/Exit 58,68,UNITED STATES,WYOMING,JOHNSON,82834,N,44.27903,-106.56337,44.35711,-106.65338,7.20660328604714,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,3541.0,144.0,725.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-106.56337 44.27903, -106.56394 44.27921, -106.56448 44.27938, -106.56498 44.27954, -106.56503 44.27956, -106.56534 44.27966, -106.56563 44.27976, -106.56567 44.27977, -106.56601 44.27989, -106.56653 44.28006, -106.56729 44.28031, -106.56767 44.28044, -106.56785 44.2805, -106.56845 44.28069, -106.56923 44.28095, -106.57042 44.28134, -106.57122 44.2816, -106.57202 44.28187, -106.57242 44.282, -106.57322 44.28226, -106.57442 44.28265, -106.57562 44.28304, -106.57682 44.28343, -106.57762 44.2837, -106.57842 44.28396, -106.57922 44.28423, -106.58003 44.28449, -106.58084 44.28475, -106.58164 44.28502, -106.58244 44.28528, -106.58325 44.28555, -106.58364 44.28569, -106.58397 44.28581, -106.58442 44.28599, -106.58518 44.2863, -106.58593 44.28663, -106.58666 44.28697, -106.58702 44.28714, -106.58771 44.2875, -106.58805 44.28768, -106.58873 44.28806, -106.58939 44.28846, -106.59006 44.28887, -106.5907 44.28931, -106.59134 44.28976, -106.59195 44.29023, -106.59254 44.2907, -106.5931 44.2912, -106.59365 44.29169, -106.59443 44.29247, -106.59494 44.293, -106.5957 44.29379, -106.59621 44.29431, -106.59696 44.29509, -106.59772 44.29587, -106.59848 44.29665, -106.59924 44.29744, -106.6 44.29822, -106.60075 44.299, -106.60114 44.29941, -106.60299 44.3013, -106.60398 44.30235, -106.605 44.30342, -106.60546 44.30395, -106.6059 44.30449, -106.60632 44.30501, -106.60673 44.30555, -106.60712 44.3061, -106.6075 44.30665, -106.60787 44.30723, -106.60824 44.30781, -106.60859 44.3084, -106.6091 44.30929, -106.60962 44.31016, -106.60996 44.31075, -106.61048 44.31162, -106.61099 44.3125, -106.6115 44.31337, -106.61201 44.31423, -106.61235 44.3148, -106.61268 44.31537, -106.61302 44.31594, -106.61352 44.3168, -106.61387 44.31737, -106.61438 44.31824, -106.6149 44.31913, -106.61507 44.31942, -106.61525 44.31972, -106.61526 44.31974, -106.6156 44.32032, -106.61612 44.32121, -106.61664 44.32209, -106.61715 44.32297, -106.61767 44.32385, -106.61819 44.32472, -106.6187 44.32559, -106.61922 44.32647, -106.61973 44.32734, -106.62024 44.32821, -106.62053 44.3287, -106.62093 44.32934, -106.62131 44.3299, -106.62171 44.33044, -106.62215 44.33099, -106.62248 44.33133, -106.62288 44.33176, -106.62321 44.33208, -106.62367 44.33251, -106.62423 44.33301, -106.62452 44.33327, -106.6254 44.33402, -106.6256 44.33419, -106.62626 44.33477, -106.62683 44.33527, -106.62769 44.33602, -106.62831 44.33657, -106.62851 44.33674, -106.62911 44.33727, -106.62995 44.33801, -106.63045 44.33842, -106.63073 44.33868, -106.63078 44.33873, -106.63103 44.33897, -106.63163 44.33947, -106.63248 44.34021, -106.63332 44.34095, -106.63402 44.34155, -106.63417 44.34168, -106.63502 44.34243, -106.63587 44.34317, -106.63634 44.34359, -106.63643 44.34367, -106.637 44.34416, -106.63785 44.3449, -106.63871 44.34565, -106.63956 44.34639, -106.64041 44.34713, -106.64125 44.34787, -106.64209 44.34861, -106.64214 44.34865, -106.64294 44.34935, -106.64377 44.35007, -106.64406 44.35033, -106.64492 44.35108, -106.64578 44.35182, -106.64588 44.3519, -106.64662 44.35255, -106.64717 44.35304, -106.64744 44.35328, -106.64777 44.35356, -106.64857 44.35423, -106.64906 44.3546, -106.64946 44.3549, -106.64977 44.35511, -106.6504 44.35552, -106.65072 44.35572, -106.65137 44.3561, -106.65204 44.35647, -106.65273 44.35681, -106.65296 44.35692, -106.65307 44.35697, -106.65338 44.35711)"
62236,117+04225,P1,90.0,I-90 W,1,I-25-BL/I-90-BL/Exit 56A,68,UNITED STATES,WYOMING,JOHNSON,82834,W,44.3752,-106.69139,44.37756,-106.69556,0.262663525777408,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,4044.0,154.0,768.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-106.69139 44.3752, -106.69206 44.37556, -106.69254 44.37582, -106.69284 44.37599, -106.69332 44.37627, -106.69356 44.37641, -106.69388 44.37659, -106.695 44.37724, -106.6955 44.37753, -106.69556 44.37756)"
62237,117+04231,P1,90.0,I-90 W,1,Meade Creek Road/Exit 33,68,UNITED STATES,WYOMING,SHERIDAN,82832,N,44.62333,-106.85066,44.6613,-106.87599,2.914772992034346,1,N,1.0,99999.0,2.0,,4.0,90.0,2.0,1.0,,7732.0,261.0,1034.0,1,100.0,0.0,0.0,1.0,"LINESTRING (-106.85066 44.62333, -106.85091 44.62375, -106.85124 44.62433, -106.85149 44.62475, -106.85209 44.62579, -106.85301 44.62738, -106.85358 44.62837, -106.85409 44.62924, -106.85476 44.63035, -106.8555 44.63149, -106.85593 44.63214, -106.85637 44.63284, -106.85683 44.63354, -106.858 44.63527, -106.86007 44.63842, -106.86134 44.64033, -106.86194 44.64123, -106.86234 44.64182, -106.86294 44.6427, -106.8634 44.64344, -106.86384 44.64413, -106.86421 44.64466, -106.86486 44.6455, -106.8654 44.64611, -106.86582 44.64655, -106.86645 44.64718, -106.86733 44.64805, -106.86875 44.64946, -106.86945 44.65016, -106.86989 44.65064, -106.87029 44.65111, -106.87068 44.6516, -106.87102 44.65207, -106.8712 44.65234, -106.87153 44.65286, -106.87168 44.65311, -106.87182 44.65336, -106.87197 44.65365, -106.87215 44.65401, -106.87231 44.65436, -106.87254 44.65493, -106.87265 44.6552, -106.87275 44.65546, -106.87315 44.65642, -106.87336 44.65692, -106.87355 44.6574, -106.87372 44.65779, -106.87399 44.65836, -106.87418 44.65871, -106.87444 44.65916, -106.87463 44.65946, -106.87507 44.66012, -106.87532 44.66046, -106.87599 44.6613)"
