,index,measurement_tstamp,travel_time_all,speed_all,travel_time_pass,speed_pass,travel_time_truck,speed_truck,year,month,day,hour,weekday,dow,peaking,tmc,road,direction,start_latitude,start_longitude,end_latitude,end_longitude,tmc_length,road_order,f_system,faciltype,thrulanes,route_numb,route_sign,aadt,aadt_singl,aadt_combi,nhs,isprimary,active_start_date,active_end_date,dir_num,urban_rural,state,county,COUNTY_ID,repcty,PCT_TYPE10,PCT_TYPE25,PCT_TYPE40,PCT_TYPE50,PCT_TYPE60,PCT_NOISE_AUTO,PCT_NOISE_MED_TRUCK,PCT_NOISE_HVY_TRUCK,PCT_NOISE_BUS,PCT_NOISE_MC,tier,VOLUME_MODIFIER,tier_volume,dayid,monthid,hourid,roadtypeid,avgspeedbinid,avgspeedbinid_pass,avgspeedbinid_truck,monthid3,VMT,MAADT,10_100,10_110,10_2,10_3,10_5,10_6,10_87,10_90,10_98,25_100,25_110,25_2,25_3,25_5,25_6,25_87,25_90,25_98,40_100,40_110,40_2,40_3,40_5,40_6,40_87,40_90,40_98,50_100,50_110,50_2,50_3,50_5,50_6,50_87,50_90,50_98,60_100,60_110,60_2,60_3,60_5,60_6,60_87,60_90,60_98
0,0,2020-01-01 00:00:00,41.14,65.42925,41.06,65.55674,42.06,63.99809,2020,1,1,0,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,6.79449e-06,0.010639649,2.9268573e-05,0.00015418266,0.0002106292,0.010639649,0.00010818919,0.00025662268,2.9268573e-05,6.79449e-06,1.0,1.363566157606262,1,5,1,1,4.0,14.0,14.0,14.0,120102.0,1031.767585340858,124985.15578926879,0.0177959831198677,0.0145027926773763,5.325666745503743,0.2818646629651387,0.0070652663707733,0.0004441199901824,0.2816129740094766,131.47266642252603,131.7587142132688,0.0075065839800327,0.0040660316471327,0.7766650108313048,0.0815785016421773,0.0014168487929964,0.000341821286448,0.0152996254709035,114.25750365648145,114.39322207993324,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
1,1,2020-01-01 01:00:00,40.66,66.20166,40.66,66.20166,,,2020,1,1,1,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,2.0906123e-06,0.00610302,1.358898e-05,0.0002372845,0.00028693656,0.00610302,0.00019181368,0.00033240736,1.358898e-05,2.0906123e-06,1.0,1.363566157606262,1,5,1,2,4.0,14.0,14.0,14.0,120102.0,620.7994431888566,124985.15578926879,0.0177959831198677,0.0145027926773763,5.325666745503743,0.2818646629651387,0.0070652663707733,0.0004441199901824,0.2816129740094766,131.47266642252603,131.7587142132688,0.0075065839800327,0.0040660316471327,0.7766650108313048,0.0815785016421773,0.0014168487929964,0.000341821286448,0.0152996254709035,114.25750365648145,114.39322207993324,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
2,2,2020-01-01 02:00:00,40.51,66.44679,40.51,66.44679,,,2020,1,1,2,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,4.1812245e-06,0.004029133,2.4042041e-05,0.00035017758,0.00034599635,0.004029133,0.00029007246,0.00040610146,2.4042041e-05,4.1812245e-06,1.0,1.363566157606262,1,5,1,3,4.0,14.0,14.0,14.0,120102.0,444.2305775060838,124985.15578926879,0.0177959831198677,0.0145027926773763,5.325666745503743,0.2818646629651387,0.0070652663707733,0.0004441199901824,0.2816129740094766,131.47266642252603,131.7587142132688,0.0075065839800327,0.0040660316471327,0.7766650108313048,0.0815785016421773,0.0014168487929964,0.000341821286448,0.0152996254709035,114.25750365648145,114.39322207993324,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
3,3,2020-01-01 03:00:00,40.85,65.893745,40.85,65.893745,,,2020,1,1,3,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,3.6585716e-06,0.0037421961,4.23349e-05,0.00029164043,0.00037003838,0.0037421961,0.00023153532,0.0004301435,4.23349e-05,3.6585716e-06,1.0,1.363566157606262,1,5,1,4,4.0,14.0,14.0,14.0,120102.0,415.8525283998309,124985.15578926879,0.0177959831198677,0.0145027926773763,5.325666745503743,0.2818646629651387,0.0070652663707733,0.0004441199901824,0.2816129740094766,131.47266642252603,131.7587142132688,0.0075065839800327,0.0040660316471327,0.7766650108313048,0.0815785016421773,0.0014168487929964,0.000341821286448,0.0152996254709035,114.25750365648145,114.39322207993324,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
4,4,2020-01-01 04:00:00,38.65,69.64449,38.65,69.64449,,,2020,1,1,4,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,6.79449e-06,0.007299896,4.1289593e-05,0.00042962085,0.00061673066,0.007299896,0.00030784268,0.0007385088,4.1289593e-05,6.79449e-06,1.0,1.363566157606262,1,5,1,5,4.0,15.0,15.0,15.0,120102.0,784.4735988051036,124985.15578926879,0.0169623797604192,0.01399231730223,5.2409000396728525,0.2730949918429057,0.0069178665677706,0.0004123966597641,0.2715418696122166,134.18733723958334,134.4604554020334,0.0068993222183094,0.0040236317831247,0.8688902500536123,0.0906800980699134,0.0016697527406402,0.0003174059451608,0.0163523101137319,118.30269655957908,118.43615721013238,0.0668756963330431,0.0516674862278103,0.5793336359072122,1.7410969634346618,0.0126705647604304,0.0005068828591202,0.0893058136276864,453.4005769226872,453.8237924689836,0.0624731805155987,0.0466628605484561,1.2724331788236338,0.9244190693253548,0.0067764976257513,0.0007110638049662,0.0877834740345192,294.8758847616033,295.2386209912836,0.0579212236553675,0.042647081944163,0.2678995115854891,1.302386347718581,0.0081702563605492,0.0003943549562767,0.0434646538590452,575.9307220758517,576.2245474958689
5,5,2020-01-01 05:00:00,37.62,71.55129,37.41,71.95294,41.41,65.00265,2020,1,1,5,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,1.0453062e-05,0.020846019,7.944327e-05,0.00061882124,0.0008801478,0.020846019,0.00043798328,0.0010609857,7.944327e-05,1.0453062e-05,1.0,1.363566157606262,1,5,1,6,4.0,15.0,15.0,14.0,120102.0,2096.6022566962893,124985.15578926879,0.0169623797604192,0.01399231730223,5.2409000396728525,0.2730949918429057,0.0069178665677706,0.0004123966597641,0.2715418696122166,134.18733723958334,134.4604554020334,0.0068993222183094,0.0040236317831247,0.8688902500536123,0.0906800980699134,0.0016697527406402,0.0003174059451608,0.0163523101137319,118.30269655957908,118.43615721013238,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
6,6,2020-01-01 06:00:00,39.76,67.70019,39.07,68.89582,46.41,57.99956,2020,1,1,6,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,1.8292858e-05,0.040456485,0.00014686552,0.0009674309,0.0009381623,0.040456485,0.00064234063,0.0012632526,0.00014686552,1.8292858e-05,1.0,1.363566157606262,1,5,1,7,4.0,15.0,15.0,13.0,120102.0,3974.288271341696,124985.15578926879,0.0169623797604192,0.01399231730223,5.2409000396728525,0.2730949918429057,0.0069178665677706,0.0004123966597641,0.2715418696122166,134.18733723958334,134.4604554020334,0.0068993222183094,0.0040236317831247,0.8688902500536123,0.0906800980699134,0.0016697527406402,0.0003174059451608,0.0163523101137319,118.30269655957908,118.43615721013238,0.0750493228423352,0.0548585850338552,0.6010009519972308,1.5586626911603878,0.0139036351680225,0.0005913616075547,0.1007707881517224,403.62063475332326,404.0959331901937,0.072514789787485,0.0526355378265511,1.2564346356513625,0.8981620402673204,0.0078483666246626,0.0008295730901105,0.0999170237391228,290.71849823024013,291.1404815872923,0.061057018568289,0.0422168116909115,0.2880741014329577,1.1794027147622108,0.0096224833356598,0.0004600784630212,0.0487704561762751,515.6701941579278,516.0148906315131
7,7,2020-01-01 07:00:00,38.41,70.07966,38.34,70.2076,40.18,66.99252,2020,1,1,7,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,2.7700615e-05,0.06287307,0.00015888654,0.0010186508,0.00092875457,0.06287307,0.00062404777,0.0013233576,0.00015888654,2.7700615e-05,1.0,1.363566157606262,1,5,1,8,4.0,15.0,15.0,14.0,120102.0,6075.0902994920625,124985.15578926879,0.0169623797604192,0.01399231730223,5.2409000396728525,0.2730949918429057,0.0069178665677706,0.0004123966597641,0.2715418696122166,134.18733723958334,134.4604554020334,0.0068993222183094,0.0040236317831247,0.8688902500536123,0.0906800980699134,0.0016697527406402,0.0003174059451608,0.0163523101137319,118.30269655957908,118.43615721013238,0.0707388527965963,0.0531903039171644,0.5891038929575582,1.6522955022153196,0.0132397903938562,0.0005458714962502,0.0945858688830784,429.1290290668781,429.5762848289866,0.0670540167967553,0.0493403580681716,1.2599203570157436,0.9104280875214108,0.007273102804045,0.0007657598159551,0.0933224650393826,292.3571397323429,292.7472604341739,0.0595011658573781,0.0425497870474008,0.2773261164663114,1.2454283901747754,0.0088404392506578,0.0004246888201484,0.0458950623476264,548.1225769507874,548.4398797092972
8,8,2020-01-01 08:00:00,37.97,70.89175,37.7,71.39946,41.12,65.46108,2020,1,1,8,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,5.069735e-05,0.055597745,0.00014582022,0.0010442609,0.0010129017,0.055597745,0.00063554617,0.0014216164,0.00014582022,5.069735e-05,1.0,1.363566157606262,1,5,1,9,4.0,15.0,15.0,14.0,120102.0,5406.376393656476,124985.15578926879,0.0184698793261001,0.0153258843056391,5.2409000396728525,0.2730949918429057,0.0069178665677706,0.0004123966597641,0.2715323082738905,134.18733723958334,134.4604554020334,0.007329271077095,0.0044039768353756,0.8688920091673022,0.090680099196875,0.0016697542710943,0.0003174059451608,0.0163470026099549,118.30271288001,118.43617356270283,0.0708139412473276,0.0532566468954719,0.5891038929575582,1.6522944125793242,0.0132397903926196,0.0005458714962502,0.0945858291800744,429.1290290668781,429.57628482896064,0.0682626966021055,0.0504096755454827,1.2599203570157436,0.910428154360686,0.0072731034509378,0.0007657598159551,0.093320183085845,292.3571397323429,292.74726044775866,0.0595011658573781,0.0425497747859529,0.2773261164663114,1.2454283889944096,0.0088404392482626,0.0004246888201484,0.045894938341793,548.1225769507874,548.439879709247
9,9,2020-01-01 09:00:00,37.02,72.71095,36.95,72.8487,39.58,68.00807,2020,1,1,9,3,WD,AM,129+04132,I-93,NB,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,2,8,93,2,91660.5,4803,6097,1,1,2020-01-01 00:00:00-05:00,2021-01-01 00:00:00-05:00,1,U,25,17,25017,17.0,1.8292858e-05,0.0440607,0.00013954837,0.001358898,0.0012386878,0.0440607,0.0008811931,0.0017163927,0.00013954837,1.8292858e-05,1.0,1.363566157606262,1,5,1,10,4.0,16.0,16.0,15.0,120102.0,4375.096898801681,124985.15578926879,0.0176767224523549,0.0147323867762073,5.051233291625977,0.2596069971720378,0.0066778001685937,0.0003849033188695,0.259645853099452,133.07766723632812,133.33722106871815,0.0073522621706583,0.0046609665902574,1.0590283338144904,0.1019747141459497,0.0020096619180505,0.0002962459554545,0.0181183183317016,123.93182101913897,124.06586016560892,0.0669482564010994,0.0517316601107081,0.5793337833919092,1.7410982937960944,0.0126705647604304,0.000506882727997,0.0893056291620746,453.4005769226872,453.8237924283353,0.0636327377937548,0.0476885476189079,1.272433276730162,0.9244190693253548,0.0067764976270972,0.0007110638049662,0.0877813551249434,294.8758847616033,295.23862099131185,0.057921105948172,0.0426470705248082,0.2678993909685542,1.302386346538215,0.0081702563566908,0.0003943549562767,0.0434646495542418,575.9307220758517,576.224547495788
