tmc,date,hour,road,direction,state,county,start_latitude,start_longitude,end_latitude,end_longitude,tmc_length,road_order,f_system,thrulanes,MAADT,aadt,aadt_singl,aadt_combi,travel_time_all,travel_time_pass,travel_time_truck,speed_all,speed_pass,speed_truck,PCT_NOISE_AUTO,PCT_NOISE_MED_TRUCK,PCT_NOISE_HVY_TRUCK,PCT_NOISE_BUS,PCT_NOISE_MC
129+04132,2020-01-01,0,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,41.14,41.06,42.06,65.42925,65.55674,63.99809,0.010639649,0.00010818919,0.00025662268,2.9268573e-05,6.79449e-06
129+04132,2020-01-01,1,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.66,40.66,,66.20166,66.20166,,0.00610302,0.00019181368,0.00033240736,1.358898e-05,2.0906123e-06
129+04132,2020-01-01,2,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.51,40.51,,66.44679,66.44679,,0.004029133,0.00029007246,0.00040610146,2.4042041e-05,4.1812245e-06
129+04132,2020-01-01,3,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,40.85,40.85,,65.893745,65.893745,,0.0037421961,0.00023153532,0.0004301435,4.23349e-05,3.6585716e-06
129+04132,2020-01-01,4,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.65,38.65,,69.64449,69.64449,,0.007299896,0.00030784268,0.0007385088,4.1289593e-05,6.79449e-06
129+04132,2020-01-01,5,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.62,37.41,41.41,71.55129,71.95294,65.00265,0.020846019,0.00043798328,0.0010609857,7.944327e-05,1.0453062e-05
129+04132,2020-01-01,6,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,39.76,39.07,46.41,67.70019,68.89582,57.99956,0.040456485,0.00064234063,0.0012632526,0.00014686552,1.8292858e-05
129+04132,2020-01-01,7,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.41,38.34,40.18,70.07966,70.2076,66.99252,0.06287307,0.00062404777,0.0013233576,0.00015888654,2.7700615e-05
129+04132,2020-01-01,8,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.97,37.7,41.12,70.89175,71.39946,65.46108,0.055597745,0.00063554617,0.0014216164,0.00014582022,5.069735e-05
129+04132,2020-01-01,9,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.02,36.95,39.58,72.71095,72.8487,68.00807,0.0440607,0.0008811931,0.0017163927,0.00013954837,1.8292858e-05
129+04132,2020-01-01,10,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.82,38.61,42.09,69.33951,69.716644,63.952473,0.044302166,0.0010442609,0.0020043745,0.00015731859,2.2996735e-05
129+04132,2020-01-01,11,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,36.79,36.79,,73.16552,73.16552,,0.046681285,0.0012109872,0.002072842,0.00016097716,1.9338164e-05
129+04132,2020-01-01,12,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.49,37.37,41.42,71.7994,72.02996,64.98695,0.05285904,0.0012031475,0.0020163956,0.00012543674,2.5087349e-05
129+04132,2020-01-01,13,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,37.77,37.77,42.06,71.267136,71.267136,63.99809,0.06157167,0.0011446102,0.001720574,0.00015940919,2.874592e-05
129+04132,2020-01-01,14,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69.0,1,8,124985.15578926879,91660.5,4803,6097,38.99,38.94,41.41,69.03718,69.125824,65.00265,0.06834734,0.00085819635,0.0012214403,0.00011341572,2.9268573e-05
