TMC,DATE,HOUR,ROAD,DIRECTION,STATE,COUNTY,start_latitude,start_longitude,end_latitude,end_longitude,TMC_LENGTH,road_order,f_system,thrulanes,aadt,AADT Single Unit,aadt_combinations,TT_ALL_vehs,TT_PASS,TT_TRUCK,SPEED_ALL_vehs,SPEED_PASS,SPEED_TRUCK,PCT_NOISE_AUTO,PCT_NOISE_MEDIUM,PCT_NOISE_HEAVY,PCT_NOISE_BUS,PCT_NOISE_MC
125N04779,1/1/2017,0,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34,32.5,35,59.238,61.97206154,57.54548571,0.007939406,0.000168301,0.001835362,4.49E-05,3.44E-05
125N04779,1/1/2017,1,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.25,31.25,35,64.450944,64.450944,57.54548571,0.004848492,0.000142666,0.001712167,4.18E-05,2.80E-05
125N04779,1/1/2017,2,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.25,31,33.33333333,64.450944,64.97070968,60.42276,0.003847858,0.000150853,0.001741707,4.59E-05,2.62E-05
125N04779,1/1/2017,3,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,32,34,61.97206154,62.940375,59.238,0.004363936,0.000204171,0.00198103,5.33E-05,3.15E-05
125N04779,1/1/2017,4,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,30.33333333,29.5,31.33333333,66.39863736,68.27430509,64.27953192,0.008531202,0.000370662,0.002447403,8.55E-05,4.81E-05
125N04779,1/1/2017,5,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,32.33333333,32.75,61.97206154,62.29150516,61.49899237,0.019081016,0.000757385,0.003095991,0.000148494,8.72E-05
125N04779,1/1/2017,6,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33.5,32.25,34.5,60.12214925,62.45246512,58.37947826,0.03609746,0.001317475,0.003775583,0.00020256,0.000129247
125N04779,1/1/2017,7,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,28.5,34.25,61.97206154,70.66989474,58.80560584,0.049497878,0.001521388,0.00417905,0.000230659,0.000147894
125N04779,1/1/2017,8,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.75,31.5,33.5,61.49899237,63.93942857,60.12214925,0.045032993,0.001673587,0.00483562,0.000265539,0.000142705
125N04779,1/1/2017,9,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32,32.5,31.75,62.940375,61.97206154,63.4359685,0.040817423,0.001716653,0.005523528,0.000261744,0.0001473
125N04779,1/1/2017,10,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.25,32,33.75,62.45246512,62.940375,59.6768,0.041742893,0.001656887,0.005863621,0.000245889,0.000157319
125N04779,1/1/2017,11,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.75,31.25,32.75,63.4359685,64.450944,61.49899237,0.044648251,0.001683543,0.005940904,0.000241675,0.00016602
125N04779,1/1/2017,12,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.5,31,33.5,63.93942857,64.97070968,60.12214925,0.047316302,0.001700259,0.005852967,0.000243149,0.00017394
125N04779,1/1/2017,13,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.75,31,34.75,61.49899237,64.97070968,57.95948201,0.049986079,0.001781482,0.005731742,0.00025473,0.000181874
125N04779,1/1/2017,14,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.5,30.5,32.75,63.93942857,66.03580328,61.49899237,0.056845669,0.001853526,0.005567101,0.000251988,0.000199506
125N04779,1/1/2017,15,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,30.75,33.75,61.97206154,65.49892683,59.6768,0.067065095,0.00190836,0.005182302,0.000237994,0.000217148
125N04779,1/1/2017,16,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,32.75,33,61.97206154,61.49899237,61.03309091,0.074427527,0.001762756,0.004648099,0.000217733,0.000222131
125N04779,1/1/2017,17,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33,32,33.25,61.03309091,62.940375,60.57419549,0.074245336,0.001478024,0.00414173,0.00018502,0.000214938
125N04779,1/1/2017,18,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34.75,33.75,35,57.95948201,59.6768,57.54548571,0.056426808,0.001121253,0.003835628,0.000152464,0.000173668
125N04779,1/1/2017,19,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32,32,34,62.940375,62.940375,59.238,0.041607871,0.000797168,0.003423596,0.000118702,0.000136407
125N04779,1/1/2017,20,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.25,32.66666667,31.5,62.45246512,61.65587755,63.93942857,0.033260721,0.000590226,0.00305633,8.89E-05,0.000109967
125N04779,1/1/2017,21,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34.25,31.75,35.75,58.80560584,63.4359685,56.33823776,0.027565289,0.000447629,0.002748638,7.44E-05,9.15E-05
125N04779,1/1/2017,22,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33,33.33333333,32,61.03309091,60.42276,62.940375,0.02094864,0.000327662,0.002454833,6.35E-05,7.32E-05
125N04779,1/1/2017,23,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.75,32,34,61.49899237,62.940375,59.238,0.014662523,0.000241306,0.002159269,0.000052877,5.48E-05
125N04779,1/2/2017,0,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.66666667,31.33333333,37,61.65587755,64.27953192,54.43491892,0.016529833,0.000247847,0.001318483,5.55E-05,5.36E-05
125N04779,1/2/2017,1,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33.66666667,31,35.33333333,59.82451485,64.97070968,57.00260377,0.010854313,0.000191763,0.001162257,4.62E-05,3.85E-05
125N04779,1/2/2017,2,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,35,999999,35,57.54548571,999999,57.54548571,0.008058952,0.000162565,0.001093687,4.48E-05,3.00E-05
125N04779,1/2/2017,3,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.75,31,33.75,61.49899237,64.97070968,59.6768,0.006473712,0.000161474,0.001114306,4.34E-05,2.51E-05
125N04779,1/2/2017,4,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.75,32.66666667,34,61.49899237,61.65587755,59.238,0.007063887,0.00020664,0.001213212,5.05E-05,2.67E-05
125N04779,1/2/2017,5,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34.75,32,34.75,57.95948201,62.940375,57.95948201,0.010830805,0.000311084,0.001397101,6.52E-05,3.90E-05
125N04779,1/2/2017,6,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34.75,33.75,36.25,57.95948201,59.6768,55.56115862,0.017788144,0.000481002,0.001667789,8.02E-05,6.12E-05
125N04779,1/2/2017,7,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,34.25,34,33.75,58.80560584,59.238,59.6768,0.026309339,0.000645954,0.002017469,0.00010097,9.33E-05
125N04779,1/2/2017,8,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33,31.5,33.75,61.03309091,63.93942857,59.6768,0.035452741,0.000780481,0.002370272,0.000121049,0.000135552
125N04779,1/2/2017,9,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32,31.25,32.75,62.940375,64.450944,61.49899237,0.045745666,0.000887889,0.002668639,0.000125865,0.000178724
125N04779,1/2/2017,10,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.5,31.5,33.5,61.97206154,63.93942857,60.12214925,0.055105506,0.000994601,0.002874119,0.000122554,0.000216343
125N04779,1/2/2017,11,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,32.25,32,33.25,62.45246512,62.940375,60.57419549,0.061271228,0.001065851,0.002955892,0.000119047,0.000240131
125N04779,1/2/2017,12,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33,31.75,34.25,61.03309091,63.4359685,58.80560584,0.065593112,0.001110165,0.002937829,0.000118591,0.0002532
125N04779,1/2/2017,13,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.75,31.25,33.5,63.4359685,64.450944,60.12214925,0.06685108,0.001118802,0.002883769,0.000118533,0.000259611
125N04779,1/2/2017,14,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,33,31.75,40.5,61.03309091,63.4359685,49.73066667,0.067438751,0.001110949,0.002806103,0.00011627,0.000264042
125N04779,1/2/2017,15,I-77,SOUTHBOUND,NC,MECKLENBURG,35.1666756,-80.8889586,35.158851,-80.8915034,0.55947,102,1,6,155729,5041,5201,31.75,31.25,33.25,63.4359685,64.450944,60.57419549,0.06781586,0.001100152,0.002720492,0.000117164,0.000262457
