TMC,DATE,HOUR,ROAD,DIRECTION,STATE,COUNTY,start_latitude,start_longitude,end_latitude,end_longitude,TMC_LENGTH,road_order,f_system,thrulanes,aadt,AADT Single Unit,aadt_combinations,TT_ALL_vehs,TT_PASS,TT_TRUCK,SPEED_ALL_vehs,SPEED_PASS,SPEED_TRUCK,PCT_NOISE_AUTO,PCT_NOISE_MEDIUM,PCT_NOISE_HEAVY,PCT_NOISE_BUS,PCT_NOISE_MC
129+04132,1/1/2020,0,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,41.14,41.06,42.06,65.42925,65.55674,65.42925,0.010639649,0.000108189,0.000256623,2.93E-05,6.79E-06
129+04132,1/1/2020,1,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,40.66,40.66,,66.20166,66.20166,66.20166,0.00610302,0.000191814,0.000332407,1.36E-05,2.09E-06
129+04132,1/1/2020,2,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,40.51,40.51,,66.44679,66.44679,66.44679,0.004029133,0.000290072,0.000406101,2.40E-05,4.18E-06
129+04132,1/1/2020,3,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,40.85,40.85,,65.893745,65.893745,65.893745,0.003742196,0.000231535,0.000430144,4.23E-05,3.66E-06
129+04132,1/1/2020,4,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,38.65,38.65,,69.64449,69.64449,69.64449,0.007299896,0.000307843,0.000738509,4.13E-05,6.79E-06
129+04132,1/1/2020,5,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,37.62,37.41,41.41,71.55129,71.95294,71.55129,0.020846019,0.000437983,0.001060986,7.94E-05,1.05E-05
129+04132,1/1/2020,6,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,39.76,39.07,46.41,67.70019,68.89582,67.70019,0.040456485,0.000642341,0.001263253,0.000146866,1.83E-05
129+04132,1/1/2020,7,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,38.41,38.34,40.18,70.07966,70.2076,70.07966,0.06287307,0.000624048,0.001323358,0.000158887,2.77E-05
129+04132,1/1/2020,8,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,37.97,37.7,41.12,70.89175,71.39946,70.89175,0.055597745,0.000635546,0.001421616,0.00014582,5.07E-05
129+04132,1/1/2020,9,I-93,NB,25,17,42.45939,-71.10194,42.46937,-71.10722,0.747711,69,1,8,124985.1558,4803,6097,37.02,36.95,39.58,72.71095,72.8487,72.71095,0.0440607,0.000881193,0.001716393,0.000139548,1.83E-05
